,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
135,136,136,Vaughn Taylor,71.44,1143,16
136,T137,T137,Ryan Palmer,71.46,929,13
137,T137,T137,Chez Reavie,71.46,929,13
138,139,139,Briny Baird,71.5,1144,16
139,T140,T140,Jason Gore,71.54,930,13
140,T140,T140,Rod Pampling,71.54,930,13
141,142,142,Padraig Harrington,71.57,1002,14
142,143,143,Todd Hamilton,71.58,859,12
143,144,144,Freddie Jacobson,71.65,1218,17
144,145,145,Michael Letzig,71.67,1505,21
145,146,146,Kent Jones,71.69,932,13
146,147,147,John Merrick,71.76,1220,17
147,148,148,Stewart Cink,71.8,1077,15
148,149,149,Charley Hoffman,71.81,1508,21
149,T150,T150,Daniel Chopra,71.82,1221,17
150,T150,T150,Richard Johnson,71.82,1221,17
151,152,152,Jeff Overton,71.84,1365,19
152,T153,T153,Anthony Kim,71.94,1151,16
153,T153,T153,Aron Price,71.94,1295,18
154,T155,T155,Ben Curtis,72.0,1008,14
155,T155,T155,Rocco Mediate,72.0,1224,17
156,T155,T155,Geoff Ogilvy,72.0,1224,17
157,T158,T158,Colt Knost,72.09,793,11
158,T158,T158,Parker McLachlin,72.09,793,11
159,160,160,Tom Lehman,72.17,866,12
160,161,161,Will MacKenzie,72.2,722,10
161,162,162,Charles Warren,72.25,867,12
162,163,163,Paul Goydos,72.27,1084,15
163,164,164,Matt Bettencourt,72.28,1301,18
164,165,165,Darron Stiles,72.29,506,7
165,166,166,Nathan Green,72.3,1446,20
166,T167,T167,Brad Faxon,72.33,434,6
167,T167,T167,Rick Price,72.33,434,6
168,169,169,John Rollins,72.39,1303,18
169,170,170,Peter Tomasulo,72.4,362,5
170,171,171,Bart Bryant,72.58,871,12
171,172,172,Marc Turnesa,72.6,726,10
172,173,173,Retief Goosen,72.61,1307,18
173,174,174,David Duval,72.67,436,6
174,175,175,Kirk Triplett,72.7,727,10
175,176,176,Billy Mayfair,72.75,873,12
176,177,177,Jarrod Lyle,72.82,801,11
177,178,178,Stuart Appleby,72.87,1093,15
178,T179,T179,Eric Axley,73.0,438,6
179,T179,T179,J.B. Holmes,73.0,949,13
180,T179,T179,Greg Kraft,73.0,365,5
181,182,182,Brendon Todd,73.5,441,6
182,183,183,Brian Bateman,74.33,223,3
183,184,184,Gary Woodland,74.86,524,7
