,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
58,T59,T59,Michael Letzig,96,70.51,6769,96
59,T59,T59,Scott Sterling,51,70.51,3596,51
60,T59,T59,Kevin Streelman,97,70.51,6839,97
61,62,62,Chris Stroud,88,70.52,6206,88
62,T63,T63,Brian Davis,103,70.53,7265,103
63,T63,T63,Heath Slocum,95,70.53,6700,95
64,65,65,Scott McCarron,91,70.56,6421,91
65,T66,T66,Jeff Klauk,97,70.57,6845,97
66,T66,T66,Troy Matteson,95,70.57,6704,95
67,T66,T66,Brandt Snedeker,81,70.57,5716,81
68,69,69,Corey Pavin,73,70.58,5152,73
69,T70,T70,Tim Herron,87,70.59,6141,87
70,T70,T70,Joe Ogilvie,85,70.59,6000,85
71,72,72,Marc Leishman,91,70.6,6425,91
72,73,73,Rory Sabbatini,81,70.61,5649,80
73,T74,T74,Sergio Garcia,59,70.62,4096,58
74,T74,T74,Charles Howell III,99,70.62,6991,99
75,T74,T74,Anthony Kim,76,70.62,5226,74
76,T77,T77,Fred Couples,54,70.65,3815,54
77,T77,T77,Freddie Jacobson,83,70.65,5864,83
78,79,79,James Nitties,86,70.67,6078,86
79,T80,T80,Woody Austin,84,70.68,5937,84
80,T80,T80,Cameron Beckman,87,70.68,6149,87
81,T80,T80,Geoff Ogilvy,78,70.68,5089,72
82,T80,T80,Ted Purdy,101,70.68,7139,101
83,T80,T80,Brett Quigley,92,70.68,6503,92
84,T85,T85,Steve Elkington,70,70.69,4948,70
85,T85,T85,Davis Love III,89,70.69,6150,87
86,T85,T85,Scott Piercy,85,70.69,6009,85
87,T85,T85,Dean Wilson,81,70.69,5726,81
88,89,89,Kris Blanks,60,70.7,4242,60
89,T90,T90,Retief Goosen,74,70.71,5162,73
90,T90,T90,Webb Simpson,94,70.71,6647,94
91,T90,T90,Kevin Sutherland,96,70.71,6717,95
92,T93,T93,Lee Janzen,74,70.72,5233,74
93,T93,T93,Y.E. Yang,83,70.72,5870,83
94,95,95,D.A. Points,99,70.73,7002,99
95,T96,T96,Michael Allen,73,70.74,5164,73
96,T96,T96,Rich Beem,77,70.74,5447,77
97,98,98,Ernie Els,70,70.76,4670,66
98,T99,T99,Joe Durant,62,70.77,4388,62
99,T99,T99,John Mallinger,90,70.77,6369,90
100,T101,T101,Tom Pernice Jr.,82,70.79,5805,82
101,T101,T101,Justin Rose,71,70.79,4955,70
102,103,103,Alex Cejka,82,70.8,5806,82
103,104,104,Robert Allenby,71,70.81,4957,70
104,T105,T105,Pat Perez,74,70.82,5099,72
105,T105,T105,Camilo Villegas,76,70.82,5170,73
106,T105,T105,Bubba Watson,73,70.82,5170,73
107,108,108,Phil Mickelson,66,70.83,4462,63
108,T109,T109,Jeff Maggert,79,70.84,5596,79
109,T109,T109,John Merrick,91,70.84,6446,91
110,T109,T109,Ian Poulter,59,70.84,3967,56
111,112,112,Rod Pampling,72,70.85,5030,71
112,113,113,Cliff Kresge,78,70.86,5527,78
113,114,114,Charles Warren,63,70.87,4465,63
114,T115,T115,Richard Johnson,85,70.88,6025,85
115,T115,T115,Boo Weekley,79,70.88,5458,77
116,T117,T117,Brendon de Jonge,90,70.93,6384,90
117,T117,T117,Johnson Wagner,81,70.93,5745,81
118,T119,T119,Martin Laird,72,70.94,5108,72
119,T119,T119,Chez Reavie,81,70.94,5746,81
120,121,121,Jimmy Walker,74,70.95,5250,74
121,122,122,Jay Williamson,69,70.97,4897,69
122,123,123,Glen Day,79,70.99,5608,79
123,124,124,Jeff Quinney,78,71.01,5539,78
124,125,125,Daniel Chopra,89,71.03,6322,89
125,T126,T126,Steve Flesch,77,71.04,5470,77
126,T126,T126,Paul Goydos,79,71.04,5612,79
127,T126,T126,Aron Price,89,71.04,6323,89
128,T126,T126,Casey Wittenberg,71,71.04,5044,71
129,T130,T130,Nathan Green,104,71.05,7389,104
130,T130,T130,Padraig Harrington,66,71.05,4618,65
131,132,132,Nicholas Thompson,96,71.06,6822,96
132,T133,T133,Mathew Goggin,76,71.07,5259,74
133,T133,T133,David Mathis,82,71.07,5828,82
134,135,135,Tommy Armour III,58,71.09,4123,58
135,T136,T136,Stewart Cink,79,71.1,5190,73
136,T136,T136,Jeff Overton,92,71.1,6541,92
137,T136,T136,Ryan Palmer,78,71.1,5546,78
138,T136,T136,Kirk Triplett,60,71.1,4266,60
139,140,140,Mark Brooks,55,71.11,3911,55
140,141,141,Jarrod Lyle,65,71.12,4623,65
141,142,142,Vijay Singh,71,71.13,4908,69
142,143,143,Mark Calcavecchia,72,71.14,5122,72
143,144,144,Ángel Cabrera,55,71.15,3842,54
144,145,145,Ryuji Imada,85,71.16,6049,85
145,146,146,John Rollins,92,71.17,6548,92
146,147,147,Steve Lowery,83,71.18,5908,83
147,148,148,Colt Knost,71,71.2,5055,71
148,149,149,Kent Jones,73,71.21,5198,73
149,150,150,Matt Bettencourt,98,71.22,6980,98
150,151,151,Rocco Mediate,79,71.25,5629,79
151,152,152,Jason Gore,74,71.26,5273,74
152,153,153,Brad Adamonis,70,71.27,4989,70
153,T154,T154,Aaron Baddeley,66,71.31,4635,65
154,T154,T154,Ricky Barnes,67,71.31,4778,67
155,156,156,Ken Duke,87,71.32,6205,87
156,157,157,Bart Bryant,58,71.33,4137,58
157,T158,T158,Tom Lehman,55,71.42,3928,55
158,T158,T158,Andres Romero,58,71.42,4071,57
159,160,160,Brian Vranesh,51,71.43,3643,51
160,T161,T161,Peter Lonard,86,71.51,6150,86
161,T161,T161,Carl Pettersson,86,71.51,6150,86
162,T163,T163,K.J. Choi,65,71.52,4577,64
163,T163,T163,Darron Stiles,52,71.52,3719,52
164,165,165,Todd Hamilton,83,71.54,5938,83
165,166,166,Will MacKenzie,69,71.55,4937,69
166,167,167,Ben Curtis,63,71.63,4441,62
167,168,168,Stuart Appleby,79,71.78,5599,78
168,169,169,Brian Bateman,55,71.8,3949,55
169,170,170,Billy Mayfair,83,71.89,5967,83
170,171,171,Gary Woodland,53,71.92,3812,53
171,172,172,Peter Tomasulo,61,71.98,4391,61
172,173,173,J.B. Holmes,74,71.99,5327,74
173,174,174,Derek Fathauer,63,72.03,4538,63
174,175,175,Adam Scott,53,72.06,3747,52
175,176,176,Rick Price,54,72.07,3892,54
176,T177,T177,David Duval,56,72.23,4045,56
177,T177,T177,Marc Turnesa,77,72.23,5562,77
178,T179,T179,Parker McLachlin,71,72.24,5129,71
179,T179,T179,Leif Olson,51,72.24,3684,51
180,181,181,Brad Faxon,59,72.71,4290,59
181,182,182,Brendon Todd,53,72.74,3855,53
182,183,183,Greg Kraft,51,72.76,3711,51
183,184,184,Eric Axley,71,72.93,5178,71
