,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
45,T46,T46,Sergio Garcia,59,70.39,2182,31
46,T46,T46,Matt Weibring,65,70.39,2182,31
47,T48,T48,Matt Jones,56,70.4,1760,25
48,T48,T48,Greg Owen,97,70.4,3379,48
49,50,50,John Merrick,91,70.42,3380,48
50,51,51,Steve Elkington,70,70.44,2254,32
51,52,52,Brett Quigley,92,70.45,3311,47
52,53,53,Fred Couples,54,70.46,1973,28
53,54,54,Ben Crane,93,70.49,3172,45
54,T55,T55,Lee Janzen,74,70.51,2609,37
55,T55,T55,Boo Weekley,79,70.51,2891,41
56,T55,T55,Dean Wilson,81,70.51,2468,35
57,58,58,Lucas Glover,93,70.52,3808,54
58,59,59,Michael Allen,73,70.53,2821,40
59,T60,T60,Dustin Johnson,85,70.54,3245,46
60,T60,T60,Charlie Wi,92,70.54,3386,48
61,62,62,Webb Simpson,94,70.55,3316,47
62,T63,T63,Rich Beem,77,70.56,2540,36
63,T63,T63,Rory Sabbatini,81,70.56,3034,43
64,T65,T65,Charles Howell III,99,70.57,3458,49
65,T65,T65,Ted Purdy,101,70.57,3458,49
66,T67,T67,Steve Flesch,77,70.62,2401,34
67,T67,T67,Martin Laird,72,70.62,2754,39
68,69,69,George McNeill,82,70.63,2684,38
69,70,70,Spencer Levin,75,70.64,2331,33
70,T71,T71,Tim Herron,87,70.65,3038,43
71,T71,T71,Jeff Overton,92,70.65,3391,48
72,73,73,Ian Poulter,59,70.66,2473,35
73,74,74,Cliff Kresge,78,70.68,2898,41
74,T75,T75,Tim Petrovic,97,70.69,3605,51
75,T75,T75,Vaughn Taylor,88,70.69,3181,45
76,77,77,D.J. Trahan,96,70.7,3252,46
77,T78,T78,Chris DiMarco,97,70.71,2899,41
78,T78,T78,Tom Lehman,55,70.71,1697,24
79,T78,T78,D.A. Points,99,70.71,3465,49
80,T78,T78,Camilo Villegas,76,70.71,2687,38
81,T78,T78,Jimmy Walker,74,70.71,2404,34
82,T83,T83,Jason Bohn,88,70.73,2829,40
83,T83,T83,Chris Stroud,88,70.73,3183,45
84,T83,T83,Nick Watney,86,70.73,3395,48
85,T86,T86,Anthony Kim,76,70.74,2971,42
86,T86,T86,Kevin Stadler,65,70.74,2476,35
87,T86,T86,Mark Wilson,99,70.74,3537,50
88,89,89,Y.E. Yang,83,70.76,2901,41
89,90,90,Glen Day,79,70.78,2902,41
90,T91,T91,Bob Estes,78,70.79,2690,38
91,T91,T91,Retief Goosen,74,70.79,2690,38
92,T91,T91,Justin Rose,71,70.79,2407,34
93,94,94,Kris Blanks,60,70.8,2124,30
94,T95,T95,Ricky Barnes,67,70.81,2266,32
95,T95,T95,Bubba Watson,73,70.81,2620,37
96,T97,T97,Ernie Els,70,70.83,2479,35
97,T97,T97,Robert Garrigus,83,70.83,2975,42
98,T97,T97,Kevin Streelman,97,70.83,3400,48
99,100,100,Kirk Triplett,60,70.85,1913,27
100,T101,T101,Nathan Green,104,70.86,3472,49
101,T101,T101,Joe Ogilvie,85,70.86,2976,42
102,103,103,Scott Sterling,51,70.87,1630,23
103,104,104,Nick O'Hern,90,70.88,3048,43
104,T105,T105,Jason Gore,74,70.91,2411,34
105,T105,T105,Jeff Quinney,78,70.91,2340,33
106,107,107,Charley Hoffman,97,70.92,3546,50
107,T108,T108,Jonathan Byrd,89,70.93,3192,45
108,T108,T108,Marc Leishman,91,70.93,3192,45
109,T108,T108,Charles Warren,63,70.93,2057,29
110,111,111,Kevin Sutherland,96,70.95,2767,39
111,112,112,Jay Williamson,69,70.96,1987,28
112,113,113,Mark Calcavecchia,72,70.97,2200,31
113,114,114,Alex Cejka,82,70.98,2910,41
114,115,115,Pat Perez,74,71.0,2698,38
115,116,116,John Rollins,92,71.02,3338,47
116,T117,T117,Kent Jones,73,71.03,2415,34
117,T117,T117,Rocco Mediate,79,71.03,2415,34
118,T117,T117,Ryan Palmer,78,71.03,2699,38
119,120,120,J.J. Henry,97,71.04,3268,46
120,T121,T121,Ryuji Imada,85,71.05,2771,39
121,T121,T121,Richard Johnson,85,71.05,2629,37
122,T121,T121,Davis Love III,89,71.05,3055,43
123,T124,T124,Woody Austin,84,71.07,2914,41
124,T124,T124,Bart Bryant,58,71.07,1990,28
125,T124,T124,Jarrod Lyle,65,71.07,2132,30
126,127,127,Bill Lunde,83,71.08,2559,36
127,128,128,Steve Lowery,83,71.09,2275,32
128,129,129,Daniel Chopra,89,71.1,2986,42
129,130,130,Troy Matteson,95,71.11,3342,47
130,131,131,Geoff Ogilvy,78,71.13,2845,40
131,132,132,Joe Durant,62,71.14,1992,28
132,T133,T133,Mark Brooks,55,71.15,1423,20
133,T133,T133,Jeff Maggert,79,71.15,2846,40
134,T133,T133,David Mathis,82,71.15,2775,39
135,T133,T133,Chez Reavie,81,71.15,2419,34
136,T137,T137,Robert Allenby,71,71.17,2562,36
137,T137,T137,Brendon de Jonge,90,71.17,2918,41
138,T137,T137,Brandt Snedeker,81,71.17,2918,41
139,T137,T137,Nicholas Thompson,96,71.17,2989,42
140,T141,T141,Brian Bateman,55,71.19,1851,26
141,T141,T141,Casey Wittenberg,71,71.19,2563,36
142,143,143,Johnson Wagner,81,71.23,2778,39
143,144,144,Vijay Singh,71,71.24,2422,34
144,T145,T145,Tommy Armour III,58,71.26,1924,27
145,T145,T145,Paul Goydos,79,71.26,2779,39
146,T147,T147,Todd Hamilton,83,71.29,2923,41
147,T147,T147,Rod Pampling,72,71.29,2709,38
148,149,149,James Nitties,86,71.3,3565,50
149,150,150,Andres Romero,58,71.33,1712,24
150,151,151,Scott Piercy,85,71.35,3425,48
151,152,152,Peter Lonard,86,71.36,2569,36
152,153,153,K.J. Choi,65,71.38,2427,34
153,154,154,Peter Tomasulo,61,71.41,2285,32
154,155,155,Marc Turnesa,77,71.42,2571,36
155,T156,T156,Matt Bettencourt,98,71.44,3429,48
156,T156,T156,Carl Pettersson,86,71.44,3072,43
157,T158,T158,Ben Curtis,63,71.45,2072,29
158,T158,T158,Brian Vranesh,51,71.45,1572,22
159,T160,T160,Stewart Cink,79,71.46,2644,37
160,T160,T160,Colt Knost,71,71.46,2644,37
161,162,162,Rick Price,54,71.5,1859,26
162,T163,T163,J.B. Holmes,74,71.53,2575,36
163,T163,T163,Corey Pavin,73,71.53,2289,32
164,165,165,Will MacKenzie,69,71.54,2504,35
165,166,166,Darron Stiles,52,71.56,1932,27
166,167,167,Mathew Goggin,76,71.66,2508,35
167,168,168,Brad Adamonis,70,71.71,2223,31
168,169,169,Aron Price,89,71.75,2583,36
169,170,170,Aaron Baddeley,66,71.76,2081,29
170,171,171,Ángel Cabrera,55,71.77,1866,26
171,172,172,Adam Scott,53,71.92,1870,26
172,173,173,Billy Mayfair,83,72.05,2738,38
173,T174,T174,Stuart Appleby,79,72.13,2813,39
174,T174,T174,Parker McLachlin,71,72.13,2164,30
175,176,176,David Duval,56,72.17,2093,29
176,177,177,Ken Duke,87,72.24,2745,38
177,178,178,Gary Woodland,53,72.29,1735,24
178,179,179,Leif Olson,51,72.64,1816,25
179,180,180,Greg Kraft,51,72.77,1601,22
180,181,181,Derek Fathauer,63,72.81,2257,31
181,182,182,Eric Axley,71,72.84,2331,32
182,183,183,Brendon Todd,53,73.12,1901,26
183,184,184,Brad Faxon,59,73.46,1910,26
