,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
109,110,110,Jeff Overton,92,28.71,89,310
110,111,111,Robert Allenby,71,28.7,66,230
111,112,112,Bubba Watson,73,28.63,69,241
112,113,113,Tom Pernice Jr.,82,28.47,82,288
113,T114,T114,Nathan Green,104,28.46,111,390
114,T114,T114,Jeff Maggert,79,28.46,72,253
115,116,116,Ben Crane,93,28.37,82,289
116,117,117,Joe Durant,62,28.29,43,152
117,118,118,Steve Elkington,70,28.26,65,230
118,119,119,Jeff Quinney,78,28.19,73,259
119,120,120,Kirk Triplett,60,28.08,57,203
120,121,121,Dean Wilson,81,28.06,71,253
121,122,122,Cameron Beckman,87,27.95,83,297
122,123,123,Rich Beem,77,27.78,60,216
123,124,124,Brian Bateman,55,27.71,46,166
124,125,125,Sergio Garcia,59,27.62,50,181
125,126,126,Billy Mayfair,83,27.61,74,268
126,127,127,Aron Price,89,27.54,76,276
127,128,128,Stuart Appleby,79,27.48,72,262
128,129,129,Bryce Molder,69,27.47,50,182
129,T130,T130,Derek Fathauer,63,27.44,45,164
130,T130,T130,J.J. Henry,97,27.44,87,317
131,132,132,Chez Reavie,81,27.39,63,230
132,133,133,Justin Leonard,95,27.24,76,279
133,134,134,Casey Wittenberg,71,27.23,52,191
134,135,135,Webb Simpson,94,27.22,86,316
135,136,136,Scott Verplank,88,27.1,87,321
136,137,137,Bill Lunde,83,27.05,76,281
137,138,138,Carl Pettersson,86,26.95,76,282
138,139,139,Luke Donald,79,26.92,63,234
139,140,140,Bob Estes,78,26.78,64,239
140,141,141,Heath Slocum,95,26.73,81,303
141,142,142,David Toms,98,26.71,82,307
142,143,143,Lee Janzen,74,26.7,55,206
143,144,144,D.A. Points,99,26.69,95,356
144,145,145,Scott Sterling,51,26.61,33,124
145,146,146,Ian Poulter,59,26.6,50,188
146,147,147,K.J. Choi,65,26.34,54,205
147,148,148,Vaughn Taylor,88,26.26,78,297
148,149,149,Mike Weir,85,26.19,66,252
149,150,150,Brandt Snedeker,81,25.9,65,251
150,151,151,Woody Austin,84,25.83,78,302
151,152,152,Ricky Barnes,67,25.79,49,190
152,153,153,John Mallinger,90,25.74,70,272
153,154,154,Darron Stiles,52,25.71,36,140
154,155,155,Rick Price,54,25.64,40,156
155,156,156,David Mathis,82,25.51,63,247
156,157,157,Jason Bohn,88,25.43,74,291
157,T158,T158,Ken Duke,87,25.3,63,249
158,T158,T158,Spencer Levin,75,25.3,63,249
159,160,160,Steve Flesch,77,25.22,58,230
160,161,161,Colt Knost,71,25.13,47,187
161,162,162,Ryuji Imada,85,24.92,75,301
162,163,163,Parker McLachlin,71,24.44,65,266
163,164,164,Stewart Cink,79,24.09,53,220
164,165,165,Tom Lehman,55,23.33,28,120
165,166,166,Ben Curtis,63,23.27,47,202
166,167,167,Jeff Klauk,97,23.12,77,333
167,168,168,Cliff Kresge,78,22.36,55,246
168,169,169,Nick O'Hern,90,21.94,70,319
169,170,170,Chris DiMarco,97,21.91,71,324
170,171,171,Peter Lonard,86,21.77,59,271
171,172,172,Jarrod Lyle,65,21.26,37,174
172,173,173,Brad Faxon,59,20.48,43,210
173,174,174,Brian Gay,96,19.76,65,329
174,175,175,Glen Day,79,19.65,45,229
175,176,176,Paul Goydos,79,19.49,54,277
176,177,177,Mark Brooks,55,19.17,23,120
177,178,178,Eric Axley,71,18.89,41,217
178,179,179,Marc Turnesa,77,18.25,50,274
179,180,180,Bart Bryant,58,17.73,36,203
180,181,181,Greg Kraft,51,17.02,24,141
181,182,182,Richard Johnson,85,16.9,49,290
182,183,183,Corey Pavin,73,16.34,33,202
183,184,184,Brendon Todd,53,16.0,24,150
