,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
66,67,67,Daniel Summerhays,28,5.66,"$2,045,968","$36,177,590"
67,68,68,Webb Simpson,20,5.52,"$1,450,355","$26,281,590"
68,T69,T69,Harris English,27,5.51,"$2,014,282","$36,555,590"
69,T69,T69,David Lingmerth,24,5.51,"$1,863,782","$33,811,590"
70,71,71,Jason Kokrak,28,5.48,"$1,934,250","$35,280,000"
71,72,72,Luke Donald,23,5.46,"$1,634,514","$29,949,590"
72,73,73,Jim Herman,29,5.45,"$2,091,274","$38,341,590"
73,74,74,Jason Bohn,21,5.39,"$1,369,704","$25,398,000"
74,75,75,Bobby Wyatt,6,5.31,"$353,348","$6,660,000"
75,T76,T76,Zach Johnson,24,5.25,"$1,718,702","$32,735,590"
76,T76,T76,Vaughn Taylor,24,5.25,"$1,640,750","$31,248,000"
77,78,78,Jon Curran,30,5.16,"$1,902,481","$36,846,000"
78,79,79,Ryan Armour,1,5.15,"$32,454","$630,000"
79,80,80,Sean O'Hair,27,5.1,"$1,702,713","$33,390,000"
80,81,81,Tony Finau,28,5.07,"$1,814,790","$35,785,590"
81,82,82,Jerry Kelly,23,5.05,"$1,328,656","$26,316,000"
82,83,83,Greg Chalmers,12,5.02,"$695,188","$13,839,590"
83,84,84,Colt Knost,26,4.99,"$1,594,587","$31,987,590"
84,85,85,Bud Cauley,14,4.98,"$760,430","$15,264,000"
85,86,86,Andrew Johnston,4,4.97,"$336,762","$6,769,590"
86,T87,T87,Aaron Baddeley,28,4.95,"$1,644,914","$33,246,000"
87,T87,T87,K.J. Choi,22,4.95,"$1,328,447","$26,856,000"
88,T87,T87,Martin Flores,2,4.95,"$101,576","$2,052,000"
89,90,90,Brendan Steele,25,4.92,"$1,589,265","$32,329,590"
90,T91,T91,Miguel Angel Jiménez,2,4.86,"$143,491","$2,949,590"
91,T91,T91,Søren Kjeldsen,12,4.86,"$921,468","$18,951,590"
92,93,93,Greg Yates,1,4.82,"$52,959","$1,098,000"
93,94,94,Kevin Streelman,26,4.74,"$1,601,177","$33,750,000"
94,95,95,Chris Kirk,28,4.69,"$1,762,334","$37,609,590"
95,96,96,Francesco Molinari,18,4.68,"$1,083,155","$23,149,590"
96,97,97,David Howell,2,4.65,"$137,113","$2,949,590"
97,98,98,Robert Garrigus,21,4.63,"$1,024,899","$22,158,000"
98,99,99,Martin Laird,24,4.45,"$1,224,679","$27,540,000"
99,100,100,Bryce Molder,26,4.44,"$1,353,384","$30,492,000"
100,101,101,Marc Leishman,25,4.43,"$1,566,824","$35,367,590"
101,102,102,Martin Kaymer,10,4.41,"$701,140","$15,891,590"
102,103,103,Freddie Jacobson,26,4.31,"$1,354,195","$31,392,000"
103,104,104,Patton Kizzire,27,4.26,"$1,468,624","$34,507,590"
104,105,105,Wesley Bryan,4,4.23,"$178,729","$4,230,000"
105,106,106,Vijay Singh,22,4.22,"$1,210,104","$28,693,590"
106,107,107,Matthew Fitzpatrick,12,4.0,"$713,917","$17,835,590"
107,T108,T108,Graham DeLaet,21,3.96,"$908,556","$22,968,000"
108,T108,T108,Patrick Rodgers,28,3.96,"$1,290,336","$32,616,000"
109,T110,T110,Retief Goosen,16,3.9,"$745,735","$19,098,000"
110,T110,T110,Russell Henley,25,3.9,"$1,228,346","$31,465,590"
111,112,112,Kiradech Aphibarnrat,11,3.88,"$680,450","$17,547,590"
112,113,113,Harold Varner III,28,3.87,"$1,327,320","$34,327,590"
113,114,114,Kyle Reifers,34,3.82,"$1,539,577","$40,284,000"
114,115,115,Ryan Blaum,1,3.78,"$42,160","$1,116,000"
115,116,116,Michio Matsumura,1,3.73,"$60,500","$1,620,000"
116,117,117,Xinjun Zhang,1,3.71,"$52,000","$1,400,000"
117,118,118,Danny Lee,28,3.66,"$1,405,722","$38,455,590"
118,119,119,Johnson Wagner,26,3.65,"$1,083,787","$29,664,000"
119,120,120,Ben Martin,28,3.63,"$1,205,730","$33,228,000"
120,121,121,Jonas Blixt,26,3.59,"$1,115,321","$31,032,000"
121,122,122,Scott Brown,27,3.58,"$1,143,451","$31,896,000"
122,123,123,Cameron Tringale,25,3.55,"$1,064,065","$29,934,000"
123,124,124,Gonzalo Fernandez-Castaño,2,3.54,"$65,600","$1,854,000"
124,T125,T125,Chad Campbell,28,3.53,"$1,168,072","$33,066,000"
125,T125,T125,Paul Peterson,1,3.53,"$44,508","$1,260,000"
126,127,127,Ricky Barnes,29,3.52,"$1,158,799","$32,886,000"
127,128,128,Peter Malnati,32,3.51,"$1,298,944","$37,000,000"
128,T129,T129,Zecheng Dou,1,3.5,"$49,000","$1,400,000"
129,T129,T129,Brian Harman,31,3.5,"$1,299,801","$37,116,000"
130,T129,T129,Andrew Loupe,27,3.5,"$1,075,275","$30,744,000"
131,132,132,David Hearn,29,3.47,"$1,211,514","$34,956,000"
132,133,133,Ken Duke,20,3.46,"$773,025","$22,320,000"
133,134,134,Lucas Glover,23,3.44,"$948,927","$27,558,000"
134,135,135,David Toms,19,3.43,"$774,522","$22,554,000"
135,136,136,Boo Weekley,26,3.42,"$991,660","$29,016,000"
136,T137,T137,Chez Reavie,27,3.37,"$1,086,963","$32,256,000"
137,T137,T137,Brett Stegmaier,29,3.37,"$1,086,714","$32,202,000"
138,139,139,Nick Watney,5,3.33,"$189,880","$5,706,000"
139,T140,T140,Haydn Porteous,1,3.32,"$51,488","$1,549,590"
140,T140,T140,Andy Sullivan,11,3.32,"$561,779","$16,935,590"
141,T142,T142,Adam Hadwin,27,3.31,"$1,067,809","$32,292,000"
142,T142,T142,Young-han Song,2,3.31,"$113,250","$3,420,000"
143,T144,T144,Ashun Wu,1,3.2,"$44,791","$1,400,000"
144,T144,T144,Trevor Fisher Jr,1,3.2,"$44,791","$1,400,000"
145,T144,T144,WC Liang,1,3.2,"$44,791","$1,400,000"
146,147,147,Padraig Harrington,16,3.19,"$654,929","$20,531,590"
147,148,148,Spencer Levin,32,3.1,"$1,179,881","$38,016,000"
148,149,149,John Huh,28,3.09,"$1,007,218","$32,634,000"
149,T150,T150,Scott Hend,5,3.07,"$234,313","$7,629,590"
150,T150,T150,Thomas Pieters,5,3.07,"$230,234","$7,503,590"
151,T150,T150,Jordan Zunic,1,3.07,"$49,750","$1,620,000"
152,153,153,Steve Marino,24,3.03,"$768,200","$25,362,000"
153,T154,T154,Bryson DeChambeau,12,3.02,"$476,621","$15,768,000"
154,T154,T154,Brice Garnett,15,3.02,"$446,564","$14,778,000"
155,156,156,Tyrone Van Aswegen,31,3.01,"$1,025,631","$34,128,000"
156,157,157,Tim Wilkinson,22,3.0,"$708,622","$23,634,000"
157,158,158,Sung Kang,29,2.97,"$979,576","$32,994,000"
158,159,159,Danie van Tonder,1,2.96,"$41,375","$1,400,000"
159,160,160,John Senden,28,2.94,"$989,840","$33,678,000"
160,161,161,Yi Cao,1,2.93,"$41,000","$1,400,000"
161,162,162,Steven Jeffress,1,2.91,"$40,750","$1,400,000"
162,163,163,Troy Merritt,26,2.89,"$922,706","$31,888,000"
163,164,164,Hudson Swafford,30,2.86,"$1,027,313","$35,910,000"
164,165,165,Anirban Lahiri,21,2.85,"$835,171","$29,265,590"
165,166,166,Thongchai Jaidee,8,2.83,"$326,949","$11,571,590"
166,T167,T167,Trey Mullinax,2,2.81,"$49,635","$1,764,000"
167,T167,T167,Robert Streb,27,2.81,"$1,003,362","$35,763,590"
168,169,169,Jamie Donaldson,13,2.79,"$520,051","$18,613,590"
169,170,170,Daisuke Kataoka,1,2.75,"$28,742","$1,044,000"
170,171,171,Chris Wood,8,2.74,"$348,340","$12,723,590"
171,172,172,Keegan Bradley,26,2.66,"$899,984","$33,787,590"
172,173,173,Derek Fathauer,30,2.65,"$898,430","$33,930,000"
173,174,174,Willy Wilcox,23,2.62,"$676,840","$25,812,000"
174,175,175,Aaron Wise,2,2.61,"$69,600","$2,664,000"
175,T176,T176,Blayne Barber,27,2.59,"$768,584","$29,646,000"
176,T176,T176,Luke List,27,2.59,"$751,001","$29,034,000"
177,178,178,Morgan Hoffmann,25,2.57,"$717,890","$27,882,000"
178,179,179,Chad Collins,26,2.51,"$734,547","$29,232,000"
179,180,180,Martin Piller,22,2.48,"$570,739","$23,022,000"
180,T181,T181,Zac Blair,31,2.47,"$903,458","$36,540,000"
181,T181,T181,SSP Chawrasia,2,2.47,"$65,580","$2,660,000"
182,183,183,Richard Lee,2,2.45,"$65,230","$2,660,000"
183,T184,T184,Paul Dunne,4,2.44,"$125,666","$5,149,590"
184,T184,T184,Scott Stallings,27,2.44,"$697,433","$28,620,000"
185,186,186,Bernhard Langer,2,2.41,"$89,000","$3,690,000"
186,187,187,Yusaku Miyazato,4,2.4,"$144,124","$6,013,590"
187,188,188,Whee Kim,27,2.38,"$682,661","$28,710,000"
188,189,189,George Coetzee,7,2.36,"$229,822","$9,721,590"
189,190,190,Marcus Fraser,5,2.33,"$190,950","$8,209,590"
190,T191,T191,Tommy Fleetwood,2,2.31,"$68,000","$2,949,590"
191,T191,T191,K.T. Kim,7,2.31,"$251,103","$10,851,590"
192,193,193,Bernd Wiesberger,11,2.29,"$390,674","$17,025,590"
193,194,194,Ian Poulter,13,2.27,"$370,256","$16,286,000"
194,195,195,James Driscoll,1,2.22,"$24,800","$1,116,000"
195,196,196,Nick Taylor,26,2.21,"$628,756","$28,422,000"
196,197,197,Luke Guthrie,19,2.19,"$427,441","$19,548,000"
197,T198,T198,Andrew Dodt,2,2.18,"$57,915","$2,660,000"
198,T198,T198,Michael Thompson,23,2.18,"$521,983","$23,958,000"
199,T198,T198,Jaco Van Zyl,2,2.18,"$74,500","$3,420,000"
200,T201,T201,Tim Herron,14,2.16,"$297,238","$13,788,000"
201,T201,T201,Shawn Stefani,29,2.16,"$698,101","$32,274,000"
202,203,203,Seung-Yul Noh,28,2.15,"$661,711","$30,817,590"
203,204,204,Danny Chia,2,2.14,"$56,890","$2,660,000"
204,205,205,Michael Kim,29,2.13,"$664,538","$31,212,000"
205,T206,T206,Dean Burmester,1,2.11,"$11,400","$540,000"
206,T206,T206,Cameron Percy,15,2.11,"$313,456","$14,868,000"
207,208,208,Steve Wheatcroft,26,2.1,"$601,163","$28,602,000"
208,T209,T209,Stewart Cink,19,2.07,"$437,855","$21,168,000"
209,T209,T209,Matt Jones,27,2.07,"$712,722","$34,503,590"
210,211,211,Rob Oppenheim,21,2.06,"$462,427","$22,446,000"
211,T212,T212,Ernie Els,21,2.01,"$559,023","$27,829,590"
212,T212,T212,Sam Saunders,24,2.01,"$510,078","$25,398,000"
213,T212,T212,Chris Stroud,27,2.01,"$599,175","$29,808,000"
214,T215,T215,Ben Crane,27,2.0,"$607,891","$30,330,000"
215,T215,T215,Tom Hoge,26,2.0,"$561,558","$28,062,000"
216,T217,T217,Hiroshi Iwata,29,1.99,"$634,862","$31,964,000"
217,T217,T217,Andrew Landry,18,1.99,"$373,980","$18,828,000"
218,219,219,Joey Garber,4,1.98,"$69,408","$3,510,000"
219,220,220,Stuart Appleby,23,1.97,"$500,214","$25,344,000"
220,221,221,Kelly Kraft,20,1.96,"$403,437","$20,574,000"
221,222,222,Bronson Burgoon,27,1.95,"$557,020","$28,548,000"
222,223,223,Justin Leonard,13,1.94,"$288,428","$14,833,590"
223,T224,T224,Mark Hubbard,30,1.93,"$642,942","$33,318,000"
224,T224,T224,Kyle Stanley,28,1.93,"$580,734","$30,168,000"
225,226,226,Hunter Stewart,8,1.92,"$156,537","$8,172,000"
226,227,227,Victor Dubuisson,5,1.87,"$156,500","$8,389,590"
227,228,228,Brian Gay,13,1.86,"$280,619","$15,085,590"
228,T229,T229,Andres Gonzales,28,1.85,"$579,666","$31,284,000"
229,T229,T229,Nathan Holman,4,1.85,"$117,000","$6,319,590"
230,T229,T229,Thorbjørn Olesen,5,1.85,"$146,000","$7,899,590"
231,232,232,Nick Mason,1,1.79,"$18,661","$1,044,000"
232,T233,T233,Tyler Aldridge,28,1.74,"$517,737","$29,718,000"
233,T233,T233,Cameron Smith,24,1.74,"$477,843","$27,536,000"
234,235,235,Chesson Hadley,27,1.68,"$503,993","$29,970,000"
235,236,236,Yosuke Tsukada,2,1.67,"$53,000","$3,169,590"
236,237,237,D.A. Points,18,1.66,"$305,250","$18,378,000"
237,238,238,Scott Langley,22,1.61,"$380,024","$23,634,000"
238,239,239,Wes Roach,21,1.59,"$342,097","$21,564,000"
239,240,240,Ryan Ruffels,7,1.58,"$134,802","$8,532,000"
240,T241,T241,Geoff Ogilvy,22,1.57,"$397,595","$25,398,000"
241,T241,T241,D.J. Trahan,14,1.57,"$225,751","$14,382,000"
242,243,243,Justin Hicks,15,1.56,"$263,943","$16,956,000"
243,244,244,Tim Clark,7,1.53,"$110,360","$7,200,000"
244,T245,T245,Nick Cullen,2,1.52,"$44,791","$2,949,590"
245,T245,T245,Will MacKenzie,26,1.52,"$416,032","$27,306,000"
246,T245,T245,James Morrison,3,1.52,"$72,000","$4,749,590"
247,248,248,Alex Noren,4,1.49,"$97,727","$6,549,590"
248,T249,T249,Greg Owen,29,1.48,"$484,954","$32,850,000"
249,T249,T249,Camilo Villegas,27,1.48,"$450,056","$30,384,000"
250,T251,T251,Brandon Hagy,2,1.47,"$33,226","$2,268,000"
251,T251,T251,Jeff Overton,25,1.47,"$410,245","$27,936,000"
252,T253,T253,Jorge Fernández-Valdés,1,1.43,"$7,705","$540,000"
253,T253,T253,John Merrick,12,1.43,"$162,968","$11,412,000"
254,255,255,Andres Romero,14,1.42,"$195,261","$13,788,000"
255,256,256,Lee Slattery,1,1.4,"$25,131","$1,800,000"
256,T257,T257,Ryan Evans,1,1.38,"$21,364","$1,549,590"
257,T257,T257,Larry Mize,1,1.38,"$24,900","$1,800,000"
258,259,259,Marc Warren,2,1.37,"$40,375","$2,949,590"
259,T260,T260,Brandon Harkins,1,1.36,"$24,525","$1,800,000"
260,T260,T260,Hideto Tanihara,4,1.36,"$84,234","$6,193,590"
261,T262,T262,Thomas Aiken,23,1.35,"$347,686","$25,700,000"
262,T262,T262,Steven Bowditch,26,1.35,"$458,891","$33,973,590"
263,T262,T262,Miguel Angel Carballo,18,1.35,"$240,509","$17,838,000"
264,T262,T262,Jason Gore,27,1.35,"$416,653","$30,924,000"
265,T262,T262,Joost Luiten,2,1.35,"$45,288","$3,349,590"
266,T262,T262,Rocco Mediate,2,1.35,"$32,000","$2,376,000"
267,T262,T262,Henrik Norlander,21,1.35,"$290,888","$21,618,000"
268,T269,T269,Paul Lawrie,1,1.33,"$20,573","$1,549,590"
269,T269,T269,Matt Marshall,1,1.33,"$23,938","$1,800,000"
270,271,271,Mark Wilson,21,1.32,"$306,866","$23,220,000"
271,T272,T272,Joe Affrunti,4,1.31,"$64,909","$4,950,000"
272,T272,T272,Zander Lombard,1,1.31,"$20,243","$1,549,590"
273,T272,T272,Romain Wattel,1,1.31,"$23,497","$1,800,000"
274,T275,T275,Eric Axley,7,1.3,"$71,563","$5,490,000"
275,T275,T275,Satoshi Kodaira,3,1.3,"$51,958","$3,993,590"
276,277,277,Marco Dawson,1,1.28,"$19,847","$1,549,590"
277,278,278,Troy Matteson,3,1.27,"$26,248","$2,070,000"
278,279,279,Richard Lee,11,1.26,"$137,812","$10,926,000"
279,280,280,Yuta Ikeda,3,1.25,"$64,609","$5,149,590"
280,T281,T281,Charlie Danielson,4,1.24,"$55,153","$4,464,000"
281,T281,T281,Brendon de Jonge,30,1.24,"$415,582","$33,444,000"
282,283,283,Prayad Marksaeng,1,1.23,"$15,540","$1,260,000"
283,284,284,Colin Montgomerie,1,1.21,"$18,726","$1,549,590"
284,285,285,Kodai Ichihara,1,1.2,"$18,529","$1,549,590"
285,286,286,Matt Atkins,1,1.17,"$11,970","$1,026,000"
286,287,287,Ben Leong,1,1.16,"$14,630","$1,260,000"
287,T288,T288,Davis Love III,15,1.14,"$222,421","$19,576,000"
288,T288,T288,Dawie van der Walt,25,1.14,"$301,696","$26,406,000"
289,290,290,Kent Jones,1,1.13,"$9,792","$864,000"
290,T291,T291,Shane Bertsch,9,1.1,"$105,492","$9,630,000"
291,T291,T291,Robby Shelton,4,1.1,"$41,630","$3,798,000"
292,T293,T293,Mardan Mamat,1,1.07,"$13,440","$1,260,000"
293,T293,T293,Alex Prugh,13,1.07,"$135,437","$12,600,000"
294,T295,T295,Ángel Cabrera,22,1.05,"$277,117","$26,388,000"
295,T295,T295,Arie Ahmad Irawan,1,1.05,"$13,230","$1,260,000"
296,T295,T295,Conrad Shindler,1,1.05,"$13,797","$1,314,000"
297,T298,T298,Jay McLuen,1,1.04,"$5,984","$576,000"
298,T298,T298,Jin Park,1,1.04,"$11,968","$1,152,000"
299,T300,T300,Matteo Manassero,2,1.03,"$34,430","$3,349,590"
300,T300,T300,Scott Pinckney,29,1.03,"$332,532","$32,418,000"
301,302,302,Corey Conners,1,1.02,"$10,856","$1,062,000"
302,303,303,Lance Lopez,1,1.01,"$13,213","$1,314,000"
303,304,304,J.J. Henry,24,0.99,"$280,674","$28,414,000"
304,305,305,Kristoffer Broberg,3,0.98,"$48,500","$4,969,590"
305,T306,T306,Rich Beem,1,0.97,"$17,450","$1,800,000"
306,T306,T306,Jonathan Byrd,6,0.97,"$58,655","$6,030,000"
307,T308,T308,Chase Parker,2,0.95,"$23,203","$2,430,000"
308,T308,T308,Richard Sterne,2,0.95,"$25,227","$2,665,590"
309,T310,T310,Bradley Dredge,1,0.94,"$16,900","$1,800,000"
310,T310,T310,John Rollins,9,0.94,"$74,083","$7,866,000"
311,312,312,Derek Ernst,20,0.93,"$190,736","$20,538,000"
312,T313,T313,Erik Compton,24,0.92,"$247,902","$27,018,000"
313,T313,T313,Michael Putnam,7,0.92,"$65,600","$7,110,000"
314,T315,T315,Ryo Ishikawa,6,0.9,"$62,102","$6,876,000"
315,T315,T315,Ollie Schniederjans,7,0.9,"$68,585","$7,596,000"
316,317,317,Marc Turnesa,10,0.88,"$82,384","$9,414,000"
317,318,318,Hunter Mahan,22,0.86,"$230,693","$26,780,000"
318,319,319,Abraham Ancer,19,0.85,"$162,810","$19,260,000"
319,320,320,George McNeill,23,0.83,"$213,894","$25,848,000"
320,321,321,Darren Clarke,4,0.82,"$51,488","$6,247,590"
321,322,322,Carlos Ortiz,29,0.8,"$263,465","$33,066,000"
322,323,323,Matt Every,17,0.79,"$158,452","$20,116,000"
323,324,324,Tom Gillis,12,0.78,"$93,242","$11,970,000"
324,T325,T325,Michael Bradley,8,0.76,"$60,114","$7,920,000"
325,T325,T325,Rhein Gibson,20,0.76,"$155,577","$20,520,000"
326,T327,T327,Nicolas Colsaerts,2,0.75,"$25,227","$3,349,590"
327,T327,T327,D.H. Lee,22,0.75,"$174,683","$23,148,000"
328,329,329,Ben Taylor,2,0.73,"$16,968","$2,322,000"
329,T330,T330,Adam Hart,2,0.72,"$11,760","$1,638,000"
330,T330,T330,Rod Pampling,18,0.72,"$142,433","$19,693,590"
331,T330,T330,Rory Sabbatini,20,0.72,"$150,235","$20,736,000"
332,333,333,Steve Flesch,6,0.68,"$36,062","$5,292,000"
333,334,334,Billy Mayfair,7,0.66,"$39,720","$6,030,000"
334,335,335,Lucas Lee,16,0.62,"$98,965","$15,948,000"
335,336,336,Mark O'Meara,2,0.61,"$20,573","$3,349,590"
336,337,337,Curtis Reed,2,0.58,"$14,012","$2,430,000"
337,338,338,Soomin Lee,2,0.55,"$18,529","$3,349,590"
338,T339,T339,Arjun Atwal,6,0.52,"$28,598","$5,544,000"
339,T339,T339,Ted Purdy,9,0.52,"$42,027","$8,154,000"
340,T339,T339,Charlie Wi,5,0.52,"$20,556","$3,924,000"
341,342,342,Cameron Beckman,12,0.51,"$59,191","$11,556,000"
342,343,343,Fred Funk,4,0.5,"$18,661","$3,726,000"
343,344,344,Adam Svensson,2,0.49,"$7,705","$1,566,000"
344,T345,T345,Matt Dobyns,7,0.47,"$35,471","$7,470,000"
345,T345,T345,Shaun Micheel,3,0.47,"$17,760","$3,780,000"
346,347,347,Dicky Pride,21,0.46,"$101,456","$22,230,000"
347,348,348,Ethan Tracy,4,0.43,"$22,762","$5,274,000"
348,349,349,Mark Hensby,5,0.42,"$17,344","$4,122,000"
349,350,350,Wes Homan,3,0.41,"$13,268","$3,276,000"
350,351,351,John Peterson,3,0.39,"$13,020","$3,366,000"
351,T352,T352,Josh Broadaway,2,0.38,"$6,195","$1,638,000"
352,T352,T352,Pat Perez,11,0.38,"$47,840","$12,618,000"
353,354,354,Frank Lickliter II,9,0.36,"$28,985","$8,154,000"
354,T355,T355,Austin Connelly,4,0.35,"$15,050","$4,248,000"
355,T355,T355,Darron Stiles,17,0.35,"$60,197","$17,064,000"
356,357,357,Blake Adams,4,0.31,"$13,764","$4,464,000"
357,358,358,Brian Davis,9,0.3,"$27,880","$9,270,000"
358,359,359,Bo Van Pelt,5,0.29,"$15,392","$5,328,000"
359,360,360,Tim Petrovic,7,0.28,"$17,142","$6,048,000"
360,361,361,Carl Pettersson,22,0.26,"$66,986","$25,470,000"
361,T362,T362,Ben Curtis,5,0.24,"$12,691","$5,239,590"
362,T362,T362,Brendon Todd,29,0.24,"$75,772","$31,860,000"
363,364,364,Tommy Gainey,4,0.23,"$7,872","$3,366,000"
364,T365,T365,Trevor Immelman,11,0.17,"$20,509","$11,754,000"
365,T365,T365,Jarrod Lyle,10,0.17,"$15,884","$9,558,000"
366,T365,T365,Omar Uresti,4,0.17,"$7,910","$4,770,000"
367,368,368,Matt Bettencourt,5,0.15,"$6,195","$4,068,000"
368,369,369,Robert Allenby,23,0.1,"$25,271","$24,372,000"
369,370,370,Charlie Beljan,13,0.08,"$11,160","$13,860,000"
