,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
57,T58,T58,Tim Clark,60,"75' 7""",45362,50,"4' 3""","150' 11"""
58,T58,T58,Troy Kelly,68,"75' 7""",46264,51,"4' 3""","199' 10"""
59,T58,T58,Charl Schwartzel,56,"75' 7""",36293,40,"4' 3""","169' 5"""
60,61,61,Tom Gillis,75,"75' 5""",62447,69,"4' 3""","160' 2"""
61,62,62,Kevin Kisner,69,"75' 4""",47909,53,"4' 3""","130' 7"""
62,T63,T63,Martin Laird,77,"75' 3""",48776,54,"4' 3""","124' 10"""
63,T63,T63,Pat Perez,81,"75' 3""",62319,69,"4' 3""","155' 1"""
64,65,65,Matt Every,80,"75' 2""",57747,64,"4' 3""","149' 8"""
65,66,66,Cameron Tringale,88,"75' 1""",69383,77,"4' 3""","135' 5"""
66,67,67,Dicky Pride,62,"75' 0""",44109,49,"4' 3""","131' 11"""
67,68,68,Brendon de Jonge,115,"74' 10""",91607,102,"4' 2""","188' 3"""
68,T69,T69,Aaron Baddeley,73,"74' 9""",49343,55,"4' 2""","139' 6"""
69,T69,T69,Gary Christian,91,"74' 9""",67295,75,"4' 2""","151' 2"""
70,T69,T69,George McNeill,85,"74' 9""",63682,71,"4' 2""","160' 5"""
71,72,72,J.B. Holmes,90,"74' 7""",69785,78,"4' 2""","146' 7"""
72,T73,T73,Mark Anderson,75,"74' 6""",54546,61,"4' 2""","114' 4"""
73,T73,T73,Miguel Angel Carballo,73,"74' 6""",50958,57,"4' 2""","133' 0"""
74,T73,T73,Richard Lee,71,"74' 6""",50953,57,"4' 2""","131' 1"""
75,76,76,Sung Kang,75,"74' 5""",55353,62,"4' 2""","144' 7"""
76,77,77,Steve Wheatcroft,56,"74' 4""",37444,42,"4' 2""","122' 11"""
77,T78,T78,Dustin Johnson,70,"74' 2""",47151,53,"4' 2""","148' 10"""
78,T78,T78,Jeff Maggert,83,"74' 2""",69410,78,"4' 2""","134' 1"""
79,T80,T80,Sangmoon Bae,81,"74' 0""",50593,57,"4' 2""","150' 10"""
80,T80,T80,Erik Compton,81,"74' 0""",56803,64,"4' 2""","133' 6"""
81,T80,T80,D.A. Points,88,"74' 0""",71029,80,"4' 2""","124' 11"""
82,83,83,Brandt Jobe,57,"73' 11""",39901,45,"4' 2""","113' 10"""
83,84,84,Chris Couch,61,"73' 10""",47825,54,"4' 2""","120' 5"""
84,T85,T85,Blake Adams,107,"73' 8""",77796,88,"4' 2""","147' 4"""
85,T85,T85,Billy Hurley III,70,"73' 8""",50372,57,"4' 2""","147' 2"""
86,T85,T85,David Mathis,83,"73' 8""",61007,69,"4' 2""","146' 9"""
87,T85,T85,Rod Pampling,88,"73' 8""",60964,69,"4' 1""","180' 0"""
88,89,89,Chris Stroud,86,"73' 7""",66259,75,"4' 2""","171' 5"""
89,T90,T90,Kevin Chappell,91,"73' 6""",63469,72,"4' 2""","126' 0"""
90,T90,T90,Seung-Yul Noh,105,"73' 6""",74972,85,"4' 2""","172' 5"""
91,T92,T92,Michael Bradley,63,"73' 5""",48471,55,"4' 2""","139' 10"""
92,T92,T92,Billy Mayfair,90,"73' 5""",68697,78,"4' 2""","155' 4"""
93,T94,T94,Russell Knox,72,"73' 4""",49291,56,"4' 1""","129' 7"""
94,T94,T94,Sean O'Hair,84,"73' 4""",66851,76,"4' 1""","175' 2"""
95,T96,T96,Colt Knost,79,"73' 3""",58912,67,"4' 1""","122' 0"""
96,T96,T96,John Senden,81,"73' 3""",54473,62,"4' 1""","144' 8"""
97,98,98,Brian Gay,91,"73' 2""",68477,78,"4' 2""","125' 2"""
98,T99,T99,Matt Bettencourt,80,"73' 1""",52604,60,"4' 1""","127' 7"""
99,T99,T99,Greg Chalmers,88,"73' 1""",65751,75,"4' 2""","143' 10"""
100,T99,T99,Billy Horschel,63,"73' 1""",42076,48,"4' 1""","132' 4"""
101,T102,T102,Charlie Beljan,61,"73' 0""",37686,43,"4' 2""","148' 0"""
102,T102,T102,Charles Howell III,98,"73' 0""",67423,77,"4' 1""","146' 4"""
103,T102,T102,Carl Pettersson,92,"73' 0""",70050,80,"4' 1""","129' 7"""
104,T105,T105,Roberto Castro,92,"72' 10""",65580,75,"4' 1""","153' 11"""
105,T105,T105,Rickie Fowler,84,"72' 10""",57657,66,"4' 1""","159' 6"""
106,T105,T105,Alexandre Rocha,62,"72' 10""",43719,50,"4' 1""","134' 4"""
107,T108,T108,Daniel Chopra,55,"72' 9""",37535,43,"4' 1""","126' 5"""
108,T108,T108,Harris English,98,"72' 9""",75981,87,"4' 1""","125' 11"""
109,T108,T108,Rory Sabbatini,84,"72' 9""",62822,72,"4' 1""","134' 8"""
110,T111,T111,Stewart Cink,71,"72' 8""",47089,54,"4' 1""","140' 9"""
111,T111,T111,Kevin Na,80,"72' 8""",56666,65,"4' 1""","125' 5"""
112,T111,T111,Geoff Ogilvy,73,"72' 8""",47962,55,"4' 1""","121' 9"""
113,T111,T111,Steve Stricker,73,"72' 8""",47080,54,"4' 1""","119' 9"""
114,115,115,Garth Mulroy,59,"72' 7""",40073,46,"4' 1""","153' 2"""
115,116,116,Jimmy Walker,101,"72' 6""",79144,91,"4' 1""","154' 11"""
116,T117,T117,Jason Bohn,81,"72' 5""",57372,66,"4' 1""","146' 4"""
117,T117,T117,Ryo Ishikawa,54,"72' 5""",32147,37,"4' 1""","114' 4"""
118,T119,T119,Troy Matteson,100,"72' 4""",72055,83,"4' 1""","144' 1"""
119,T119,T119,John Rollins,81,"72' 4""",61641,71,"4' 1""","160' 4"""
120,T119,T119,Camilo Villegas,79,"72' 4""",63388,73,"4' 1""","152' 0"""
121,T122,T122,Jerry Kelly,84,"72' 3""",63288,73,"4' 1""","153' 7"""
122,T122,T122,Rory McIlroy,60,"72' 3""",34697,40,"4' 1""","112' 11"""
123,T122,T122,Scott Stallings,78,"72' 3""",58989,68,"4' 1""","155' 2"""
124,T122,T122,Brendan Steele,77,"72' 3""",55511,64,"4' 1""","137' 11"""
125,126,126,David Toms,60,"72' 2""",38114,44,"4' 0""","120' 8"""
126,T127,T127,Will Claxton,99,"72' 1""",74404,86,"4' 1""","149' 8"""
127,T127,T127,Kyle Reifers,86,"72' 1""",64024,74,"4' 1""","130' 7"""
128,129,129,Spencer Levin,81,"72' 0""",57047,66,"4' 1""","153' 8"""
129,T130,T130,Padraig Harrington,67,"71' 11""",38840,45,"4' 0""","195' 11"""
130,T130,T130,Trevor Immelman,76,"71' 11""",49172,57,"4' 0""","137' 10"""
131,T132,T132,Freddie Jacobson,61,"71' 10""",37929,44,"4' 0""","134' 1"""
132,T132,T132,Matt Jones,53,"71' 10""",37908,44,"4' 0""","122' 0"""
133,134,134,Vaughn Taylor,81,"71' 9""",55097,64,"4' 1""","141' 3"""
134,135,135,Scott Brown,65,"71' 8""",43877,51,"4' 0""","151' 3"""
135,136,136,Chris Kirk,93,"71' 7""",73054,85,"4' 1""","125' 6"""
136,T137,T137,J.J. Killeen,101,"71' 6""",72081,84,"4' 0""","150' 8"""
137,T137,T137,Roland Thatcher,55,"71' 6""",37758,44,"4' 0""","143' 4"""
138,139,139,Bill Lunde,83,"71' 5""",57406,67,"4' 0""","114' 6"""
139,T140,T140,Robert Allenby,76,"71' 4""",56500,66,"4' 0""","127' 6"""
140,T140,T140,Robert Karlsson,54,"71' 4""",35103,41,"3' 12""","126' 2"""
141,T140,T140,Josh Teater,97,"71' 4""",71038,83,"3' 12""","144' 1"""
142,T143,T143,Stephen Ames,54,"71' 2""",33320,39,"4' 0""","99' 8"""
143,T143,T143,Jason Kokrak,79,"71' 2""",58904,69,"3' 12""","138' 1"""
144,T145,T145,Hunter Mahan,88,"71' 1""",54566,64,"3' 12""","172' 1"""
145,T145,T145,John Merrick,83,"71' 1""",61403,72,"3' 12""","141' 8"""
146,T145,T145,Greg Owen,90,"71' 1""",65696,77,"3' 12""","152' 10"""
147,T148,T148,Bud Cauley,99,"71' 0""",77513,91,"4' 0""","155' 8"""
148,T148,T148,John Mallinger,74,"71' 0""",53649,63,"4' 0""","127' 7"""
149,T148,T148,Daniel Summerhays,81,"71' 0""",57943,68,"4' 0""","148' 4"""
150,T151,T151,Graham DeLaet,79,"70' 8""",60209,71,"3' 12""","160' 3"""
151,T151,T151,Jim Furyk,85,"70' 8""",55102,65,"3' 12""","126' 11"""
152,T151,T151,Bill Haas,79,"70' 8""",51737,61,"3' 12""","135' 11"""
153,T151,T151,Davis Love III,64,"70' 8""",44094,52,"3' 12""","121' 9"""
154,T155,T155,Stuart Appleby,75,"70' 7""",55045,65,"3' 11""","132' 7"""
155,T155,T155,Patrick Sheehan,58,"70' 7""",37264,44,"3' 12""","153' 3"""
156,157,157,Rocco Mediate,70,"70' 6""",49096,58,"3' 11""","133' 0"""
157,T158,T158,Arjun Atwal,79,"70' 4""",55725,66,"3' 12""","140' 7"""
158,T158,T158,Tom Pernice Jr.,62,"70' 4""",43908,52,"3' 12""","126' 10"""
159,160,160,Tim Herron,88,"70' 3""",64068,76,"3' 11""","137' 5"""
160,161,161,Bobby Gates,87,"70' 2""",64011,76,"3' 11""","165' 11"""
161,T162,T162,Chris DiMarco,83,"70' 0""",60490,72,"3' 12""","129' 3"""
162,T162,T162,Stephen Gangluff,57,"70' 0""",36115,43,"3' 11""","117' 9"""
163,T162,T162,Mark Wilson,84,"70' 0""",57111,68,"3' 11""","160' 7"""
164,T165,T165,Bob Estes,78,"69' 10""",54459,65,"3' 11""","156' 0"""
165,T165,T165,Gary Woodland,70,"69' 10""",44429,53,"3' 11""","114' 2"""
166,167,167,Vijay Singh,99,"69' 9""",67782,81,"3' 11""","130' 4"""
167,T168,T168,Chad Campbell,84,"69' 7""",60924,73,"3' 11""","113' 5"""
168,T168,T168,D.J. Trahan,73,"69' 7""",51741,62,"3' 11""","133' 10"""
169,170,170,Mathew Goggin,65,"69' 5""",45789,55,"3' 11""","146' 9"""
170,171,171,Ernie Els,80,"69' 4""",54052,65,"3' 10""","121' 5"""
171,172,172,Kris Blanks,65,"69' 2""",49806,60,"3' 11""","134' 4"""
172,173,173,Ricky Barnes,92,"69' 0""",67900,82,"3' 11""","143' 7"""
173,174,174,Bubba Watson,68,"68' 10""",42129,51,"3' 10""","130' 11"""
174,175,175,Chez Reavie,83,"68' 9""",54476,66,"3' 10""","105' 0"""
175,176,176,Charley Hoffman,88,"68' 7""",62551,76,"3' 10""","132' 2"""
176,T177,T177,Hunter Haas,69,"68' 5""",42673,52,"3' 10""","144' 11"""
177,T177,T177,Nick O'Hern,78,"68' 5""",55830,68,"3' 10""","164' 6"""
178,179,179,Marco Dawson,60,"68' 4""",37725,46,"3' 10""","124' 6"""
179,T180,T180,Justin Leonard,79,"68' 1""",55524,68,"3' 10""","147' 3"""
180,T180,T180,Kevin Streelman,89,"68' 1""",62929,77,"3' 10""","126' 11"""
181,182,182,Boo Weekley,74,"67' 11""",47242,58,"3' 10""","138' 9"""
182,183,183,Scott Dunlap,57,"67' 6""",37278,46,"3' 9""","154' 2"""
183,184,184,Heath Slocum,93,"67' 4""",60615,75,"3' 9""","148' 7"""
184,185,185,Kevin Stadler,85,"67' 2""",56454,70,"3' 9""","131' 5"""
185,186,186,Marc Leishman,84,"66' 10""",60945,76,"3' 9""","146' 8"""
186,187,187,Ángel Cabrera,54,"66' 8""",29597,37,"3' 9""","124' 3"""
187,188,188,J.J. Henry,93,"66' 3""",56432,71,"3' 9""","116' 5"""
188,189,189,K.J. Choi,71,"66' 1""",44387,56,"3' 9""","104' 8"""
189,190,190,Kyle Thompson,51,"65' 7""",29104,37,"3' 8""","120' 2"""
190,191,191,Kyle Stanley,86,"64' 11""",54515,70,"3' 8""","149' 10"""
