,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
53,T52,53,Martin Flores,95,"58' 11""",Arnold Palmer Invitational presented by MasterCard,1,2
54,T55,17,Charles Howell III,98,"58' 10""",Waste Management Phoenix Open,2,13
55,T55,56,Trevor Immelman,76,"58' 10""",the Memorial Tournament presented by Nationwide Insurance,2,3
56,T57,57,Hunter Haas,69,"58' 9""",Shell Houston Open,2,8
57,T57,46,Jonas Blixt,72,"58' 9""",Justin Timberlake Shriners Hospitals for Children Open,1,17
58,T59,60,Sergio Garcia,57,"58' 8""",TOUR Championship by Coca-Cola,4,5
59,T59,59,Scott Piercy,95,"58' 8""",Hyundai Tournament of Champions,1,17
60,T59,61,Charlie Beljan,61,"58' 8""",The McGladrey Classic,1,9
61,62,62,Marc Leishman,84,"58' 6""",RBC Heritage,1,10
62,63,63,Greg Chalmers,88,"58' 4""",The Honda Classic,4,14
63,64,64,Kevin Stadler,85,"58' 2""",Northern Trust Open,3,3
64,65,65,Jeff Overton,101,"58' 1""",Shell Houston Open,4,5
65,T66,67,Fulton Allem,6,"57' 10""",Crowne Plaza Invitational at Colonial,2,8
66,T66,66,Vijay Singh,99,"57' 10""",Northern Trust Open,2,3
67,T68,62,Marc Leishman,84,"57' 9""",Shell Houston Open,3,14
68,T68,69,Scott Stallings,78,"57' 9""",True South Classic,2,9
69,70,29,Will Claxton,99,"57' 8""",Shell Houston Open,2,17
70,T71,72,Brendon de Jonge,115,"57' 7""",THE PLAYERS Championship,1,16
71,T71,53,Martin Flores,95,"57' 7""",The Honda Classic,1,7
72,73,73,Jimmy Walker,101,"57' 6""",BMW Championship,1,10
73,74,74,Ben Ferguson,2,"57' 5""",RBC Canadian Open,2,14
74,T75,75,Stewart Cink,71,"57' 1""",Shell Houston Open,2,11
75,T75,77,Billy Horschel,63,"57' 1""",The Greenbrier Classic,3,15
76,T75,69,Scott Stallings,78,"57' 1""",FedEx St. Jude Classic,2,13
77,78,78,Jess Ferrell,2,"56' 11""",The Greenbrier Classic,1,7
78,79,63,Greg Chalmers,88,"56' 8""",Waste Management Phoenix Open,1,17
79,80,80,John Merrick,83,"56' 7""",Waste Management Phoenix Open,2,3
80,81,81,Joe Ogilvie,47,"56' 3""",Transitions Championship,4,16
81,82,3,James Driscoll,83,"56' 2""",Justin Timberlake Shriners Hospitals for Children Open,2,8
82,T83,84,Bryce Molder,83,"56' 1""",BMW Championship,4,7
83,T83,83,Sangmoon Bae,81,"56' 1""",AT&T Pebble Beach National Pro-Am,3,5
84,T85,87,Rocco Mediate,70,"55' 10""",True South Classic,1,11
85,T85,17,Charles Howell III,98,"55' 10""",RBC Heritage,2,16
86,T85,86,Heath Slocum,93,"55' 10""",AT&T National,4,18
87,T85,88,Brandt Snedeker,81,"55' 10""",Wyndham Championship,2,12
88,T89,90,Scott Verplank,18,"55' 9""",Children's Miracle Network Hospitals Classic,1,9
89,T89,56,Trevor Immelman,76,"55' 9""",Wyndham Championship,2,12
90,91,91,Charley Hoffman,88,"55' 8""",The Greenbrier Classic,4,17
91,92,92,John Mallinger,74,"55' 6""",The Honda Classic,2,7
92,93,93,Henrik Stenson,51,"55' 5""",The McGladrey Classic,2,12
93,94,94,Sung Kang,75,"55' 4""",Transitions Championship,4,18
94,95,95,Matt Every,80,"55' 3""",Shell Houston Open,1,9
95,96,96,William McGirt,96,"55' 2""",True South Classic,4,9
96,T97,8,Billy Mayfair,90,"55' 1""",The McGladrey Classic,2,15
97,T97,97,Dicky Pride,62,"55' 1""",Wells Fargo Championship,4,18
98,T97,17,Charles Howell III,98,"55' 1""",The Barclays,4,7
99,T100,101,Paul Casey,20,"54' 10""",World Golf Championships-Cadillac Championship,2,17
100,T100,102,Spencer Levin,81,"54' 10""",The Greenbrier Classic,2,8
101,T100,2,Seung-Yul Noh,105,"54' 10""",The Honda Classic,4,3
102,T103,86,Heath Slocum,93,"54' 9""",Shell Houston Open,2,2
103,T103,104,Pat Perez,81,"54' 9""",The Barclays,2,18
104,105,105,Jerry Kelly,84,"54' 8""",Wyndham Championship,4,5
105,T106,106,Ryuji Imada,78,"54' 6""",Sony Open in Hawaii,1,2
106,T106,65,Jeff Overton,101,"54' 6""",Justin Timberlake Shriners Hospitals for Children Open,4,6
107,108,30,Dustin Johnson,70,"54' 5""",TOUR Championship by Coca-Cola,4,17
108,109,109,Ian Poulter,57,"54' 4""",World Golf Championships-Bridgestone Invitational,2,5
109,T110,111,Gary Christian,91,"54' 3""",The Honda Classic,2,10
110,T110,15,Ben Crane,73,"54' 3""",Hyundai Tournament of Champions,1,11
111,112,86,Heath Slocum,93,"54' 2""",FedEx St. Jude Classic,1,14
112,T113,115,Chris Couch,61,"54' 1""",John Deere Classic,1,2
113,T113,113,Kevin Kisner,69,"54' 1""",Farmers Insurance Open,1,6
114,T113,114,Kevin Chappell,91,"54' 1""",Farmers Insurance Open,3,4
115,116,116,Keegan Bradley,90,"54' 0""",TOUR Championship by Coca-Cola,2,16
