,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
79,T77,T77,Ryuji Imada,78,236,513,46.0
80,T81,T81,John Mallinger,74,235,428,54.9
81,T81,T81,John Rollins,81,235,482,48.8
82,83,83,Jason Kokrak,79,234,469,49.9
83,84,84,Camilo Villegas,79,233,463,50.3
84,T85,T85,Arjun Atwal,79,232,447,51.9
85,T85,T85,Nick O'Hern,78,232,467,49.7
86,T85,T85,Bo Van Pelt,84,232,491,47.3
87,T88,T88,Erik Compton,81,231,461,50.1
88,T88,T88,Kyle Reifers,86,231,470,49.1
89,T90,T90,Ben Crane,73,228,464,49.1
90,T90,T90,Colt Knost,79,228,469,48.6
91,T92,T92,Aaron Baddeley,73,227,444,51.1
92,T92,T92,Chad Campbell,84,227,464,48.9
93,T92,T92,J.J. Henry,93,227,432,52.5
94,T92,T92,Geoff Ogilvy,73,227,413,55.0
95,96,96,Webb Simpson,77,226,486,46.5
96,T97,T97,Gary Christian,91,225,492,45.7
97,T97,T97,Jason Dufner,83,225,466,48.3
98,T99,T99,Scott Stallings,78,223,438,50.9
99,T99,T99,Michael Thompson,80,223,467,47.8
100,T101,T101,Cameron Beckman,81,221,466,47.4
101,T101,T101,Jason Bohn,81,221,453,48.8
102,103,103,"Ted Potter, Jr.",77,219,440,49.8
103,T104,T104,Mark Anderson,75,218,433,50.3
104,T104,T104,Johnson Wagner,88,218,511,42.7
105,T106,T106,Matt Every,80,217,461,47.1
106,T106,T106,Sung Kang,75,217,446,48.7
107,108,108,Jhonattan Vegas,77,215,435,49.4
108,109,109,Trevor Immelman,76,214,398,53.8
109,T110,T110,Billy Hurley III,70,213,410,52.0
110,T110,T110,Rocco Mediate,70,213,412,51.7
111,T112,T112,Jonathan Byrd,69,212,413,51.3
112,T112,T112,Chris Couch,61,212,393,53.9
113,T112,T112,Hunter Mahan,88,212,408,52.0
114,T112,T112,Daniel Summerhays,81,212,435,48.7
115,T112,T112,Brendon Todd,78,212,447,47.4
116,117,117,John Senden,81,211,431,49.0
117,T118,T118,Tommy Biershenk,74,210,421,49.9
118,T118,T118,Gavin Coles,72,210,433,48.5
119,T118,T118,Tom Pernice Jr.,62,210,368,57.1
120,T121,T121,Danny Lee,74,208,413,50.4
121,T121,T121,Chez Reavie,83,208,430,48.4
122,T123,T123,Nathan Green,73,205,400,51.3
123,T123,T123,D.J. Trahan,73,205,398,51.5
124,T125,T125,Robert Allenby,76,204,417,48.9
125,T125,T125,Kevin Kisner,69,204,387,52.7
126,T125,T125,Andres Romero,68,204,394,51.8
127,T128,T128,Mathew Goggin,65,202,358,56.4
128,T128,T128,Bill Haas,79,202,415,48.7
129,T130,T130,Dustin Johnson,70,201,391,51.4
130,T130,T130,Vaughn Taylor,81,201,434,46.3
131,T132,T132,Sangmoon Bae,81,200,414,48.3
132,T132,T132,Hunter Haas,69,200,377,53.1
133,134,134,Brendan Steele,77,199,404,49.3
134,135,135,Derek Lamely,64,198,412,48.1
135,T136,T136,K.J. Choi,71,194,371,52.3
136,T136,T136,Richard Lee,71,194,383,50.7
137,138,138,Kris Blanks,65,192,383,50.1
138,T139,T139,Justin Rose,69,191,367,52.0
139,T139,T139,Steve Stricker,73,191,380,50.3
140,141,141,Jason Day,57,189,364,51.9
141,142,142,Martin Laird,77,187,386,48.4
142,143,143,Y.E. Yang,64,186,384,48.4
143,T144,T144,Miguel Angel Carballo,73,183,374,48.9
144,T144,T144,Troy Kelly,68,183,352,52.0
145,T146,T146,Stewart Cink,71,180,361,49.9
146,T146,T146,Robert Karlsson,54,180,321,56.1
147,T148,T148,Davis Love III,64,179,370,48.4
148,T148,T148,Boo Weekley,74,179,336,53.3
149,150,150,Padraig Harrington,67,178,343,51.9
150,T151,T151,Russell Knox,72,176,365,48.2
151,T151,T151,Gary Woodland,70,176,345,51.0
152,153,153,Bubba Watson,68,174,329,52.9
153,T154,T154,Tim Clark,60,173,348,49.7
154,T154,T154,Luke Donald,63,173,353,49.0
155,156,156,Tiger Woods,69,171,347,49.3
156,T157,T157,Louis Oosthuizen,65,170,324,52.5
157,T157,T157,Dicky Pride,62,170,343,49.6
158,159,159,Daniel Chopra,55,169,320,52.8
159,160,160,Harrison Frazar,56,168,346,48.6
160,T161,T161,Scott Brown,65,167,328,50.9
161,T161,T161,Billy Horschel,63,167,328,50.9
162,T161,T161,Rory McIlroy,60,167,303,55.1
163,T164,T164,Marco Dawson,60,165,317,52.1
164,T164,T164,Freddie Jacobson,61,165,313,52.7
165,166,166,Garth Mulroy,59,164,322,50.9
166,T167,T167,Michael Bradley,63,157,338,46.4
167,T167,T167,David Toms,60,157,303,51.8
168,169,169,Brandt Jobe,57,156,296,52.7
169,T170,T170,Ian Poulter,57,154,283,54.4
170,T170,T170,Patrick Sheehan,58,154,303,50.8
171,172,172,Sergio Garcia,57,152,314,48.4
172,173,173,Matt Jones,53,151,304,49.7
173,174,174,Roland Thatcher,55,147,284,51.8
174,175,175,Stephen Gangluff,57,146,290,50.3
175,176,176,Henrik Stenson,51,144,285,50.5
176,177,177,Ben Curtis,62,143,329,43.5
177,178,178,Charl Schwartzel,56,140,287,48.8
178,179,179,Graeme McDowell,55,135,265,50.9
179,T180,T180,Scott Dunlap,57,134,288,46.5
180,T180,T180,Adam Scott,59,134,267,50.2
181,T180,T180,Steve Wheatcroft,56,134,270,49.6
182,T183,T183,Ryo Ishikawa,54,133,256,52.0
183,T183,T183,Lee Westwood,60,133,271,49.1
184,185,185,Edward Loar,59,132,287,46.0
185,T186,T186,Charlie Beljan,61,130,260,50.0
186,T186,T186,Alexandre Rocha,62,130,296,43.9
187,188,188,Stephen Ames,54,125,268,46.6
188,189,189,Ángel Cabrera,54,123,245,50.2
189,190,190,John Daly,50,120,278,43.2
190,191,191,Kyle Thompson,51,114,233,48.9
