,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
34,T35,T35,Colt Knost,79,"22' 9""",45.5,2,31,15
35,T35,T35,Jason Kokrak,79,"22' 9""",159.0,7,42,11
36,37,37,Brandt Snedeker,81,"22' 1""",88.333,4,32,11
37,38,38,Michael Bradley,63,"21' 8""",64.917,3,37,13
38,T39,T39,Jerry Kelly,84,"21' 7""",43.167,2,23,21
39,T39,T39,Kevin Kisner,69,"21' 7""",86.417,4,33,9
40,41,41,Tommy Gainey,98,"21' 5""",85.667,4,37,9
41,42,42,Tiger Woods,69,"21' 3""",85.0,4,48,2
42,T43,T43,Greg Chalmers,88,"21' 1""",84.333,4,57,7
43,T43,T43,K.J. Choi,71,"21' 1""",63.25,3,32,7
44,T43,T43,Tom Gillis,75,"21' 1""",42.083,2,38,5
45,T43,T43,J.J. Killeen,101,"21' 1""",21.083000000000002,1,21,21
46,47,47,Rickie Fowler,84,"20' 9""",124.417,6,34,10
47,T48,T48,Robert Garrigus,89,"20' 8""",247.5,12,66,3
48,T48,T48,Bobby Gates,87,"20' 8""",103.5,5,51,3
49,50,50,Daniel Summerhays,81,"20' 6""",61.5,3,39,11
50,T51,T51,Aaron Baddeley,73,"20' 5""",40.833,2,31,10
51,T51,T51,Ricky Barnes,92,"20' 5""",81.5,4,28,3
52,53,53,Daniel Chopra,55,"20' 4""",40.667,2,30,11
53,T54,T54,Brian Davis,91,"20' 2""",100.833,5,34,8
54,T54,T54,Webb Simpson,77,"20' 2""",60.5,3,39,10
55,56,56,Ken Duke,104,"19' 8""",157.167,8,48,5
56,57,57,Bo Van Pelt,84,"19' 2""",96.0,5,26,9
57,58,58,John Rollins,81,"19' 1""",57.167,3,32,3
58,59,59,David Mathis,83,"19' 0""",75.917,4,54,3
59,60,60,Lee Westwood,60,"18' 11""",75.5,4,54,4
60,61,61,Roberto Castro,92,"18' 10""",56.5,3,35,10
61,T62,T62,Brendon de Jonge,115,"18' 8""",130.833,7,58,3
62,T62,T62,Charley Hoffman,88,"18' 8""",130.667,7,56,4
63,T62,T62,John Merrick,83,"18' 8""",93.5,5,52,2
64,T62,T62,Scott Piercy,95,"18' 8""",130.833,7,33,11
65,66,66,Vijay Singh,99,"18' 6""",92.583,5,38,2
66,T67,T67,Chris Couch,61,"18' 5""",110.583,6,54,8
67,T67,T67,Seung-Yul Noh,105,"18' 5""",147.583,8,55,4
68,T69,T69,Gary Christian,91,"18' 4""",73.333,4,36,2
69,T69,T69,Ryo Ishikawa,54,"18' 4""",91.833,5,26,10
70,T69,T69,Edward Loar,59,"18' 4""",91.5,5,24,5
71,T69,T69,Hunter Mahan,88,"18' 4""",54.917,3,43,"9"""
72,T73,T73,Josh Teater,97,"18' 3""",109.417,6,33,"8"""
73,T73,T73,D.J. Trahan,73,"18' 3""",18.25,1,18,18
74,75,75,Jim Furyk,85,"18' 0""",36.0,2,28,8
75,76,76,Jhonattan Vegas,77,"17' 11""",53.75,3,30,7
76,T77,T77,James Driscoll,83,"17' 9""",159.917,9,43,2
77,T77,T77,Patrick Sheehan,58,"17' 9""",35.417,2,23,13
78,79,79,Troy Matteson,100,"17' 7""",87.917,5,60,4
79,80,80,Sergio Garcia,57,"17' 5""",69.583,4,39,5
80,T81,T81,Will Claxton,99,"17' 3""",68.917,4,39,4
81,T81,T81,Matt Kuchar,86,"17' 3""",69.0,4,33,4
82,T83,T83,Ernie Els,80,"17' 1""",68.25,4,22,8
83,T83,T83,Zach Johnson,95,"17' 1""",102.417,6,49,5
84,T83,T83,Charl Schwartzel,56,"17' 1""",34.167,2,30,4
85,86,86,Y.E. Yang,64,"16' 11""",16.917,1,17,17
86,T87,T87,Erik Compton,81,"16' 9""",83.833,5,45,5
87,T87,T87,Martin Laird,77,"16' 9""",16.75,1,17,17
88,89,89,Brian Harman,101,"16' 8""",182.917,11,30,7
89,T90,T90,Russell Knox,72,"16' 7""",132.917,8,46,2
90,T90,T90,Danny Lee,74,"16' 7""",33.167,2,22,11
91,T90,T90,Phil Mickelson,79,"16' 7""",49.833,3,21,13
92,93,93,Rory Sabbatini,84,"16' 5""",49.333,3,28,11
93,94,94,Johnson Wagner,88,"16' 4""",97.833,6,30,1
94,95,95,Jeff Overton,101,"16' 1""",96.5,6,33,4
95,96,96,John Senden,81,"16' 0""",64.0,4,25,8
96,97,97,Harrison Frazar,56,"15' 9""",78.917,5,36,2
97,T98,T98,Louis Oosthuizen,65,"15' 8""",62.667,4,32,5
98,T98,T98,Vaughn Taylor,81,"15' 8""",15.667,1,16,16
99,T98,T98,Nick Watney,97,"15' 8""",156.333,10,41,5
100,101,101,Ángel Cabrera,54,"15' 3""",91.5,6,59,4
101,T102,T102,Billy Horschel,63,"15' 2""",76.0,5,32,5
102,T102,T102,Davis Love III,64,"15' 2""",15.167,1,15,15
103,104,104,Michael Thompson,80,"15' 1""",105.5,7,38,4
104,105,105,Henrik Stenson,51,"15' 0""",29.916999999999998,2,19,11
105,106,106,Chez Reavie,83,"14' 11""",14.917,1,15,15
106,T107,T107,Sean O'Hair,84,"14' 10""",88.75,6,34,3
107,T107,T107,Ryan Palmer,81,"14' 10""",14.833,1,15,15
108,T109,T109,Scott Dunlap,57,"14' 9""",29.5,2,27,3
109,T109,T109,George McNeill,85,"14' 9""",73.667,5,32,2
110,111,111,D.A. Points,88,"14' 8""",73.167,5,31,2
111,112,112,Luke Donald,63,"14' 5""",43.25,3,23,5
112,113,113,Chris DiMarco,83,"14' 4""",42.917,3,23,6
113,114,114,Roland Thatcher,55,"14' 3""",14.25,1,14,14
114,115,115,Geoff Ogilvy,73,"14' 2""",56.667,4,32,5
115,116,116,Dicky Pride,62,"13' 11""",27.833000000000002,2,16,12
116,117,117,Kevin Chappell,91,"13' 9""",55.083,4,33,5
117,118,118,Tom Pernice Jr.,62,"13' 7""",54.25,4,31,5
118,119,119,Cameron Beckman,81,"13' 6""",40.417,3,30,3
119,120,120,Kris Blanks,65,"13' 5""",67.083,5,20,3
120,121,121,Brendon Todd,78,"13' 4""",40.0,3,23,5
121,122,122,Boo Weekley,74,"13' 1""",39.167,3,17,8
122,T123,T123,Kyle Stanley,86,"12' 11""",90.417,7,25,3
123,T123,T123,Chris Stroud,86,"12' 11""",25.833000000000002,2,18,8
124,125,125,Stewart Cink,71,"12' 8""",37.917,3,19,6
125,126,126,Keegan Bradley,90,"12' 4""",86.083,7,25,5
126,T127,T127,Arjun Atwal,79,"12' 2""",60.917,5,17,8
127,T127,T127,Andres Romero,68,"12' 2""",60.667,5,15,7
128,T127,T127,Jimmy Walker,101,"12' 2""",121.417,10,39,"11"""
129,T127,T127,Steve Wheatcroft,56,"12' 2""",60.667,5,19,1
130,T131,T131,Bill Haas,79,"12' 1""",48.417,4,23,5
131,T131,T131,Justin Rose,69,"12' 1""",36.25,3,15,10
132,T131,T131,Gary Woodland,70,"12' 1""",108.75,9,28,2
133,T134,T134,John Daly,50,"12' 0""",36.083,3,25,"5"""
134,T134,T134,Carl Pettersson,92,"12' 0""",71.917,6,46,2
135,T136,T136,Greg Owen,90,"11' 11""",11.917,1,12,12
136,T136,T136,Charlie Wi,86,"11' 11""",47.583,4,17,7
137,T138,T138,J.J. Henry,93,"11' 9""",11.75,1,12,12
138,T138,T138,Garth Mulroy,59,"11' 9""",58.833,5,27,3
139,T140,T140,Ben Curtis,62,"11' 7""",23.083000000000002,2,19,4
140,T140,T140,Rory McIlroy,60,"11' 7""",81.0,7,25,3
141,T142,T142,Stuart Appleby,75,"11' 6""",22.916999999999998,2,12,11
142,T142,T142,Heath Slocum,93,"11' 6""",34.417,3,17,7
143,144,144,Jeff Maggert,83,"11' 5""",80.083,7,17,7
144,T145,T145,Nathan Green,73,"11' 3""",33.667,3,16,8
145,T145,T145,Brandt Jobe,57,"11' 3""",22.5,2,11,11
146,147,147,Graham DeLaet,79,"10' 11""",65.583,6,34,5
147,148,148,Robert Karlsson,54,"10' 10""",10.833,1,11,11
148,149,149,Kevin Na,80,"10' 2""",10.167,1,10,10
149,150,150,Blake Adams,107,"10' 0""",39.917,4,20,6
150,151,151,J.B. Holmes,90,"9' 11""",69.417,7,21,5
151,152,152,John Mallinger,74,"9' 8""",29.083000000000002,3,13,5
152,T153,T153,Tim Clark,60,"9' 6""",38.083,4,14,6
153,T153,T153,Chris Kirk,93,"9' 6""",76.167,8,19,2
154,155,155,Kyle Reifers,86,"9' 4""",46.75,5,20,"10"""
155,156,156,Padraig Harrington,67,"9' 3""",18.5,2,16,3
156,157,157,Brendan Steele,77,"9' 1""",27.25,3,15,6
157,158,158,Pat Perez,81,"9' 0""",17.917,2,13,5
158,T159,T159,Sung Kang,75,"8' 10""",26.583000000000002,3,17,4
159,T159,T159,Alexandre Rocha,62,"8' 10""",8.833,1,9,9
160,T161,T161,Rod Pampling,88,"8' 7""",25.666999999999998,3,13,6
161,T161,T161,David Toms,60,"8' 7""",17.083,2,15,2
162,T163,T163,Tommy Biershenk,74,"8' 6""",16.917,2,10,7
163,T163,T163,Ryan Moore,89,"8' 6""",51.083,6,15,2
164,165,165,Bill Lunde,83,"8' 4""",33.417,4,16,3
165,166,166,Miguel Angel Carballo,73,"8' 1""",24.25,3,12,5
166,167,167,Derek Lamely,64,"8' 0""",15.917,2,11,5
167,168,168,Marco Dawson,60,"7' 11""",15.833,2,12,4
168,169,169,Mark Wilson,84,"7' 9""",38.667,5,15,2
169,170,170,David Hearn,95,"7' 2""",14.333,2,8,7
170,171,171,Steve Stricker,73,"7' 0""",13.917,2,11,3
171,172,172,Marc Leishman,84,"6' 9""",13.417,2,8,6
172,173,173,Hunter Haas,69,"6' 8""",19.917,3,9,5
173,174,174,Stephen Gangluff,57,"6' 6""",12.917,2,13,"2"""
174,175,175,Ryuji Imada,78,"5' 11""",5.917000000000001,1,6,6
175,176,176,Bryce Molder,83,"4' 11""",4.917,1,5,5
176,177,177,Chad Campbell,84,"4' 8""",9.25,2,7,3
177,178,178,Kevin Streelman,89,"4' 6""",8.917,2,8,"9"""
178,179,179,Jonathan Byrd,69,"4' 5""",13.167,3,5,4
179,180,180,John Huh,99,"2' 6""",2.5,1,3,3
