,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
80,81,81,Hunter Haas,69,38.46,450,1170
81,82,82,Martin Laird,77,38.43,505,1314
82,83,83,Chris Kirk,93,38.39,615,1602
83,T84,T84,Tommy Biershenk,74,38.19,495,1296
84,T84,T84,Matt Every,80,38.19,550,1440
85,86,86,Ernie Els,80,38.18,536,1404
86,87,87,Tim Clark,60,38.15,412,1080
87,88,88,Nick O'Hern,78,38.14,508,1332
88,T89,T89,Matt Bettencourt,80,38.08,521,1368
89,T89,T89,Trevor Immelman,76,38.08,521,1368
90,91,91,Johnson Wagner,88,38.01,602,1584
91,92,92,Mark Wilson,84,37.96,533,1404
92,93,93,Robert Garrigus,89,37.95,608,1602
93,T94,T94,Troy Kelly,68,37.93,437,1152
94,T94,T94,Jason Kokrak,79,37.93,512,1350
95,96,96,J.B. Holmes,90,37.86,586,1548
96,97,97,Andres Romero,68,37.85,436,1152
97,98,98,Justin Rose,69,37.83,463,1224
98,T99,T99,Mark Anderson,75,37.75,496,1314
99,T99,T99,Jeff Maggert,83,37.75,564,1494
100,101,101,Billy Mayfair,90,37.66,583,1548
101,T102,T102,Erik Compton,81,37.52,520,1386
102,T102,T102,George McNeill,85,37.52,574,1530
103,104,104,Charley Hoffman,88,37.5,594,1584
104,T105,T105,John Senden,81,37.46,526,1404
105,T105,T105,Brendon Todd,78,37.46,499,1332
106,107,107,D.A. Points,88,37.44,593,1584
107,108,108,Vijay Singh,99,37.43,667,1782
108,T109,T109,Jason Bohn,81,37.37,518,1386
109,T109,T109,Jerry Kelly,84,37.37,565,1512
110,T109,T109,Cameron Tringale,88,37.37,592,1584
111,112,112,Kevin Kisner,69,37.35,437,1170
112,113,113,Arjun Atwal,79,37.33,504,1350
113,114,114,Bill Haas,79,37.32,524,1404
114,115,115,John Rollins,81,37.3,517,1386
115,T116,T116,Cameron Beckman,81,37.23,516,1386
116,T116,T116,"Ted Potter, Jr.",77,37.23,516,1386
117,118,118,John Mallinger,74,37.22,469,1260
118,119,119,Ricky Barnes,92,37.18,589,1584
119,120,120,Kevin Streelman,89,37.02,593,1602
120,121,121,Rocco Mediate,70,37.01,453,1224
121,122,122,Bill Lunde,83,36.78,523,1422
122,123,123,K.J. Choi,71,36.75,463,1260
123,124,124,Harris English,98,36.73,648,1764
124,125,125,William McGirt,96,36.63,633,1728
125,126,126,Louis Oosthuizen,65,36.6,415,1134
126,127,127,Richard Lee,71,36.57,441,1206
127,128,128,Gary Woodland,70,36.55,454,1242
128,129,129,Adam Scott,59,36.49,381,1044
129,130,130,Danny Lee,74,36.43,459,1260
130,131,131,Greg Owen,90,36.36,589,1620
131,T132,T132,Stephen Ames,54,36.32,353,972
132,T132,T132,Scott Stallings,78,36.32,510,1404
133,134,134,Charles Howell III,98,36.28,640,1764
134,T135,T135,Tim Herron,88,36.17,573,1584
135,T135,T135,Troy Matteson,100,36.17,638,1764
136,137,137,Brendon de Jonge,115,36.14,748,2070
137,138,138,Bobby Gates,87,36.08,552,1530
138,139,139,Nathan Green,73,36.07,448,1242
139,140,140,Kyle Stanley,86,36.04,545,1512
140,141,141,Seung-Yul Noh,105,36.03,655,1818
141,142,142,Dicky Pride,62,36.02,376,1044
142,T143,T143,Stewart Cink,71,35.99,434,1206
143,T143,T143,D.J. Trahan,73,35.99,447,1242
144,145,145,Brendan Steele,77,35.92,472,1314
145,146,146,Lee Westwood,60,35.91,349,972
146,147,147,Sean O'Hair,84,35.85,542,1512
147,148,148,Chad Campbell,84,35.78,541,1512
148,149,149,Gary Christian,91,35.76,560,1566
149,T150,T150,Rod Pampling,88,35.65,539,1512
150,T150,T150,Vaughn Taylor,81,35.65,507,1422
151,152,152,Camilo Villegas,79,35.64,494,1386
152,153,153,Blake Adams,107,35.62,686,1926
153,154,154,Bubba Watson,68,35.61,423,1188
154,155,155,Graham DeLaet,79,35.58,506,1422
155,156,156,Matt Jones,53,35.43,338,954
156,157,157,John Merrick,83,35.37,503,1422
157,158,158,Billy Horschel,63,35.31,375,1062
158,159,159,Russell Knox,72,35.29,432,1224
159,160,160,Chez Reavie,83,35.27,527,1494
160,T161,T161,Ryo Ishikawa,54,35.26,330,936
161,T161,T161,Steve Wheatcroft,56,35.26,330,936
162,T163,T163,Roberto Castro,92,35.19,570,1620
163,T163,T163,Will Claxton,99,35.19,627,1782
164,165,165,Stephen Gangluff,57,35.15,348,990
165,T166,T166,Patrick Sheehan,58,35.12,354,1008
166,T166,T166,Kevin Stadler,85,35.12,512,1458
167,168,168,Mathew Goggin,65,35.1,398,1134
168,169,169,Hunter Mahan,88,35.09,518,1476
169,170,170,Ben Curtis,62,35.04,391,1116
170,171,171,Miguel Angel Carballo,73,35.02,435,1242
171,172,172,Robert Allenby,76,35.01,479,1368
172,173,173,Henrik Stenson,51,34.86,320,918
173,174,174,Kris Blanks,65,34.7,406,1170
174,175,175,Heath Slocum,93,34.58,554,1602
175,176,176,Edward Loar,59,34.41,353,1026
176,177,177,Marco Dawson,60,34.29,358,1044
177,178,178,Scott Dunlap,57,34.28,327,954
178,179,179,Scott Brown,65,34.22,388,1134
179,180,180,Kyle Thompson,51,34.13,301,882
180,181,181,Daniel Summerhays,81,34.02,496,1458
181,182,182,Brandt Jobe,57,33.92,348,1026
182,183,183,Kyle Reifers,86,33.85,524,1548
183,184,184,Jhonattan Vegas,77,33.84,469,1386
184,185,185,Roland Thatcher,55,33.33,318,954
185,186,186,Ángel Cabrera,54,33.13,322,972
186,187,187,J.J. Henry,93,32.77,525,1602
187,188,188,Alexandre Rocha,62,32.66,341,1044
188,189,189,Michael Bradley,63,32.63,370,1134
189,190,190,Charlie Beljan,61,32.46,333,1026
190,191,191,Boo Weekley,74,30.79,388,1260
