,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
168,169,169,Sangmoon Bae,83,-0.376,-27.05,72
169,170,170,Jeff Overton,78,-0.384,-28.398000000000003,74
170,T171,T171,Scott Stallings,79,-0.392,-25.839000000000002,66
171,T171,T171,Gary Woodland,94,-0.392,-32.529,83
172,173,173,Tommy Gainey,84,-0.41100000000000003,-30.803,75
173,174,174,Johnson Wagner,64,-0.436,-22.671999999999997,52
174,175,175,Eric Meierdierks,48,-0.501,-18.539,37
175,176,176,Derek Ernst,58,-0.526,-25.791,49
176,177,177,Robert Garrigus,69,-0.528,-25.848000000000003,49
177,178,178,Nicolas Colsaerts,50,-0.563,-20.271,36
178,179,179,Justin Hicks,79,-0.6,-39.626,66
179,180,180,Kyle Stanley,71,-0.708,-42.496,60
