,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
51,52,52,D.H. Lee,65,59.38,76,128
52,T53,T53,Ernie Els,63,59.22,61,103
53,T53,T53,David Hearn,88,59.22,106,179
54,55,55,Rickie Fowler,75,59.15,97,164
55,56,56,Ben Crane,62,59.09,78,132
56,57,57,Jordan Spieth,82,58.94,89,151
57,58,58,Carl Pettersson,82,58.7,81,138
58,T59,T59,Ben Kohles,75,58.6,92,157
59,T59,T59,Nick Watney,88,58.6,92,157
60,61,61,Luke Donald,60,58.56,65,111
61,T62,T62,Jason Day,86,58.47,107,183
62,T62,T62,Cameron Tringale,80,58.47,107,183
63,64,64,Chad Campbell,78,58.39,94,161
64,65,65,Scott Stallings,79,58.28,95,163
65,66,66,Justin Rose,62,58.14,50,86
66,T67,T67,Scott Piercy,78,58.06,90,155
67,T67,T67,Lee Westwood,70,58.06,72,124
68,69,69,Tiger Woods,61,58.0,58,100
69,70,70,David Lingmerth,68,57.99,98,169
70,71,71,Kyle Stanley,71,57.78,78,135
71,72,72,Andres Romero,63,57.72,71,123
72,T73,T73,Brian Davis,91,57.69,120,208
73,T73,T73,Adam Scott,61,57.69,60,104
74,75,75,Robert Karlsson,56,57.63,68,118
75,76,76,Jerry Kelly,75,57.58,76,132
76,T77,T77,Charl Schwartzel,69,57.43,58,101
77,T77,T77,John Senden,79,57.43,85,148
78,79,79,Ángel Cabrera,73,57.41,93,162
79,80,80,Daniel Summerhays,83,57.39,101,176
80,81,81,Jeff Maggert,63,57.38,70,122
81,82,82,Charles Howell III,87,57.3,106,185
82,83,83,Steve LeBrun,66,57.26,71,124
83,84,84,Marc Leishman,77,57.06,93,163
84,85,85,Bob Estes,66,57.02,65,114
85,86,86,Tom Gillis,69,56.98,98,172
86,87,87,Jeff Overton,78,56.86,87,153
87,T88,T88,Patrick Reed,83,56.7,127,224
88,T88,T88,Vijay Singh,61,56.7,55,97
89,90,90,Trevor Immelman,73,56.34,80,142
90,91,91,John Merrick,79,56.33,89,158
91,92,92,Aaron Watkins,46,56.31,58,103
92,93,93,Matt Kuchar,93,56.29,94,167
93,94,94,John Rollins,77,56.2,77,137
94,95,95,Roberto Castro,97,56.15,105,187
95,96,96,Justin Bolli,59,56.12,78,139
96,T97,T97,Webb Simpson,92,56.08,106,189
97,T97,T97,Mike Weir,60,56.08,83,148
98,99,99,Shawn Stefani,63,55.97,75,134
99,100,100,Nicholas Thompson,99,55.94,113,202
100,T101,T101,Scott Brown,65,55.88,76,136
101,T101,T101,Kevin Chappell,80,55.88,95,170
102,103,103,Brian Harman,89,55.85,105,188
103,104,104,Pat Perez,69,55.71,78,140
104,105,105,Michael Thompson,66,55.7,83,149
105,106,106,Casey Wittenberg,72,55.49,101,182
106,107,107,Rory McIlroy,56,55.34,57,103
107,108,108,Matt Every,89,55.26,84,152
108,109,109,Charley Hoffman,84,55.21,90,163
109,110,110,Johnson Wagner,64,55.08,65,118
110,111,111,James Hahn,78,55.06,98,178
111,112,112,Doug LaBelle II,72,55.03,82,149
112,113,113,Tag Ridings,69,55.0,77,140
113,114,114,Bubba Watson,76,54.87,62,113
114,115,115,Dustin Johnson,71,54.74,75,137
115,116,116,Jason Kokrak,78,54.55,90,165
116,117,117,Aaron Baddeley,68,54.5,109,200
117,118,118,Greg Owen,73,54.41,74,136
118,T119,T119,Nicolas Colsaerts,50,54.32,44,81
119,T119,T119,Andrew Svoboda,46,54.32,44,81
120,121,121,Darron Stiles,51,54.31,63,116
121,122,122,Gary Woodland,94,54.1,99,183
122,123,123,Alistair Presnell,59,54.07,73,135
123,124,124,J.J. Henry,83,54.0,81,150
124,125,125,Ryan Palmer,79,53.75,86,160
125,126,126,Hunter Mahan,91,53.69,80,149
126,127,127,Michael Bradley,56,53.61,52,97
127,128,128,D.J. Trahan,48,53.47,54,101
128,T129,T129,Stephen Ames,49,53.33,56,105
129,T129,T129,Charlie Beljan,62,53.33,64,120
130,131,131,Troy Matteson,68,53.15,76,143
131,T132,T132,Padraig Harrington,52,52.94,45,85
132,T132,T132,Billy Horschel,96,52.94,99,187
133,T132,T132,Jin Park,52,52.94,54,102
134,135,135,Martin Laird,68,52.85,65,123
135,136,136,Steven Bowditch,67,52.83,84,159
136,137,137,Chez Reavie,72,52.82,75,142
137,138,138,Robert Allenby,58,52.74,77,146
138,139,139,George McNeill,68,52.67,79,150
139,140,140,Seung-Yul Noh,71,52.66,89,169
140,141,141,David Mathis,71,52.48,74,141
141,T142,T142,Jim Herman,59,52.43,54,103
142,T142,T142,Boo Weekley,100,52.43,97,185
143,144,144,Tim Herron,45,52.34,56,107
144,145,145,William McGirt,75,52.31,68,130
145,146,146,Harris English,95,51.85,112,216
146,147,147,Ken Duke,87,51.81,100,193
147,148,148,Vaughn Taylor,50,51.79,58,112
148,T149,T149,Scott Gardiner,61,51.77,73,141
149,T149,T149,Dicky Pride,71,51.77,73,141
150,151,151,Lucas Glover,65,51.75,59,114
151,152,152,Will Claxton,67,51.56,66,128
152,153,153,Morgan Hoffmann,64,51.55,83,161
153,154,154,Martin Kaymer,61,51.25,41,80
154,155,155,Josh Teater,86,51.11,69,135
155,156,156,Eric Meierdierks,48,51.06,48,94
156,157,157,Brandt Jobe,62,51.02,50,98
157,158,158,Mark Wilson,56,50.96,53,104
158,159,159,Bobby Gates,49,50.48,53,105
159,160,160,Ben Curtis,59,50.44,57,113
160,161,161,Tommy Gainey,84,50.0,100,200
161,162,162,Sangmoon Bae,83,49.74,95,191
162,163,163,Greg Chalmers,77,49.69,80,161
163,164,164,Colt Knost,69,49.64,68,137
164,165,165,Ryo Ishikawa,72,49.29,69,140
165,166,166,David Toms,49,49.28,34,69
166,167,167,Luke List,65,48.73,77,158
167,168,168,Bud Cauley,67,48.59,69,142
168,169,169,Brad Fritsch,81,48.47,79,163
169,170,170,Robert Garrigus,69,48.41,61,126
170,171,171,Kevin Stadler,83,47.86,67,140
171,172,172,Sean O'Hair,56,47.79,65,136
172,173,173,Derek Ernst,58,47.65,71,149
173,174,174,Stewart Cink,71,47.62,60,126
174,175,175,Jason Bohn,70,47.26,69,146
175,176,176,Henrik Norlander,70,46.97,62,132
176,177,177,Camilo Villegas,79,45.39,69,152
177,178,178,Justin Hicks,79,44.44,60,135
178,179,179,Rod Pampling,46,44.3,35,79
179,180,180,Ricky Barnes,74,39.45,43,109
