,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
113,114,114,Stephen Ames,49,50.72,35,69
114,115,115,Boo Weekley,100,50.55,46,91
115,116,116,Tommy Gainey,84,50.48,53,105
116,117,117,Daniel Summerhays,83,50.46,55,109
117,118,118,Billy Horschel,96,50.42,60,119
118,T119,T119,Justin Bolli,59,50.0,40,80
119,T119,T119,Rod Pampling,46,50.0,23,46
120,T119,T119,Adam Scott,61,50.0,22,44
121,T119,T119,Josh Teater,86,50.0,39,78
122,123,123,Jason Kokrak,78,49.45,45,91
123,124,124,Scott Stallings,79,49.41,42,85
124,125,125,Nick Watney,88,49.37,39,79
125,126,126,Aaron Watkins,46,49.15,29,59
126,127,127,Lucas Glover,65,49.06,26,53
127,128,128,D.H. Lee,65,48.78,40,82
128,129,129,Ryan Moore,72,48.57,34,70
129,130,130,Kevin Streelman,86,48.42,46,95
130,T131,T131,Ben Curtis,59,48.28,28,58
131,T131,T131,Ernie Els,63,48.28,28,58
132,T131,T131,Zach Johnson,84,48.28,28,58
133,134,134,Luke Guthrie,82,47.83,44,92
134,135,135,Scott Gardiner,61,47.78,43,90
135,136,136,Brian Harman,89,47.66,51,107
136,137,137,Chad Campbell,78,47.5,38,80
137,T138,T138,Bud Cauley,67,47.37,36,76
138,T138,T138,Sergio Garcia,65,47.37,27,57
139,140,140,Ricky Barnes,74,47.22,34,72
140,141,141,Geoff Ogilvy,57,47.14,33,70
141,142,142,Sean O'Hair,56,47.06,32,68
142,143,143,Steve LeBrun,66,46.97,31,66
143,144,144,John Merrick,79,46.34,38,82
144,T145,T145,Dustin Johnson,71,46.15,24,52
145,T145,T145,Bubba Watson,76,46.15,24,52
146,147,147,Scott Langley,79,46.05,35,76
147,148,148,Pat Perez,69,45.98,40,87
148,T149,T149,Carl Pettersson,82,45.88,39,85
149,T149,T149,Robert Streb,75,45.88,39,85
150,151,151,Rory Sabbatini,86,45.83,33,72
151,152,152,Ryan Palmer,79,45.78,38,83
152,153,153,James Hahn,78,45.68,37,81
153,154,154,Martin Kaymer,61,45.65,21,46
154,155,155,David Mathis,71,45.36,44,97
155,156,156,Jeff Overton,78,44.21,42,95
156,157,157,Ken Duke,87,44.04,48,109
157,158,158,Robert Garrigus,69,44.0,22,50
158,159,159,Ben Kohles,75,43.9,36,82
159,160,160,"Ted Potter, Jr.",65,43.84,32,73
160,161,161,Scott Piercy,78,43.68,38,87
161,162,162,Gary Woodland,94,43.56,44,101
162,163,163,David Hearn,88,43.33,39,90
163,164,164,Charlie Beljan,62,43.06,31,72
164,165,165,Seung-Yul Noh,71,42.25,30,71
165,166,166,Jim Herman,59,42.22,19,45
166,167,167,Y.E. Yang,56,42.19,27,64
167,168,168,J.J. Henry,83,41.18,35,85
168,169,169,John Senden,79,39.74,31,78
169,170,170,Derek Ernst,58,39.73,29,73
170,171,171,Justin Hicks,79,37.8,31,82
171,172,172,Michael Bradley,56,37.7,23,61
172,173,173,Kyle Stanley,71,37.68,26,69
173,174,174,Scott Brown,65,36.76,25,68
174,175,175,Nicolas Colsaerts,50,36.0,18,50
175,176,176,Bo Van Pelt,72,35.8,29,81
176,177,177,Ángel Cabrera,73,33.33,20,60
177,178,178,D.J. Trahan,48,32.56,14,43
178,179,179,Will Claxton,67,32.5,26,80
179,180,180,Andrew Svoboda,46,23.81,10,42
