,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
97,98,98,Daniel Summerhays,83,57.93,95,164
98,99,99,Matt Kuchar,93,57.84,59,102
99,100,100,Tag Ridings,69,57.81,74,128
100,T101,T101,Brandt Snedeker,79,57.8,63,109
101,T101,T101,Kyle Stanley,71,57.8,63,109
102,103,103,Justin Rose,62,57.75,41,71
103,104,104,Billy Horschel,96,57.63,68,118
104,105,105,Nick Watney,88,57.6,72,125
105,106,106,Geoff Ogilvy,57,57.53,42,73
106,107,107,Justin Leonard,86,57.51,111,193
107,108,108,Patrick Reed,83,57.45,81,141
108,109,109,Justin Hicks,79,57.39,66,115
109,110,110,Steve LeBrun,66,57.38,70,122
110,111,111,Cameron Tringale,80,57.34,82,143
111,112,112,Ryan Palmer,79,57.26,71,124
112,113,113,D.A. Points,87,57.24,87,152
113,T114,T114,Dustin Johnson,71,57.14,40,70
114,T114,T114,Pat Perez,69,57.14,72,126
115,116,116,Andrew Svoboda,46,57.0,57,100
116,117,117,Colt Knost,69,56.97,94,165
117,118,118,Casey Wittenberg,72,56.83,79,139
118,119,119,James Driscoll,76,56.74,80,141
119,120,120,Bo Van Pelt,72,56.73,59,104
120,121,121,Brian Davis,91,56.63,94,166
121,122,122,Marc Leishman,77,56.49,74,131
122,123,123,Jason Bohn,70,56.44,92,163
123,124,124,Justin Bolli,59,56.41,66,117
124,125,125,Doug LaBelle II,72,56.39,75,133
125,126,126,Sean O'Hair,56,56.06,74,132
126,127,127,Rory Sabbatini,86,56.03,79,141
127,128,128,Seung-Yul Noh,71,56.0,70,125
128,129,129,Josh Teater,86,55.86,81,145
129,130,130,Bubba Watson,76,55.79,53,95
130,131,131,Johnson Wagner,64,55.74,68,122
131,132,132,Chad Campbell,78,55.7,83,149
132,133,133,Kevin Chappell,80,55.65,64,115
133,134,134,Boo Weekley,100,55.63,79,142
134,135,135,Lee Williams,62,55.56,75,135
135,136,136,Carl Pettersson,82,55.47,71,128
136,137,137,Alistair Presnell,59,55.34,57,103
137,138,138,D.H. Lee,65,55.3,73,132
138,T139,T139,Stewart Cink,71,54.74,52,95
139,T139,T139,Brad Fritsch,81,54.74,75,137
140,T139,T139,Robert Garrigus,69,54.74,52,95
141,142,142,Scott Langley,79,54.71,93,170
142,T143,T143,Charley Hoffman,84,54.35,75,138
143,T143,T143,John Rollins,77,54.35,75,138
144,T145,T145,Cameron Percy,68,54.24,64,118
145,T145,T145,Scott Stallings,79,54.24,64,118
146,147,147,Charlie Wi,75,54.11,79,146
147,148,148,Jason Dufner,78,54.1,66,122
148,149,149,Michael Thompson,66,54.08,53,98
149,150,150,Nicolas Colsaerts,50,54.0,27,50
150,151,151,Bud Cauley,67,53.85,56,104
151,152,152,Tim Herron,45,53.77,57,106
152,153,153,Charl Schwartzel,69,53.61,52,97
153,154,154,Michael Bradley,56,53.39,63,118
154,155,155,Gary Woodland,94,53.21,83,156
155,156,156,Brandt Jobe,62,53.1,60,113
156,157,157,Adam Scott,61,52.73,29,55
157,158,158,Sangmoon Bae,83,52.7,78,148
158,159,159,Matt Every,89,52.69,98,186
159,160,160,Nicholas Thompson,99,52.47,85,162
160,161,161,Robert Streb,75,52.08,75,144
161,T162,T162,James Hahn,78,52.0,65,125
162,T162,T162,Ryo Ishikawa,72,52.0,52,100
163,164,164,Tommy Gainey,84,51.98,92,177
164,165,165,Andres Romero,63,51.52,68,132
165,166,166,Brendan Steele,86,51.33,77,150
166,167,167,Greg Owen,73,51.05,73,143
167,168,168,David Lynn,70,50.42,60,119
168,169,169,Ben Kohles,75,50.0,57,114
169,T170,T170,Charlie Beljan,62,49.62,65,131
170,T170,T170,David Mathis,71,49.62,66,133
171,172,172,Henrik Stenson,65,49.28,34,69
172,173,173,Martin Laird,68,49.0,49,100
173,174,174,Peter Hanson,45,48.57,34,70
174,175,175,Lucas Glover,65,48.31,43,89
175,176,176,Scott Gardiner,61,47.52,48,101
176,177,177,Luke List,65,47.15,58,123
177,178,178,Jim Furyk,80,45.98,40,87
178,179,179,Eric Meierdierks,48,44.44,36,81
179,180,180,Robert Allenby,58,34.74,33,95
