,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
62,63,,Julien Quesne,4.86
63,64,49.0,Borja Virto Astudillo,4.66
64,65,81.0,Paul Dunne,4.5
65,66,73.0,Johan Edfors,4.32
66,67,82.0,Graeme McDowell,4.28
67,68,53.0,John Parry,4.2
68,69,54.0,Eirik Tage Johansen,4.13
69,70,,Mark Haastrup,4.0
70,72,57.0,Borja Etchart,4.0
71,73,88.0,Joost Luiten,3.99
72,74,84.0,Sam Walker,3.97
73,75,58.0,Rafa Cabrera Bello,3.92
74,76,,Max Orrin,3.9
75,77,97.0,Simon Griffiths,3.87
76,78,59.0,Ricardo Santos,3.76
77,79,61.0,Edouard Dubois,3.76
78,80,60.0,Sebastian Soderberg,3.76
79,81,62.0,Callum Shinkwin,3.71
80,82,63.0,George Murray,3.71
81,83,116.0,Edouard Espana,3.62
82,85,66.0,Daniel Lokke,3.6
83,86,67.0,Javier Colomo,3.56
84,87,68.0,Scott Jamieson,3.56
85,88,,Tyrrell Hatton,3.56
86,89,,Robert Karlsson,3.56
87,90,,Robert Coles,3.24
88,91,69.0,Paul Lawrie,3.24
89,92,,Garrick Porteous,3.24
90,93,70.0,Matthew Nixon,3.22
91,94,71.0,Damien Perrier,3.2
92,95,72.0,Tom Lewis,3.16
93,96,133.0,Andrew Johnston,3.07
94,97,74.0,Joel Sjöholm,3.02
95,98,75.0,Mikko Ilonen,3.0
96,99,115.0,Marc Warren,2.98
97,100,77.0,Miguel Angel Jiménez,2.88
98,101,76.0,Roope Kakko,2.88
99,102,120.0,Francesco Molinari,2.72
100,103,,Lee Westwood,2.7
101,104,,Alexander Levy,2.7
102,105,83.0,Stephen Gallacher,2.69
103,107,86.0,Clement Berardo,2.59
104,108,87.0,Sergio Garcia,2.56
105,109,135.0,Grégory Bourdy,2.51
106,110,134.0,Robert Rock,2.51
107,111,143.0,Niall Turner,2.44
108,112,91.0,Bjorn Akesson,2.34
109,113,,Ryan Evans,2.28
110,114,92.0,Nick Dougherty,2.11
111,115,94.0,Peter Lawrie,2.1
112,116,93.0,Jason Barnes,2.1
113,117,95.0,Filippo Bergamaschi,2.07
114,118,96.0,Ricardo Gouveia,2.07
115,119,98.0,Seve Benson,1.97
116,120,100.0,Rhys Davies,1.82
117,121,99.0,Emilio Cuartero Blanco,1.82
118,122,,Steven Tiley,1.8
119,123,101.0,Chris Doak,1.8
120,124,102.0,Lasse Jensen,1.8
121,125,,Niall Kearney,1.8
122,127,104.0,James Frazer,1.73
123,128,105.0,Andy Sullivan,1.68
124,130,108.0,Raphael Marguery,1.6
125,131,112.0,Jack Doherty,1.56
126,132,113.0,Hugues Joannes,1.56
127,133,109.0,Chris Selfridge,1.56
128,134,110.0,David Law,1.56
129,135,111.0,Peter Whiteford,1.56
130,136,114.0,Soren Hansen,1.54
131,137,119.0,Grégory Havret,1.53
132,138,117.0,Raphael Jacquelin,1.53
133,139,118.0,Bernhard Langer,1.53
134,140,121.0,Nicolas Colsaerts,1.48
135,141,122.0,Andrea Pavan,1.44
136,142,,Stuart Manley,1.38
137,143,123.0,Steven Brown,1.38
138,144,124.0,Chris Hanson,1.38
139,145,,Joel Stalter,1.38
140,147,126.0,Kevin Hesbois,1.32
141,148,127.0,Victor Dubuisson,1.32
142,149,128.0,Jerome Lando Casanova,1.3
143,150,129.0,Matthew Southgate,1.3
144,151,130.0,Alessandro Tadini,1.28
145,152,131.0,Brian Davis,1.28
146,153,132.0,Simon Thornton,1.27
147,154,136.0,Robert Dinwiddie,1.27
148,155,,Padraig Harrington,1.24
149,156,138.0,Lorenzo Gagli,1.22
150,157,137.0,Mikael Lundberg,1.22
151,158,139.0,Jeff Winther,1.22
152,159,140.0,Lionel Weber,1.21
153,160,,Fredrik Andersson Hed,1.2
154,161,142.0,Jens Dantorp,1.2
155,162,141.0,Alexander Björk,1.2
156,163,144.0,Rhys Enoch,1.2
157,166,148.0,Andrew McCarthy,1.2
