,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
68,69,69,William McGirt,30,110000
69,70,70,Bryce Molder,26,110000
70,71,71,Alex Cejka,30,80000
71,72,72,Marc Leishman,23,80000
72,73,73,John Senden,24,80000
73,74,74,Jim Herman,27,80000
74,75,75,Kevin Streelman,27,80000
75,76,76,Boo Weekley,24,80000
76,77,77,Carl Pettersson,32,80000
77,78,78,Kyle Reifers,31,80000
78,79,79,Charles Howell III,30,80000
79,80,80,Luke Donald,20,80000
80,81,81,Hudson Swafford,30,75000
81,82,82,Spencer Levin,31,75000
82,83,83,Scott Pinckney,27,75000
83,84,84,Camilo Villegas,27,75000
84,85,85,Morgan Hoffmann,26,75000
85,86,86,Davis Love III,18,75000
86,87,87,Johnson Wagner,23,75000
87,88,88,Jason Dufner,21,75000
88,89,89,Matt Every,26,75000
89,90,90,J.J. Henry,30,75000
90,91,91,Colt Knost,29,75000
91,92,92,Jason Gore,26,75000
92,93,93,Carlos Ortiz,30,75000
93,94,94,Scott Brown,30,75000
94,95,95,Mark Wilson,28,75000
95,96,96,Chad Campbell,30,75000
96,97,97,Willy Wilcox,17,75000
97,98,98,Chesson Hadley,30,75000
98,99,99,Martin Laird,24,75000
99,100,100,Jason Kokrak,28,75000
100,101,101,Nick Taylor,28,70000
101,102,102,Stewart Cink,23,70000
102,103,103,Padraig Harrington,21,70000
103,104,104,Greg Owen,19,70000
104,105,105,John Peterson,25,70000
105,106,106,Adam Scott,15,70000
106,107,107,Adam Hadwin,30,70000
107,108,108,Charl Schwartzel,19,70000
108,109,109,Lee Westwood,15,70000
109,110,110,John Huh,31,70000
110,111,111,Francesco Molinari,16,70000
111,112,112,Graham DeLaet,22,70000
112,113,113,Jon Curran,28,70000
113,114,114,Steve Wheatcroft,28,70000
114,115,115,Andres Gonzales,28,70000
115,116,116,Chris Stroud,28,70000
116,117,117,Ken Duke,30,70000
117,118,118,Retief Goosen,25,70000
118,119,119,Vijay Singh,23,70000
119,120,120,Chad Collins,24,70000
120,121,121,Tim Clark,13,70000
121,122,122,Ryo Ishikawa,28,70000
122,123,123,Jonas Blixt,26,70000
123,124,124,Erik Compton,28,70000
124,125,125,Jeff Overton,30,70000
125,126,126,Will MacKenzie,16,32000
126,127,127,Scott Langley,28,32000
127,128,128,Brian Stuard,31,32000
128,129,129,Scott Stallings,19,32000
129,130,130,Jamie Donaldson,16,32000
130,131,131,Nicholas Thompson,31,32000
131,132,132,Tom Hoge,26,32000
132,133,133,Alex Prugh,27,32000
133,134,134,Seung-Yul Noh,21,32000
134,135,135,Sung Joon Park,27,32000
135,136,136,Billy Hurley III,28,32000
136,137,137,Sam Saunders,28,32000
137,138,138,Michael Putnam,28,32000
138,139,139,Martin Kaymer,13,32000
139,140,140,Brice Garnett,29,32000
140,141,141,Whee Kim,23,32000
141,142,142,Tom Gillis,16,32000
142,143,143,Brian Davis,31,32000
143,144,144,David Toms,21,32000
144,145,145,Blayne Barber,26,32000
145,146,146,Michael Thompson,27,32000
146,147,147,Lucas Glover,26,32000
147,148,148,Luke Guthrie,27,32000
148,149,149,Charlie Beljan,27,32000
149,150,150,Cameron Percy,23,32000
