,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
75,T74,T74,Eddie Pepperell,2,18,
76,77,77,Hennie Otto,1,17,17.0
77,T78,T78,Doug LaBelle II,1,17,
78,T78,T78,Kevin Tway,1,17,
79,80,80,Tom Johnson,2,16,
80,81,81,Mark Silvers,2,16,
81,82,82,Alexandre Rocha,1,15,
82,T83,T83,Patton Kizzire,2,13,
83,T83,T83,Alex Noren,2,13,13.0
84,85,85,Alex Kang,1,13,
85,T86,T86,Brad Elder,1,11,
86,T86,T86,Mu Hu,1,11,11.0
87,T88,T88,Darren Fichardt,1,9,9.0
88,T88,T88,Cory Renfrew,1,9,
89,T90,T90,Robert Karlsson,2,9,
90,T90,T90,Oliver Wilson,2,9,9.0
91,92,92,Steven Jeffress,1,8,8.0
92,93,93,Andy Pope,2,8,
93,94,94,Gary Stal,2,8,8.0
94,95,95,Andrew Dodt,1,7,7.0
95,T96,T96,Mike Hendry,1,5,5.0
96,T96,T96,Lian-Wei Zhang,1,5,5.0
97,T98,T98,Scott Gutschewski,1,5,
98,T98,T98,Colin Montgomerie,2,5,
99,T98,T98,Danie van Tonder,1,5,5.0
100,T101,T101,Danny Chia,1,4,
101,T101,T101,Nicholas Fung,1,4,
102,103,103,Smylie Kaufman,2,3,
103,104,104,Antonio Lascuna,2,2,2.0
104,105,105,Michael Block,6,2,
105,106,106,John Chin,1,2,
106,107,107,Alvaro Quiros,2,2,
107,T108,T108,Zecheng Dou,1,2,2.0
108,T108,T108,Jay Woodson,1,2,
109,110,110,Richie Ramsay,2,1,
110,T111,T111,Brian Gaffney,1,1,
111,T111,T111,Bobby Wyatt,2,1,
112,113,113,Daniel Miernicki,1,1,
113,T114,T114,Thomas Birdsey,1,1,
114,T114,T114,John Parry,1,1,
115,T116,T116,Hiroyuki Fujita,3,1,1.0
116,T116,T116,Michael McCabe,1,1,
117,118,118,Richy Werenski,1,1,
118,T119,T119,James Driscoll,1,1,
119,T119,T119,Yoshitaka Takeya,1,1,1.0
120,T119,T119,Jaco Van Zyl,2,1,1.0
121,T122,T122,Nick Cullen,1,1,1.0
122,T122,T122,Brett Rumford,1,1,
123,124,124,Jin Jeong,1,1,1.0
124,125,125,Seuk-hyun Baek,2,1,
125,126,126,Marcelo Rozo,1,1,
