,Ryder_Cup_Euro_Points_RANK THIS WEEK,Ryder_Cup_Euro_Points_RANK LAST WEEK,Ryder_Cup_Euro_Points_PLAYER NAME,Ryder_Cup_Euro_Points_POINTS
100,103,90.0,Simon Thornton,18180.0
101,104,93.0,Alessandro Tadini,16333.33
102,105,94.0,Simon Griffiths,15940.0
103,106,95.0,Richard McEvoy,15920.0
104,107,96.0,Cyril Bouniol,15000.0
105,108,97.0,Mark Foster,13838.69
106,109,,Niclas Fasth,13095.22
107,110,98.0,Chris Doak,12480.0
108,111,115.0,Jordi Garcia Pinto,11841.0
109,112,100.0,Paul Maddy,11156.25
110,113,101.0,Matthew Southgate,10400.0
111,114,102.0,Pedro Oriol,9450.0
112,115,104.0,Oliver Wilson,9060.12
113,116,103.0,Moritz Lampert,9060.12
114,117,105.0,Darren Clarke,9060.12
115,118,,Tom Murray,8750.0
116,119,106.0,Damian McGrane,8525.0
117,120,107.0,Chris Paisley,8000.0
118,121,108.0,Wil Besseling,7920.0
119,122,110.0,Scott Fallon,7800.0
120,123,111.0,Oliver Farr,7600.0
121,124,,Pablo Larrazabal,7015.48
122,125,113.0,Victor Riu,6150.0
123,126,114.0,José Manuel Lara,6150.0
124,127,116.0,Kenneth Ferrie,5300.0
125,128,117.0,Peter Whiteford,5300.0
126,129,118.0,Espen Kofstad,5220.0
127,130,119.0,Stuart Manley,4778.57
128,131,120.0,Javier Colomo,4200.0
129,132,121.0,Ross McGowan,4200.0
130,133,122.0,Alvaro Quiros,3780.0
131,134,123.0,Edoardo Molinari,3750.0
132,135,124.0,Lorenzo Gagli,3000.0
133,136,125.0,Chris Lloyd,2850.0
