,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
61,62,62,Brendon Todd,24,34.634,831.2139999999999
62,63,63,Nick Watney,25,33.861,846.533
63,64,64,Greg Owen,18,33.762,607.714
64,65,65,Daniel Berger,27,33.303000000000004,899.183
65,66,66,Fred Funk,2,33.071999999999996,66.143
66,67,67,David Hearn,27,32.966,890.0830000000001
67,68,68,Cameron Tringale,25,32.643,816.077
68,69,69,Charl Schwartzel,18,32.446999999999996,584.04
69,70,70,Brendon de Jonge,28,31.851999999999997,891.86
70,71,71,Sean O'Hair,23,31.273000000000003,719.289
71,72,72,Martin Kaymer,13,31.203000000000003,405.63300000000004
72,73,73,Rory Sabbatini,22,30.836,678.385
73,74,74,Hunter Mahan,21,30.835,647.543
74,75,75,Kevin Streelman,25,30.826,770.64
75,76,76,Padraig Harrington,20,30.489,609.78
76,77,77,Matt Every,24,30.302,727.247
77,78,78,Jerry Kelly,21,30.075,631.571
78,79,79,Vaughn Taylor,12,30.055999999999997,360.667
79,80,80,George McNeill,24,29.793000000000003,715.0239999999999
80,81,81,Jason Dufner,19,28.759,546.429
81,82,82,Will MacKenzie,16,28.598000000000003,457.56300000000005
82,83,83,Martin Laird,22,28.544,627.96
83,84,84,Jamie Donaldson,16,27.916,446.659
84,85,85,John Senden,22,27.709,609.59
85,86,86,Daniel Summerhays,26,27.706999999999997,720.3919999999999
86,87,87,Brian Harman,26,27.065,703.7
87,88,88,Luke Donald,18,26.884,483.91
88,89,89,Alex Cejka,28,26.408,739.42
89,90,90,Mark Hensby,2,26.25,52.5
90,91,91,Johnson Wagner,21,26.232,550.882
91,92,92,Kevin Chappell,23,26.188000000000002,602.3330000000001
92,93,93,Morgan Hoffmann,24,26.116,626.779
93,94,94,Graham DeLaet,21,25.951,544.98
94,95,95,Bryce Molder,23,25.857,594.714
95,96,96,Scott Pinckney,25,25.78,644.503
96,97,97,Charles Howell III,28,24.71,691.8810000000001
97,98,98,Scott Brown,28,24.655,690.35
98,99,99,John Peterson,24,24.498,587.94
99,100,100,Tom Gillis,16,24.447,391.15
100,101,101,Jim Herman,25,24.383000000000003,609.582
101,102,102,Steve Stricker,9,24.166999999999998,217.5
102,103,103,William McGirt,27,24.146,651.94
103,104,104,Carl Pettersson,30,24.105,723.14
104,105,105,Chad Campbell,28,23.94,670.321
105,106,106,Mark O'Meara,2,23.665,47.33
106,107,107,Jason Kokrak,26,23.612,613.9169999999999
107,108,108,Jason Gore,24,23.518,564.42
108,109,109,Scott Stallings,19,23.511999999999997,446.723
109,110,110,Geoff Ogilvy,15,23.362,350.42900000000003
110,111,111,Colt Knost,27,23.265,628.1659999999999
111,112,112,Stewart Cink,22,22.455,494.0
112,113,113,Chesson Hadley,28,22.364,626.2
113,114,114,Vijay Singh,22,22.276,490.07099999999997
114,115,115,J.J. Henry,28,22.13,619.6419999999999
115,116,116,Chad Collins,23,21.895,503.594
116,117,117,Kyle Reifers,29,21.588,626.04
117,118,118,Graeme McDowell,15,21.319000000000003,319.79200000000003
118,119,119,Retief Goosen,25,20.750999999999998,518.78
119,120,120,Seung-Yul Noh,21,20.586,432.305
120,121,121,Nick Taylor,27,20.316,548.52
121,122,122,Adam Hadwin,29,20.154,584.453
122,123,123,Jon Curran,27,19.997,539.93
123,124,124,Steve Wheatcroft,27,19.849,535.92
124,125,125,Hudson Swafford,28,19.776,553.74
125,126,126,Andres Gonzales,27,19.67,531.08
126,127,127,Chris Stroud,27,19.666,530.977
127,128,128,Tiger Woods,11,19.528,214.80700000000002
128,129,129,Mark Wilson,26,19.132,497.425
129,130,130,Freddie Jacobson,14,19.129,267.81
130,131,131,K.J. Choi,19,18.859,358.33
131,132,132,Jonas Blixt,25,18.837,470.916
132,133,133,John Huh,30,18.83,564.91
133,134,134,Camilo Villegas,25,18.674,466.86
134,135,135,Carlos Ortiz,28,18.385,514.793
135,136,136,David Toms,21,18.248,383.21
136,137,137,Erik Compton,27,17.436,470.76099999999997
137,138,138,Zac Blair,31,17.36,538.174
138,139,139,Whee Kim,23,17.108,393.473
139,140,140,Spencer Levin,29,17.098,495.833
140,141,141,Shane Lowry,13,17.064,221.833
141,142,142,Ken Duke,29,17.000999999999998,493.043
142,143,143,Ryo Ishikawa,27,16.979,458.43
143,144,144,Tom Hoge,26,16.962,441.023
144,145,145,Kyle Stanley,12,16.667,200.0
145,146,146,Alex Prugh,27,16.037,433.0
146,147,147,Scott Langley,28,16.016,448.43699999999995
147,148,148,Jeff Overton,29,15.793,458.0
148,149,149,Sung Joon Park,27,15.759,425.5
149,150,150,Cameron Percy,23,15.686,360.773
150,151,151,Jonathan Byrd,22,15.248,335.465
151,152,152,Billy Hurley III,28,14.995,419.87
152,153,153,Sam Saunders,28,14.764000000000001,413.4
153,154,154,Blayne Barber,26,14.620999999999999,380.14
154,155,155,Michael Putnam,28,14.530999999999999,406.871
155,156,156,Victor Dubuisson,10,14.45,144.5
156,157,157,Brian Stuard,31,14.423,447.12300000000005
157,158,158,Lucas Glover,26,14.404000000000002,374.51
158,159,159,Stuart Appleby,7,14.331,100.32
159,160,160,Nicholas Thompson,31,14.263,442.14
160,161,161,Greg Chalmers,17,14.21,241.562
161,162,162,Chris Smith,9,14.194,127.75
162,163,163,Chez Reavie,19,14.095999999999998,267.83299999999997
163,164,164,Michael Thompson,27,13.999,377.97
164,165,165,Luke Guthrie,27,13.822000000000001,373.2
165,166,166,Rod Pampling,10,13.763,137.632
166,167,167,Brice Garnett,29,13.737,398.37
167,168,168,Charlie Beljan,27,13.684000000000001,369.463
168,169,169,Aaron Baddeley,25,13.433,335.81699999999995
169,170,170,Jhonattan Vegas,27,13.084000000000001,353.26
170,171,171,Andres Romero,24,12.984000000000002,311.611
171,172,172,Ernie Els,18,12.917,232.5
172,173,173,Ricky Barnes,27,12.855,347.084
173,174,174,Stephen Ames,1,12.75,12.75
174,175,175,Brian Davis,31,12.475999999999999,386.745
175,176,176,Duffy Waldorf,2,12.25,24.5
176,177,177,Y.E. Yang,4,12.187999999999999,48.75
177,178,178,Garrett Willis,1,11.75,11.75
178,179,179,Kenny Perry,9,11.667,105.0
179,180,180,John Merrick,27,11.527999999999999,311.25
180,181,181,Martin Flores,30,11.51,345.29
181,182,182,Bo Van Pelt,28,11.482999999999999,321.525
182,183,183,Tim Petrovic,11,11.224,123.46
183,184,184,Ángel Cabrera,19,10.964,208.31
184,185,185,Mark Hubbard,25,10.959000000000001,273.97
185,186,186,Roberto Castro,16,10.421,166.74
186,187,187,Max Homa,27,10.279000000000002,277.524
187,188,188,Steven Alker,22,9.825,216.14
188,189,189,Derek Fathauer,27,9.732999999999999,262.797
189,190,190,Gonzalo Fernandez-Castaño,28,9.701,271.62
190,191,191,Joe Affrunti,4,9.687999999999999,38.75
191,192,192,Derek Ernst,26,9.615,250.0
192,193,193,D.A. Points,26,9.397,244.315
193,194,194,Arjun Atwal,7,9.1,63.7
194,195,195,Robert Garrigus,25,9.051,226.27
195,196,196,Andrew Svoboda,30,8.869,266.07
196,197,197,John Rollins,14,8.64,120.95299999999999
197,198,198,Josh Teater,11,8.578,94.36
198,199,199,Justin Leonard,22,8.545,188.0
199,200,200,Jonathan Randolph,25,8.354,208.86
200,201,201,Andrew Putnam,23,8.346,191.95
201,202,202,Steve Flesch,7,8.286,58.0
202,203,203,Ben Crane,22,8.26,181.72
203,204,204,Kevin Stadler,5,8.2,41.0
204,205,205,Oscar Fraustro,21,8.158999999999999,171.333
205,206,206,Glen Day,8,7.656000000000001,61.25
206,207,207,Andrew Loupe,15,7.482,112.235
207,208,208,Eric Axley,21,7.26,152.47
208,209,209,Ryan Armour,17,7.221,122.75
209,210,210,Lee Janzen,4,7.188,28.75
210,211,211,Tyrone Van Aswegen,20,7.097,141.93
211,212,212,Robert Allenby,25,6.77,169.25
212,213,213,Tim Wilkinson,28,6.518,182.5
213,214,214,Bill Lunde,18,6.494,116.895
214,215,215,Jarrod Lyle,10,6.337999999999999,63.38
215,216,216,Tommy Gainey,9,6.297000000000001,56.675
216,T217,T217,Kent Jones,2,6.25,12.5
217,T217,T217,Chris Riley,2,6.25,12.5
218,219,219,Dicky Pride,5,6.2,31.0
219,220,220,D.J. Trahan,5,6.1160000000000005,30.58
220,221,221,Matt Bettencourt,8,5.968999999999999,47.75
221,222,222,Blake Adams,13,5.724,74.41
222,223,223,John Daly,10,5.667000000000001,56.667
223,T224,T224,Michael Bradley,4,5.5,22.0
224,T224,T224,Troy Kelly,9,5.5,49.5
225,226,226,Roger Sloan,20,5.175,103.49
226,227,227,David Duval,6,5.125,30.75
227,228,228,Cameron Beckman,8,4.938,39.5
228,229,229,Shaun Micheel,5,4.9,24.5
229,230,230,Charlie Wi,9,4.861000000000001,43.75
230,231,231,Troy Matteson,9,4.7219999999999995,42.5
231,232,232,Byron Smith,21,4.583,96.25
232,233,233,Billy Mayfair,6,4.375,26.25
233,234,234,Trevor Immelman,19,3.9989999999999997,75.99
234,235,235,Zack Sucher,18,3.888,69.99
235,236,236,Ben Curtis,14,3.661,51.25
236,237,237,Daniel Chopra,5,3.4,17.0
237,T238,T238,Benjamín Alvarado,8,3.25,26.0
238,T238,T238,Parker McLachlin,2,3.25,6.5
239,240,240,Carlos Sainz Jr,20,2.963,59.25
240,241,241,Justin Hicks,14,2.8930000000000002,40.5
241,242,242,Heath Slocum,22,2.8169999999999997,61.972
242,243,243,Dudley Hart,8,2.75,22.0
243,244,244,Mike Weir,18,2.667,48.0
244,245,245,Woody Austin,11,2.614,28.75
245,246,246,Jim Renner,27,2.329,62.895
246,247,247,Guy Boros,2,2.125,4.25
247,248,248,Harrison Frazar,7,1.6969999999999998,11.88
248,249,249,Richard Sterne,18,1.611,29.0
249,250,250,Scott Verplank,13,1.6019999999999999,20.826999999999998
250,251,251,Ted Purdy,3,1.3330000000000002,4.0
251,252,252,Scott McCarron,7,1.214,8.5
252,253,253,Patrick Cantlay,1,0.88,0.88
253,254,254,Len Mattiace,6,0.875,5.25
254,255,255,Brandt Jobe,6,0.318,1.91
255,256,256,Tom Watson,3,0.317,0.95
256,257,257,Steve Lowery,3,0.293,0.88
257,258,258,Bernhard Langer,3,0.27699999999999997,0.83
258,259,259,Tim Herron,7,0.131,0.92
