,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
120,T121,T121,Andres Gonzales,28,4.12,531,12900,,3.0
121,T121,T121,Retief Goosen,25,4.12,519,12600,,3.0
122,123,123,Steve Wheatcroft,28,4.09,536,13100,,2.0
123,124,124,Duffy Waldorf,2,4.08,25,600,,
124,125,125,Hudson Swafford,30,4.07,554,13600,,1.0
125,126,126,Nick Taylor,28,4.06,549,13500,1.0,1.0
126,127,127,Seung-Yul Noh,21,4.04,432,10700,,1.0
127,128,128,Chris Stroud,28,4.02,531,13200,,2.0
128,129,129,Mark Wilson,28,4.01,497,12400,,3.0
129,130,130,Mark O'Meara,2,3.94,47,1200,,
130,131,131,Garrett Willis,1,3.92,12,300,,
131,132,132,David Toms,21,3.87,383,9900,,2.0
132,133,133,John Huh,31,3.84,565,14700,,
133,134,134,K.J. Choi,19,3.81,358,9400,,
134,135,135,Carlos Ortiz,30,3.79,515,13600,,1.0
135,T136,T136,Freddie Jacobson,14,3.77,268,7100,,1.0
136,T136,T136,Camilo Villegas,27,3.77,467,12400,,
137,138,138,Jonas Blixt,26,3.72,471,12650,,1.0
138,139,139,Kyle Stanley,12,3.7,200,5400,,
139,140,140,Whee Kim,23,3.68,393,10700,,2.0
140,141,141,Zac Blair,34,3.66,538,14700,,1.0
141,142,142,Tom Hoge,26,3.59,441,12300,,2.0
142,143,143,Tiger Woods,11,3.58,215,6000,,1.0
143,144,144,Ken Duke,30,3.55,493,13900,,3.0
144,145,145,Spencer Levin,31,3.54,496,14000,,1.0
145,146,146,Ryo Ishikawa,28,3.5,458,13100,,2.0
146,147,147,Erik Compton,28,3.46,471,13600,,1.0
147,148,148,Chris Smith,9,3.45,128,3700,,1.0
148,149,149,Alex Prugh,27,3.36,433,12900,,2.0
149,150,150,Sung Joon Park,27,3.35,426,12700,,1.0
150,151,151,Shane Lowry,13,3.34,222,6650,,2.0
151,152,152,Scott Langley,28,3.32,448,13500,,
152,153,153,Cameron Percy,23,3.31,361,10900,,1.0
153,154,154,Jonathan Byrd,22,3.29,335,10200,,
154,155,155,Jeff Overton,30,3.23,458,14200,,1.0
155,156,156,Sam Saunders,28,3.11,413,13300,,1.0
156,157,157,Rod Pampling,10,3.06,138,4500,,1.0
157,T158,T158,Blayne Barber,26,3.04,380,12500,,4.0
158,T158,T158,Billy Hurley III,28,3.04,420,13800,,1.0
159,160,160,Nicholas Thompson,31,3.01,442,14700,,1.0
160,161,161,Brian Stuard,31,2.94,447,15200,,1.0
161,162,162,Greg Chalmers,17,2.93,242,8250,,
162,T163,T163,Michael Putnam,28,2.91,407,14000,,
163,T163,T163,Michael Thompson,27,2.91,378,13000,,1.0
164,165,165,Lucas Glover,26,2.9,375,12900,,
165,T166,T166,Stuart Appleby,7,2.87,100,3500,,
166,T166,T166,Y.E. Yang,4,2.87,49,1700,,
167,168,168,Victor Dubuisson,10,2.86,145,5050,,
168,169,169,Brice Garnett,29,2.85,398,14000,,1.0
169,170,170,Chez Reavie,19,2.82,268,9500,,
170,171,171,Charlie Beljan,27,2.8,369,13200,,1.0
171,172,172,Luke Guthrie,27,2.79,373,13400,,1.0
172,173,173,Aaron Baddeley,25,2.75,336,12200,,1.0
173,174,174,Andres Romero,24,2.69,312,11600,,2.0
174,175,175,Ricky Barnes,27,2.67,347,13000,,1.0
175,176,176,Jhonattan Vegas,27,2.64,353,13400,,
176,177,177,Tim Petrovic,11,2.63,123,4700,,1.0
177,178,178,Brian Davis,31,2.54,387,15200,,2.0
178,179,179,John Merrick,27,2.45,311,12700,,
179,180,180,Ernie Els,18,2.43,233,9550,,
180,181,181,Martin Flores,30,2.41,345,14300,,
181,182,182,Bo Van Pelt,28,2.4,322,13400,,2.0
182,183,183,Mark Hubbard,25,2.34,274,11700,,
183,184,184,Kenny Perry,9,2.33,105,4500,,
184,185,185,Roberto Castro,16,2.28,167,7300,,
185,186,186,Arjun Atwal,7,2.2,64,2900,,
186,T187,T187,Joe Affrunti,4,2.15,39,1800,,
187,T187,T187,Steve Flesch,7,2.15,58,2700,,1.0
188,T187,T187,Max Homa,27,2.15,278,12900,,1.0
189,190,190,Ángel Cabrera,19,2.13,208,9800,,
190,191,191,Steven Alker,22,2.12,216,10200,,
191,T192,T192,Kent Jones,2,2.08,13,600,,
192,T192,T192,Chris Riley,2,2.08,13,600,,
193,T194,T194,Derek Ernst,26,2.05,250,12200,,
194,T194,T194,Derek Fathauer,27,2.05,263,12800,,1.0
195,T196,T196,Gonzalo Fernandez-Castaño,28,2.01,272,13500,,
196,T196,T196,Josh Teater,11,2.01,94,4700,,
197,T198,T198,D.A. Points,26,1.95,244,12500,,
198,T198,T198,John Rollins,14,1.95,121,6200,,1.0
199,200,200,Glen Day,8,1.91,61,3200,,
200,201,201,Andrew Svoboda,30,1.86,266,14300,,1.0
201,202,202,Robert Garrigus,25,1.85,226,12200,,
202,203,203,Jonathan Randolph,25,1.79,209,11700,,
203,204,204,Oscar Fraustro,21,1.77,171,9700,,1.0
204,205,205,Andrew Putnam,23,1.76,192,10900,,
205,206,206,Lee Janzen,4,1.69,29,1700,,
206,T207,T207,Justin Leonard,22,1.68,188,11200,,
207,T207,T207,Andrew Loupe,15,1.68,112,6700,,1.0
208,209,209,Ben Crane,22,1.65,182,11000,,
209,210,210,Dicky Pride,5,1.63,31,1900,,
210,211,211,D.J. Trahan,5,1.61,31,1900,,
211,212,212,Ryan Armour,17,1.59,123,7700,,
212,T213,T213,Eric Axley,21,1.57,152,9700,,
213,T213,T213,Michael Bradley,4,1.57,22,1400,,
214,215,215,Kevin Stadler,5,1.55,41,2650,,
215,216,216,Tyrone Van Aswegen,20,1.54,142,9200,,
216,217,217,Matt Bettencourt,8,1.49,48,3200,,
217,218,218,Tommy Gainey,9,1.45,57,3900,,
218,219,219,Bill Lunde,18,1.43,117,8200,,
219,220,220,Robert Allenby,25,1.36,169,12400,,1.0
220,221,221,Tim Wilkinson,28,1.33,183,13700,,
221,222,222,Jarrod Lyle,10,1.32,63,4800,,
222,T223,T223,Cameron Beckman,8,1.23,40,3200,,
223,T223,T223,John Daly,10,1.23,57,4600,,1.0
224,T223,T223,David Duval,6,1.23,31,2500,,
225,T223,T223,Shaun Micheel,5,1.23,25,2000,,
226,227,227,Billy Mayfair,6,1.19,26,2200,,
227,228,228,Charlie Wi,9,1.18,44,3700,,
228,229,229,Troy Matteson,9,1.15,43,3700,,
229,230,230,Blake Adams,13,1.14,74,6500,,
230,231,231,Troy Kelly,9,1.13,50,4400,,
231,232,232,Roger Sloan,20,1.12,103,9200,,
232,233,233,Parker McLachlin,2,1.08,7,600,,
233,234,234,Byron Smith,21,0.99,96,9700,,
234,235,235,Daniel Chopra,5,0.89,17,1900,,
235,236,236,Trevor Immelman,19,0.86,76,8800,,
236,237,237,Zack Sucher,18,0.85,70,8200,,
237,238,238,Ben Curtis,14,0.76,51,6700,,
238,239,239,Benjamín Alvarado,8,0.72,26,3600,,
239,240,240,Guy Boros,2,0.71,4,600,,
240,241,241,Carlos Sainz Jr,20,0.64,59,9200,,1.0
241,T242,T242,Justin Hicks,14,0.61,41,6600,,
242,T242,T242,Heath Slocum,22,0.61,62,10200,,
243,244,244,Dudley Hart,8,0.55,22,4000,,
244,245,245,Woody Austin,11,0.54,29,5300,,
245,246,246,Mike Weir,18,0.53,48,9100,,
246,247,247,Jim Renner,27,0.5,63,12700,,
247,248,248,Ted Purdy,3,0.44,4,900,,
248,249,249,Harrison Frazar,7,0.34,12,3500,,
249,T250,T250,Richard Sterne,18,0.33,29,8800,,
250,T250,T250,Scott Verplank,13,0.33,21,6300,,
251,252,252,Scott McCarron,7,0.29,9,2900,,
252,253,253,Len Mattiace,6,0.22,5,2400,,
253,254,254,Patrick Cantlay,1,0.18,1,500,,
254,255,255,Steve Lowery,3,0.1,1,900,,
255,256,256,Brandt Jobe,6,0.08,2,2400,,
256,257,257,Tom Watson,3,0.06,1,1700,,
257,258,258,Bernhard Langer,3,0.05,1,1800,,
258,259,259,Tim Herron,7,0.03,1,2900,,
