,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
106,107,107,Jonathan Byrd,947
107,108,108,Alex Prugh,900
108,109,109,Andres Gonzales,878
109,110,110,Justin Leonard,863
110,111,111,Lucas Glover,850
111,112,112,Roberto Castro,838
112,113,113,Sam Saunders,816
113,114,114,Tom Hoge,800
114,115,115,Tom Gillis,717
115,116,116,Vaughn Taylor,705
116,117,117,D.A. Points,703
117,118,118,Derek Ernst,687
118,119,119,Kyle Stanley,660
119,120,120,Blayne Barber,627
120,121,121,Max Homa,609
121,122,122,Tiger Woods,590
122,123,123,Andrew Loupe,576
123,124,124,Chez Reavie,537
124,125,125,Josh Teater,504
125,126,126,Heath Slocum,487
126,127,127,Mark Hubbard,480
127,128,128,Derek Fathauer,467
128,129,129,Jim Renner,464
129,130,130,Ben Curtis,462
130,131,131,Eric Axley,401
131,132,132,John Rollins,392
132,133,133,Tommy Gainey,388
133,134,134,Brian Gay,380
134,135,135,Richard Lee,376
135,136,136,Jonathan Randolph,376
136,137,137,Briny Baird,366
137,138,138,Bud Cauley,357
138,139,139,Tim Petrovic,324
139,140,140,Troy Matteson,323
140,141,141,"Ted Potter, Jr.",311
141,142,142,Kenny Perry,293
142,143,143,Chris Smith,269
143,144,144,Woody Austin,268
144,145,145,Andrew Putnam,265
145,146,146,Ryan Armour,245
146,147,147,Blake Adams,240
147,148,148,Joe Durant,221
148,149,149,Dicky Pride,221
149,150,150,Jeff Maggert,195
150,151,151,Bill Lunde,187
151,152,152,Glen Day,162
152,153,153,Tim Herron,159
153,154,154,John Daly,154
154,155,155,Steve Flesch,153
155,156,156,Matt Bettencourt,152
156,157,157,Cameron Beckman,151
157,158,158,Byron Smith,140
158,159,159,Zack Sucher,140
159,160,160,David Duval,138
160,161,161,Troy Kelly,99
161,162,162,Lee Janzen,98
162,163,163,Mark O'Meara,95
163,164,164,Carlos Sainz Jr,81
164,165,165,D.J. Trahan,79
165,166,166,Joe Affrunti,78
166,167,167,Billy Mayfair,76
167,168,168,Fred Funk,76
168,169,169,Lee Williams,74
169,170,170,Dudley Hart,73
170,171,171,Bob Estes,73
171,172,172,Harrison Frazar,54
172,173,173,Tom Watson,52
173,174,174,Will Claxton,52
174,T175,T175,Fred Couples,49
175,T175,T175,Shaun Micheel,49
176,T175,T175,Duffy Waldorf,49
177,178,178,Patrick Cantlay,49
178,179,179,Mark Calcavecchia,49
179,180,180,Kent Jones,45
180,181,181,Michael Bradley,44
181,182,182,Scott Verplank,43
182,183,183,Joe Ogilvie,40
183,184,184,Len Mattiace,31
184,185,185,Marc Turnesa,31
185,186,186,Chris Riley,25
186,187,187,Garrett Willis,24
187,188,188,Larry Mize,20
188,189,189,Kris Blanks,19
189,190,190,Parker McLachlin,13
190,191,191,Paul Goydos,11
191,192,192,Todd Hamilton,11
192,193,193,Scott McCarron,10
193,194,194,Guy Boros,9
194,195,195,Ted Purdy,8
195,196,196,Marco Dawson,4
196,197,197,Brandt Jobe,4
197,198,198,Steve Lowery,2
198,199,199,Paul Stankowski,1
199,200,200,Chris DiMarco,1
200,201,201,Brett Quigley,1
201,202,202,Bobby Gates,1
