,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
54,T55,55,Pat Perez,69,148,Northern Trust Open,2,3
55,T55,56,Arjun Atwal,20,148,Wyndham Championship,1,13
56,57,57,David Hearn,88,147,The Honda Classic,1,1
57,T58,58,Nick Watney,88,146,AT&T National,1,4
58,T58,59,Chez Reavie,72,146,Shell Houston Open,3,3
59,60,60,Camilo Villegas,79,145,the Memorial Tournament presented by Nationwide Insurance,2,6
60,T61,61,Carl Pettersson,82,143,Shell Houston Open,2,7
61,T61,44,Cameron Beckman,20,143,Northern Trust Open,1,3
62,T63,63,Tag Ridings,69,142,Farmers Insurance Open,1,3
63,T63,64,Patrick Reed,83,142,The Greenbrier Classic,2,5
64,T65,50,Doug LaBelle II,72,140,Shell Houston Open,4,1
65,T65,20,John Merrick,79,140,BMW Championship,1,3
66,67,67,Zack Fischer,10,139,HP Byron Nelson Championship,3,18
67,T68,68,Nick O'Hern,34,138,Sanderson Farms Championship,2,13
68,T68,69,Brendon de Jonge,110,138,Zurich Classic of New Orleans,1,1
69,T70,35,Gary Woodland,94,136,FedEx St. Jude Classic,3,6
70,T70,13,Robert Allenby,58,136,Crowne Plaza Invitational at Colonial,1,17
71,T72,11,Greg Chalmers,77,135,The Barclays,3,14
72,T72,73,K.J. Choi,85,135,The Barclays,3,14
73,74,74,Sangmoon Bae,83,134,Arnold Palmer Invitational presented by MasterCard,4,3
74,75,75,Troy Matteson,68,132,John Deere Classic,2,3
75,76,76,Cameron Tringale,80,131,The Barclays,3,1
76,77,77,Ken Duke,87,130,the Memorial Tournament presented by Nationwide Insurance,2,18
77,78,42,Jason Dufner,78,129,HP Byron Nelson Championship,1,1
78,T79,79,Dicky Pride,71,128,The Greenbrier Classic,3,14
79,T79,80,Ryo Ishikawa,72,128,HP Byron Nelson Championship,4,16
80,81,81,Jordan Spieth,82,127,AT&T National,4,1
81,82,82,Matt Every,89,126,RBC Canadian Open,2,11
82,T83,83,Luke Donald,60,124,RBC Canadian Open,2,5
83,T83,82,Matt Every,89,124,Arnold Palmer Invitational presented by MasterCard,4,3
84,85,85,Justin Bolli,59,123,RBC Heritage,1,15
85,T86,86,Brian Davis,91,122,AT&T Pebble Beach National Pro-Am,1,13
86,T86,77,Ken Duke,87,122,AT&T National,2,1
87,88,88,Aaron Baddeley,68,120,The Barclays,1,1
88,89,89,Lee Williams,62,118,Sanderson Farms Championship,1,17
89,90,90,Bill Haas,85,117,Arnold Palmer Invitational presented by MasterCard,1,6
90,T91,91,Jim Furyk,80,115,BMW Championship,2,15
91,T91,92,Retief Goosen,27,115,Valero Texas Open,2,4
92,T93,93,Brian Gay,79,114,Travelers Championship,2,6
93,T93,94,Kevin Stadler,83,114,Zurich Classic of New Orleans,1,2
94,T95,95,Ricky Barnes,74,113,HP Byron Nelson Championship,4,7
95,T95,37,George McNeill,68,113,Shell Houston Open,1,3
96,T97,44,Cameron Beckman,20,112,Sanderson Farms Championship,1,11
97,T97,39,Jason Kokrak,78,112,The Barclays,4,3
98,T97,99,Ben Kohles,75,112,RBC Canadian Open,2,17
99,100,36,Zach Johnson,84,111,Hyundai Tournament of Champions,2,6
100,T101,101,Brendan Steele,86,110,AT&T National,1,16
101,T101,13,Robert Allenby,58,110,FedEx St. Jude Classic,1,16
102,103,103,Peter Hanson,45,108,THE PLAYERS Championship,1,9
103,104,104,Webb Simpson,92,107,Wyndham Championship,4,8
104,T105,105,Nicolas Colsaerts,50,106,Wells Fargo Championship,1,5
105,T105,79,Dicky Pride,71,106,Wells Fargo Championship,1,5
106,T107,107,Boo Weekley,100,105,Zurich Classic of New Orleans,2,10
107,T107,108,Charlie Wi,75,105,Crowne Plaza Invitational at Colonial,1,2
108,109,91,Jim Furyk,80,104,Valero Texas Open,4,18
109,110,110,Colt Knost,69,103,Humana Challenge in partnership with the Clinton Foundation,3,16
110,111,111,Justin Leonard,86,101,Northern Trust Open,2,17
111,112,112,Michael Bradley,56,100,Sanderson Farms Championship,1,10
112,113,113,Steve Stricker,51,99,BMW Championship,3,15
113,T114,114,Rickie Fowler,75,98,BMW Championship,2,9
114,T114,19,Chris Kirk,89,98,Deutsche Bank Championship,3,2
115,116,116,Martin Flores,83,97,Wyndham Championship,1,17
116,T117,117,Scott Piercy,78,96,HP Byron Nelson Championship,3,6
117,T117,118,Bubba Watson,76,96,The Barclays,3,12
118,119,60,Camilo Villegas,79,95,HP Byron Nelson Championship,1,16
119,120,120,Jimmy Walker,84,93,Shell Houston Open,2,13
120,121,117,Scott Piercy,78,91,Crowne Plaza Invitational at Colonial,4,11
121,T122,122,Brandt Jobe,62,90,Wyndham Championship,1,8
122,T122,15,Chris Stroud,88,90,BMW Championship,4,18
123,T124,69,Brendon de Jonge,110,88,John Deere Classic,1,10
124,T124,125,Chad Campbell,78,88,John Deere Classic,1,10
125,126,16,Darron Stiles,51,87,Humana Challenge in partnership with the Clinton Foundation,1,18
126,127,127,Matt Kuchar,93,86,Deutsche Bank Championship,2,2
127,T128,113,Steve Stricker,51,83,John Deere Classic,1,10
128,T128,125,Chad Campbell,78,83,Arnold Palmer Invitational presented by MasterCard,2,6
129,T130,60,Camilo Villegas,79,82,Zurich Classic of New Orleans,1,7
130,T130,107,Boo Weekley,100,82,John Deere Classic,1,14
131,T130,132,Ryan Moore,72,82,John Deere Classic,2,10
132,133,77,Ken Duke,87,79,Wells Fargo Championship,1,8
133,134,110,Colt Knost,69,78,RBC Canadian Open,2,3
134,135,50,Doug LaBelle II,72,77,HP Byron Nelson Championship,1,7
135,136,82,Matt Every,89,75,Wyndham Championship,3,8
136,137,137,"Wes Short, Jr.",40,74,Shell Houston Open,4,15
137,138,138,Jeff Maggert,63,71,Waste Management Phoenix Open,1,3
138,139,60,Camilo Villegas,79,69,The Barclays,3,13
139,140,89,Lee Williams,62,68,Sony Open in Hawaii,2,9
140,141,141,David Toms,49,67,Wyndham Championship,4,6
141,142,142,Luke Guthrie,82,66,Farmers Insurance Open,1,18
142,143,5,Jerry Kelly,75,65,John Deere Classic,4,10
143,144,113,Steve Stricker,51,63,Hyundai Tournament of Champions,2,18
144,145,145,Dean Wilson,8,59,Sony Open in Hawaii,2,9
145,146,146,John Rollins,77,58,Wells Fargo Championship,4,8
146,147,147,Johnson Wagner,64,56,Valero Texas Open,2,5
147,148,148,Vijay Singh,61,55,The Greenbrier Classic,2,4
148,T149,11,Greg Chalmers,77,54,Humana Challenge in partnership with the Clinton Foundation,2,6
149,T149,150,Ernie Els,63,54,RBC Canadian Open,3,18
150,151,110,Colt Knost,69,53,HP Byron Nelson Championship,3,16
151,152,152,"Ted Potter, Jr.",65,52,Hyundai Tournament of Champions,3,15
152,153,5,Jerry Kelly,75,49,John Deere Classic,2,2
153,154,154,John Senden,79,48,Farmers Insurance Open,1,12
154,T155,117,Scott Piercy,78,46,World Golf Championships-Cadillac Championship,3,12
155,T155,156,Bryce Molder,82,46,Valero Texas Open,2,14
156,T157,157,Shawn Stefani,63,45,Waste Management Phoenix Open,2,17
157,T157,117,Scott Piercy,78,45,Waste Management Phoenix Open,2,17
158,T159,110,Colt Knost,69,42,AT&T National,1,6
159,T159,160,Francesco Molinari,27,42,Arnold Palmer Invitational presented by MasterCard,2,4
160,T161,132,Ryan Moore,72,40,John Deere Classic,1,7
161,T161,162,John Peterson,21,40,Zurich Classic of New Orleans,3,10
162,T161,163,Josh Teater,86,40,Tampa Bay Championship presented by EverBank,3,16
163,164,164,Joe Affrunti,15,39,Travelers Championship,1,1
164,T165,59,Chez Reavie,72,38,The Greenbrier Classic,4,6
165,T165,166,Bob Estes,66,38,Crowne Plaza Invitational at Colonial,1,5
166,T165,111,Justin Leonard,86,38,Northern Trust Open,3,1
167,T165,163,Josh Teater,86,38,Farmers Insurance Open,1,6
168,T165,169,Brendon Todd,37,38,Wyndham Championship,2,15
169,T170,170,Kevin Na,22,37,The Honda Classic,2,17
170,T170,64,Patrick Reed,83,37,John Deere Classic,2,17
171,T170,21,Brad Fritsch,81,37,HP Byron Nelson Championship,1,8
172,T173,160,Francesco Molinari,27,36,Arnold Palmer Invitational presented by MasterCard,2,10
173,T173,105,Nicolas Colsaerts,50,36,AT&T National,1,16
174,T173,175,Mikko Ilonen,10,36,World Golf Championships-Bridgestone Invitational,3,18
175,T173,53,Russell Henley,80,36,The Greenbrier Classic,1,1
176,T173,177,Stuart Appleby,88,36,Shell Houston Open,1,13
177,T178,24,Tommy Gainey,84,35,Arnold Palmer Invitational presented by MasterCard,4,12
178,T178,22,Tim Herron,45,35,RBC Heritage,4,8
179,T178,180,Brian Harman,89,35,The Honda Classic,2,18
180,T178,181,Morgan Hoffmann,64,35,HP Byron Nelson Championship,4,10
181,T178,40,Roberto Castro,97,35,Travelers Championship,2,14
182,T183,75,Troy Matteson,68,34,Tampa Bay Championship presented by EverBank,1,10
183,T183,184,Tom Gillis,69,34,Humana Challenge in partnership with the Clinton Foundation,4,2
184,T183,55,Pat Perez,69,34,AT&T National,4,5
185,T183,108,Charlie Wi,75,34,John Deere Classic,1,9
186,T187,44,Cameron Beckman,20,33,Valero Texas Open,1,15
187,T187,188,D.H. Lee,65,33,HP Byron Nelson Championship,3,8
188,T187,184,Tom Gillis,69,33,Shell Houston Open,1,6
189,T187,86,Brian Davis,91,33,Wyndham Championship,1,15
190,T187,191,Chris Williams,14,33,Travelers Championship,4,18
191,T192,177,Stuart Appleby,88,32,Valero Texas Open,1,18
192,T192,7,Hunter Mahan,91,32,Northern Trust Open,1,4
193,T192,19,Chris Kirk,89,32,THE PLAYERS Championship,3,8
194,T192,195,Scott Verplank,37,32,FedEx St. Jude Classic,2,16
195,T192,196,Michael Block,3,32,Northern Trust Open,1,11
196,T197,105,Nicolas Colsaerts,50,31,Zurich Classic of New Orleans,4,18
197,T197,188,D.H. Lee,65,31,Waste Management Phoenix Open,2,14
198,T197,43,Ben Crane,62,31,FedEx St. Jude Classic,4,16
199,T197,200,Lee Westwood,70,31,THE PLAYERS Championship,2,11
