,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
145,146,146,Erik Compton,74,19.55,158,808
146,T147,T147,Cameron Percy,68,19.37,142,733
147,T147,T147,Dicky Pride,71,19.37,154,795
148,149,149,Nicolas Colsaerts,50,19.35,84,434
149,150,150,Stephen Ames,49,19.34,112,579
150,151,151,Derek Ernst,58,19.3,121,627
151,152,152,Robert Allenby,58,19.27,132,685
152,153,153,John Senden,79,19.23,154,801
153,154,154,Geoff Ogilvy,57,19.19,104,542
154,155,155,Scott Brown,65,19.16,141,736
155,156,156,Ernie Els,63,19.09,121,634
156,157,157,Ben Curtis,59,19.05,116,609
157,158,158,Luke List,65,19.04,107,562
158,159,159,Eric Meierdierks,48,19.01,88,463
159,160,160,Andrew Svoboda,46,18.98,89,469
160,161,161,Brian Stuard,78,18.96,167,881
161,162,162,Tom Gillis,69,18.87,154,816
162,163,163,Ryo Ishikawa,72,18.74,128,683
163,164,164,Will Claxton,67,18.72,138,737
164,165,165,Michael Thompson,66,18.66,131,702
165,166,166,Graeme McDowell,53,18.62,97,521
166,167,167,Vijay Singh,61,18.43,115,624
167,168,168,J.J. Henry,83,18.29,188,1028
168,169,169,Lee Williams,62,18.26,126,690
169,170,170,Troy Matteson,68,18.13,136,750
170,171,171,Jin Park,52,18.12,108,596
171,172,172,Darron Stiles,51,18.09,108,597
172,173,173,Colt Knost,69,18.08,147,813
173,174,174,Bobby Gates,49,17.92,81,452
174,175,175,Justin Bolli,59,17.76,108,608
175,176,176,Casey Wittenberg,72,17.54,134,764
176,177,177,Mark Wilson,56,17.53,128,730
177,178,178,Trevor Immelman,73,17.13,141,823
178,179,179,Johnson Wagner,64,16.77,112,668
179,180,180,Michael Bradley,56,16.61,92,554
