,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
135,T135,T135,Cameron Percy,68,+.176
136,137,137,Henrik Norlander,70,+.177
137,138,138,Richard Lee,81,+.179
138,139,139,Scott Stallings,79,+.180
139,140,140,Doug LaBelle II,72,+.183
140,T141,T141,Luke Guthrie,82,+.185
141,T141,T141,Greg Owen,73,+.185
142,T143,T143,Derek Ernst,58,+.186
143,T143,T143,Brad Fritsch,81,+.186
144,T145,T145,Justin Hicks,79,+.187
145,T145,T145,Dicky Pride,71,+.187
146,T147,T147,Stephen Ames,49,+.195
147,T147,T147,Lee Williams,62,+.195
148,T149,T149,Lucas Glover,65,+.198
149,T149,T149,Carl Pettersson,82,+.198
150,T151,T151,Justin Bolli,59,+.200
151,T151,T151,Ryan Moore,72,+.200
152,153,153,Ken Duke,87,+.205
153,T154,T154,Jason Bohn,70,+.206
154,T154,T154,Trevor Immelman,73,+.206
155,156,156,Robert Streb,75,+.208
156,157,157,Brian Harman,89,+.212
157,158,158,J.J. Henry,83,+.217
158,159,159,Scott Gardiner,61,+.220
159,160,160,Andrew Svoboda,46,+.221
160,161,161,David Mathis,71,+.223
161,T162,T162,Tim Clark,64,+.231
162,T162,T162,Aaron Watkins,46,+.231
163,164,164,Kyle Stanley,71,+.233
164,165,165,Michael Bradley,56,+.240
165,T166,T166,Scott Brown,65,+.253
166,T166,T166,Colt Knost,69,+.253
167,168,168,Rod Pampling,46,+.255
168,169,169,Camilo Villegas,79,+.258
169,170,170,Ben Curtis,59,+.259
170,171,171,Y.E. Yang,56,+.269
171,172,172,Bob Estes,66,+.272
172,173,173,Darron Stiles,51,+.275
173,174,174,Mike Weir,60,+.277
174,175,175,Vaughn Taylor,50,+.281
175,176,176,Robert Allenby,58,+.282
176,177,177,Tom Gillis,69,+.286
177,178,178,Michael Thompson,66,+.314
178,179,179,Sean O'Hair,56,+.327
179,180,180,Alistair Presnell,59,+.341
