,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
53,T54,T54,Russell Henley,80,31.62,74,234
54,T54,T54,D.J. Trahan,48,31.62,43,136
55,56,56,Greg Owen,73,31.47,79,251
56,57,57,Jason Day,86,31.37,80,255
57,58,58,Lucas Glover,65,31.34,68,217
58,59,59,Kevin Chappell,80,31.23,79,253
59,60,60,Seung-Yul Noh,71,31.14,71,228
60,61,61,John Rollins,77,31.03,81,261
61,62,62,Pat Perez,69,30.86,75,243
62,63,63,Matt Jones,83,30.85,91,295
63,64,64,Jimmy Walker,84,30.72,94,306
64,65,65,Vaughn Taylor,50,30.66,42,137
65,T66,T66,Luke Donald,60,30.65,57,186
66,T66,T66,Nick Watney,88,30.65,95,310
67,68,68,Ryan Moore,72,30.57,70,229
68,69,69,D.H. Lee,65,30.52,76,249
69,70,70,Brendon de Jonge,110,30.47,117,384
70,71,71,Justin Rose,62,30.46,60,197
71,72,72,Brendan Steele,86,30.43,91,299
72,73,73,Bud Cauley,67,30.35,61,201
73,74,74,Aaron Baddeley,68,30.22,68,225
74,75,75,Ángel Cabrera,73,30.2,77,255
75,76,76,Troy Matteson,68,30.15,60,199
76,77,77,Steve LeBrun,66,30.0,48,160
77,78,78,Matt Every,89,29.94,97,324
78,79,79,Brandt Jobe,62,29.79,56,188
79,80,80,Stewart Cink,71,29.77,64,215
80,81,81,Zach Johnson,84,29.7,79,266
81,82,82,Robert Karlsson,56,29.66,35,118
82,83,83,William McGirt,75,29.64,75,253
83,T84,T84,Brad Fritsch,81,29.63,72,243
84,T84,T84,Andrew Svoboda,46,29.63,40,135
85,86,86,Scott Piercy,78,29.55,73,247
86,87,87,Bo Van Pelt,72,29.47,61,207
87,88,88,Roberto Castro,97,29.34,98,334
88,89,89,Derek Ernst,58,29.28,53,181
89,90,90,Martin Laird,68,29.22,64,219
90,91,91,Boo Weekley,100,29.2,99,339
91,92,92,Brian Harman,89,29.09,80,275
92,93,93,Marc Leishman,77,29.02,74,255
93,94,94,David Lingmerth,68,28.93,57,197
94,95,95,Cameron Percy,68,28.86,58,201
95,96,96,Cameron Tringale,80,28.72,81,282
96,T97,T97,Jonas Blixt,76,28.68,76,265
97,T97,T97,Nicolas Colsaerts,50,28.68,37,129
98,T97,T97,Eric Meierdierks,48,28.68,39,136
99,T97,T97,Y.E. Yang,56,28.68,39,136
100,101,101,Nicholas Thompson,99,28.39,90,317
101,102,102,Tommy Gainey,84,28.31,77,272
102,103,103,John Merrick,79,28.17,71,252
103,104,104,Fabián Gómez,65,28.16,58,206
104,105,105,Sean O'Hair,56,28.06,55,196
105,106,106,John Huh,88,27.83,86,309
106,107,107,Morgan Hoffmann,64,27.81,52,187
107,108,108,Chris Stroud,88,27.74,91,328
108,109,109,Sangmoon Bae,83,27.55,73,265
109,110,110,Graeme McDowell,53,27.52,41,149
110,111,111,George McNeill,68,27.46,67,244
111,112,112,Robert Streb,75,27.44,59,215
112,113,113,Scott Gardiner,61,27.42,51,186
113,114,114,Michael Thompson,66,27.32,53,194
114,115,115,Freddie Jacobson,63,27.27,45,165
115,116,116,Chad Campbell,78,27.24,76,279
116,117,117,Greg Chalmers,77,27.17,75,276
117,118,118,Stephen Ames,49,26.92,42,156
118,119,119,Alistair Presnell,59,26.88,43,160
119,120,120,Will Claxton,67,26.8,52,194
120,121,121,D.A. Points,87,26.76,80,299
121,122,122,Jason Dufner,78,26.58,63,237
122,123,123,Jeff Overton,78,26.55,77,290
123,124,124,Tim Herron,45,26.49,40,151
124,125,125,Chris Kirk,89,26.4,80,303
125,126,126,Ricky Barnes,74,26.23,64,244
126,T127,T127,Luke Guthrie,82,26.05,68,261
127,T127,T127,J.J. Henry,83,26.05,68,261
128,129,129,Tim Clark,64,25.9,43,166
129,130,130,Vijay Singh,61,25.75,43,167
130,131,131,Brian Stuard,78,25.73,62,241
131,132,132,Bill Haas,85,25.69,74,288
132,T133,T133,Jim Furyk,80,25.52,61,239
133,T133,T133,Tom Gillis,69,25.52,49,192
134,135,135,Richard Lee,81,25.37,68,268
135,136,136,Doug LaBelle II,72,25.32,60,237
136,137,137,Jason Bohn,70,25.21,61,242
137,138,138,Camilo Villegas,79,25.1,60,239
138,139,139,Ryo Ishikawa,72,24.87,48,193
139,140,140,Jeff Maggert,63,24.76,52,210
140,141,141,Geoff Ogilvy,57,24.71,42,170
141,142,142,Scott Langley,79,24.56,56,228
142,143,143,Stuart Appleby,88,24.54,66,269
143,144,144,Charlie Wi,75,24.22,54,223
144,145,145,James Driscoll,76,24.11,54,224
145,146,146,Jerry Kelly,75,24.05,63,262
146,147,147,Ben Kohles,75,23.92,50,209
147,148,148,Trevor Immelman,73,23.66,53,224
148,149,149,Johnson Wagner,64,23.58,50,212
149,150,150,"Ted Potter, Jr.",65,23.37,43,184
150,151,151,David Lynn,70,23.32,52,223
151,152,152,Colt Knost,69,23.15,50,216
152,153,153,Darron Stiles,51,23.02,32,139
153,154,154,Erik Compton,74,22.89,57,249
154,155,155,Chez Reavie,72,22.67,51,225
155,156,156,K.J. Choi,85,22.59,54,239
156,157,157,Brian Davis,91,22.47,71,316
157,T158,T158,David Hearn,88,22.22,58,261
158,T158,T158,Jin Park,52,22.22,40,180
159,160,160,Ian Poulter,59,22.09,36,163
160,161,161,Ben Crane,62,22.05,43,195
161,162,162,Mark Wilson,56,22.02,37,168
162,163,163,Bobby Gates,49,21.32,29,136
163,164,164,Justin Leonard,86,20.69,54,261
164,165,165,David Mathis,71,20.63,46,223
165,166,166,Lee Williams,62,20.56,37,180
166,T167,T167,Robert Allenby,58,20.33,37,182
167,T167,T167,Justin Hicks,79,20.33,49,241
168,169,169,Bob Estes,66,20.26,46,227
169,170,170,Ben Curtis,59,19.88,33,166
170,171,171,Casey Wittenberg,72,19.55,43,220
171,172,172,Aaron Watkins,46,19.2,24,125
172,173,173,Brian Gay,79,19.14,49,256
173,174,174,Justin Bolli,59,19.05,28,147
174,175,175,Ken Duke,87,18.88,54,286
175,176,176,Michael Bradley,56,18.42,28,152
176,177,177,Mike Weir,60,18.37,36,196
177,178,178,Bryce Molder,82,18.05,48,266
178,179,179,David Toms,49,16.67,19,114
179,180,180,Dicky Pride,71,16.52,38,230
