,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
37,38,38,Lucas Glover,65,16.87,14,83
38,39,39,Charlie Beljan,62,16.82,18,107
39,T40,T40,Kevin Stadler,83,16.67,18,108
40,T40,T40,Mike Weir,60,16.67,21,126
41,42,42,Nicholas Thompson,99,16.54,21,127
42,43,43,Robert Garrigus,69,16.5,17,103
43,44,44,Justin Hicks,79,16.35,17,104
44,T45,T45,Ángel Cabrera,73,16.28,21,129
45,T45,T45,Johnson Wagner,64,16.28,14,86
46,T47,T47,Sergio Garcia,65,16.22,12,74
47,T47,T47,Peter Hanson,45,16.22,12,74
48,49,49,Jason Bohn,70,16.19,17,105
49,50,50,D.A. Points,87,16.16,16,99
50,51,51,Ryan Palmer,79,16.06,22,137
51,52,52,Vaughn Taylor,50,16.0,12,75
52,53,53,James Hahn,78,15.94,22,138
53,54,54,K.J. Choi,85,15.91,14,88
54,55,55,Henrik Norlander,70,15.83,19,120
55,56,56,Justin Rose,62,15.48,13,84
56,57,57,Greg Chalmers,77,15.44,21,136
57,58,58,Charles Howell III,87,15.35,31,202
58,59,59,Rory Sabbatini,86,15.33,23,150
59,60,60,Alistair Presnell,59,15.15,15,99
60,61,61,Tom Gillis,69,15.12,13,86
61,62,62,Lee Williams,62,14.94,13,87
62,63,63,D.J. Trahan,48,14.93,10,67
63,64,64,Kevin Streelman,86,14.81,16,108
64,65,65,Jim Herman,59,14.77,13,88
65,66,66,Charley Hoffman,84,14.75,18,122
66,67,67,Carl Pettersson,82,14.74,14,95
67,68,68,Sean O'Hair,56,14.68,16,109
68,69,69,James Driscoll,76,14.66,17,116
69,70,70,Chez Reavie,72,14.61,13,89
70,71,71,John Senden,79,14.6,20,137
71,72,72,John Huh,88,14.5,19,131
72,73,73,Kevin Chappell,80,14.41,16,111
73,74,74,Hunter Mahan,91,14.4,18,125
74,T75,T75,Martin Flores,83,14.38,21,146
75,T75,T75,Patrick Reed,83,14.38,23,160
76,T75,T75,Jimmy Walker,84,14.38,23,160
77,T78,T78,Robert Karlsson,56,14.29,9,63
78,T78,T78,Lee Westwood,70,14.29,11,77
79,80,80,Martin Laird,68,14.14,14,99
80,81,81,Chris Kirk,89,14.09,21,149
81,82,82,John Merrick,79,13.95,18,129
82,83,83,Gary Woodland,94,13.94,23,165
83,84,84,Matt Kuchar,93,13.87,19,137
84,85,85,Billy Horschel,96,13.85,18,130
85,86,86,Justin Leonard,86,13.82,17,123
86,87,87,Daniel Summerhays,83,13.7,20,146
87,T88,T88,Stewart Cink,71,13.56,16,118
88,T88,T88,D.H. Lee,65,13.56,16,118
89,90,90,Rory McIlroy,56,13.51,10,74
90,91,91,Nicolas Colsaerts,50,13.48,12,89
91,92,92,Rickie Fowler,75,13.46,14,104
92,93,93,Scott Stallings,79,13.45,16,119
93,94,94,Jin Park,52,13.43,9,67
94,95,95,Tiger Woods,61,13.41,11,82
95,96,96,Fabián Gómez,65,13.39,15,112
96,T97,T97,Luke Donald,60,13.33,10,75
97,T97,T97,Martin Kaymer,61,13.33,8,60
98,99,99,William McGirt,75,13.27,15,113
99,100,100,Bubba Watson,76,13.22,16,121
100,101,101,Cameron Tringale,80,13.19,19,144
101,102,102,Roberto Castro,97,13.01,16,123
102,103,103,Brendon de Jonge,110,12.94,22,170
103,T104,T104,Aaron Baddeley,68,12.9,16,124
104,T104,T104,Ryan Moore,72,12.9,12,93
105,T104,T104,Ian Poulter,59,12.9,8,62
106,T104,T104,Andrew Svoboda,46,12.9,8,62
107,108,108,Mark Wilson,56,12.82,10,78
108,109,109,Tommy Gainey,84,12.66,20,158
109,110,110,Tim Herron,45,12.63,12,95
110,111,111,Scott Brown,65,12.62,13,103
111,T112,T112,Brian Harman,89,12.5,19,152
112,T112,T112,David Lynn,70,12.5,15,120
113,T112,T112,Eric Meierdierks,48,12.5,10,80
114,115,115,Bill Haas,85,12.4,15,121
115,116,116,Jason Dufner,78,12.39,14,113
116,117,117,Bud Cauley,67,12.38,13,105
117,118,118,Kyle Stanley,71,12.28,14,114
118,119,119,Brad Fritsch,81,12.23,17,139
119,120,120,Morgan Hoffmann,64,12.17,14,115
120,121,121,John Rollins,77,12.16,18,148
121,T122,T122,Ryo Ishikawa,72,11.88,12,101
122,T122,T122,Ben Kohles,75,11.88,12,101
123,T124,T124,Ben Curtis,59,11.76,10,85
124,T124,T124,David Toms,49,11.76,6,51
125,T126,T126,Jerry Kelly,75,11.7,11,94
126,T126,T126,Robert Streb,75,11.7,11,94
127,128,128,Derek Ernst,58,11.65,12,103
128,129,129,Steve LeBrun,66,11.57,14,121
129,130,130,Tag Ridings,69,11.45,15,131
130,131,131,Rod Pampling,46,11.39,9,79
131,132,132,Brian Davis,91,11.22,11,98
132,133,133,Tim Clark,64,11.11,7,63
133,134,134,Bryce Molder,82,10.96,16,146
134,135,135,Trevor Immelman,73,10.92,13,119
135,136,136,Brandt Jobe,62,10.84,9,83
136,137,137,Charl Schwartzel,69,10.75,10,93
137,T138,T138,Steven Bowditch,67,10.71,12,112
138,T138,T138,Henrik Stenson,65,10.71,6,56
139,T140,T140,Ricky Barnes,74,10.69,14,131
140,T140,T140,Scott Langley,79,10.69,14,131
141,142,142,David Hearn,88,10.56,15,142
142,143,143,Bob Estes,66,10.34,12,116
143,144,144,Padraig Harrington,52,10.29,7,68
144,145,145,Bo Van Pelt,72,10.26,8,78
145,146,146,Jeff Overton,78,10.13,16,158
146,147,147,Justin Bolli,59,10.11,9,89
147,T148,T148,Ben Crane,62,10.1,10,99
148,T148,T148,Doug LaBelle II,72,10.1,10,99
149,150,150,Charlie Wi,75,10.07,14,139
150,151,151,Erik Compton,74,9.84,12,122
151,152,152,Geoff Ogilvy,57,9.76,8,82
152,153,153,George McNeill,68,9.73,11,113
153,154,154,Brandt Snedeker,79,9.71,10,103
154,155,155,Greg Owen,73,9.68,12,124
155,156,156,Seung-Yul Noh,71,9.49,13,137
156,157,157,Darron Stiles,51,9.33,7,75
157,158,158,Brian Stuard,78,9.28,9,97
158,159,159,Colt Knost,69,9.18,9,98
159,160,160,Michael Thompson,66,9.09,9,99
160,161,161,Ken Duke,87,9.03,13,144
161,162,162,Aaron Watkins,46,8.97,7,78
162,163,163,Jeff Maggert,63,8.7,8,92
163,164,164,Nick Watney,88,8.66,11,127
164,165,165,Jim Furyk,80,8.6,8,93
165,166,166,Vijay Singh,61,8.42,8,95
166,T167,T167,Casey Wittenberg,72,8.33,9,108
167,T167,T167,Y.E. Yang,56,8.33,6,72
168,169,169,Robert Allenby,58,8.22,6,73
169,170,170,Boo Weekley,100,8.15,11,135
170,171,171,"Ted Potter, Jr.",65,7.77,8,103
171,T172,T172,Stuart Appleby,88,7.69,10,130
172,T172,T172,J.J. Henry,83,7.69,8,104
173,174,174,David Mathis,71,7.46,10,134
174,175,175,Will Claxton,67,7.34,8,109
175,176,176,Brendan Steele,86,7.25,10,138
176,177,177,Brian Gay,79,7.14,8,112
177,178,178,Jonas Blixt,76,6.56,8,122
178,179,179,Chad Campbell,78,5.93,7,118
179,180,180,Bobby Gates,49,5.45,6,110
