,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
44,T44,T44,Martin Laird,68,158.9,995255.0,174
45,T44,T44,Charl Schwartzel,69,158.9,858274.0,150
46,T47,T47,Zach Johnson,84,159.0,984497.0,172
47,T47,T47,Martin Kaymer,61,159.0,732611.0,128
48,T47,T47,David Lingmerth,68,159.0,1047333.0,183
49,T47,T47,Brendan Steele,86,159.0,1310545.0,229
50,T51,T51,Jonas Blixt,76,159.1,1082520.0,189
51,T51,T51,Tom Gillis,69,159.1,1122581.0,196
52,T51,T51,Josh Teater,86,159.1,1088040.0,190
53,T54,T54,Charles Howell III,87,159.2,1123292.0,196
54,T54,T54,John Merrick,79,159.2,1089269.0,190
55,56,56,Jason Dufner,78,159.3,986084.0,172
56,57,57,Tommy Gainey,84,159.4,1584178.0,276
57,58,58,Steve LeBrun,66,159.6,988345.0,172
58,T59,T59,Brian Gay,79,159.7,1241953.0,216
59,T59,T59,James Hahn,78,159.7,1207556.0,210
60,T61,T61,Graeme McDowell,53,159.8,563868.0,98
61,T61,T61,Brian Stuard,78,159.8,1035789.0,180
62,T63,T63,Brandt Jobe,62,159.9,915003.0,159
63,T63,T63,Patrick Reed,83,159.9,1335388.0,232
64,T63,T63,Justin Rose,62,159.9,615861.0,107
65,T66,T66,Erik Compton,74,160.1,1083488.0,188
66,T66,T66,Geoff Ogilvy,57,160.1,864370.0,150
67,T66,T66,Vijay Singh,61,160.1,783659.0,136
68,69,69,Will Claxton,67,160.4,1114784.0,193
69,70,70,Tim Herron,45,160.5,878328.0,152
70,T71,T71,Bill Haas,85,160.6,878796.0,152
71,T71,T71,Scott Langley,79,160.6,1075584.0,186
72,73,73,Luke List,65,160.7,1162593.0,201
73,74,74,Rory Sabbatini,86,160.8,1238958.0,214
74,T75,T75,Greg Chalmers,77,160.9,1222441.0,211
75,T75,T75,Morgan Hoffmann,64,160.9,921264.0,159
76,T77,T77,Aaron Baddeley,68,161.0,1205261.0,208
77,T77,T77,Chad Campbell,78,161.0,1217229.0,210
78,79,79,Derek Ernst,58,161.1,1055702.0,182
79,T80,T80,Sangmoon Bae,83,161.2,1474290.0,254
80,T80,T80,Dustin Johnson,71,161.2,853150.0,147
81,T82,T82,"Ted Potter, Jr.",65,161.3,917563.0,158
82,T82,T82,Alistair Presnell,59,161.3,905742.0,156
83,T82,T82,Andrew Svoboda,46,161.3,603836.0,104
84,85,85,Russell Henley,80,161.4,1051954.0,181
85,86,86,Martin Flores,83,161.5,1238445.0,213
86,87,87,Kyle Stanley,71,161.6,1099342.0,189
87,88,88,Matt Jones,83,161.7,1076712.0,185
88,89,89,Henrik Stenson,65,161.8,594284.0,102
89,90,90,Jim Furyk,80,161.9,915063.0,157
90,T91,T91,Colt Knost,69,162.0,1154562.0,198
91,T91,T91,Marc Leishman,77,162.0,1131247.0,194
92,T91,T91,Charlie Wi,75,162.0,1253704.0,215
93,T94,T94,Ryo Ishikawa,72,162.1,1096989.0,188
94,T94,T94,Robert Karlsson,56,162.1,671225.0,115
95,96,96,Eric Meierdierks,48,162.2,852683.0,146
96,T97,T97,Lucas Glover,65,162.3,981573.0,168
97,T97,T97,Jason Kokrak,78,162.3,1273959.0,218
98,99,99,David Hearn,88,162.4,1250873.0,214
99,T100,T100,Jimmy Walker,84,162.5,1170200.0,200
100,T100,T100,Gary Woodland,94,162.5,1474088.0,252
101,102,102,Lee Williams,62,162.6,924908.0,158
102,T103,T103,John Huh,88,162.7,1236117.0,211
103,T103,T103,Vaughn Taylor,50,162.7,796738.0,136
104,T103,T103,Nick Watney,88,162.7,1194771.0,204
105,106,106,Robert Allenby,58,162.8,1154755.0,197
106,107,107,Henrik Norlander,70,162.9,1096846.0,187
107,T108,T108,Steven Bowditch,67,163.0,1038321.0,177
108,T108,T108,John Rollins,77,163.0,1120851.0,191
109,110,110,Bo Van Pelt,72,163.1,963060.0,164
110,T111,T111,Troy Matteson,68,163.2,1022375.0,174
111,T111,T111,Johnson Wagner,64,163.2,1016219.0,173
112,T113,T113,Michael Bradley,56,163.3,917116.0,156
113,T113,T113,Kevin Chappell,80,163.3,1169532.0,199
114,115,115,Jim Herman,59,163.4,764737.0,130
115,116,116,Nicholas Thompson,99,163.6,1537268.0,261
116,T117,T117,Rod Pampling,46,163.7,695551.0,118
117,T117,T117,Daniel Summerhays,83,163.7,1319821.0,224
118,T119,T119,Webb Simpson,92,163.8,1044034.0,177
119,T119,T119,Boo Weekley,100,163.8,1468455.0,249
120,T121,T121,David Mathis,71,163.9,1315761.0,223
121,T121,T121,William McGirt,75,163.9,1180030.0,200
122,T123,T123,Jason Bohn,70,164.0,1257841.0,213
123,T123,T123,Ben Curtis,59,164.0,903234.0,153
124,125,125,Phil Mickelson,78,164.2,881005.0,149
125,126,126,Scott Brown,65,164.3,1011205.0,171
126,T127,T127,Stewart Cink,71,164.4,1012339.0,171
127,T127,T127,Seung-Yul Noh,71,164.4,1230810.0,208
128,T129,T129,Andres Romero,63,164.5,1047883.0,177
129,T129,T129,Kevin Stadler,83,164.5,1107198.0,187
130,131,131,Casey Wittenberg,72,164.6,1125879.0,190
131,T132,T132,Jeff Maggert,63,164.7,990133.0,167
132,T132,T132,Hunter Mahan,91,164.7,996031.0,168
133,T132,T132,Pat Perez,69,164.7,1115024.0,188
134,135,135,Ben Crane,62,164.8,931604.0,157
135,136,136,Brandt Snedeker,79,164.9,890610.0,150
136,137,137,Brian Davis,91,165.0,1478937.0,249
137,138,138,Ryan Moore,72,165.1,962858.0,162
138,139,139,Chris Kirk,89,165.2,1177763.0,198
139,T140,T140,Bobby Gates,49,165.3,737880.0,124
140,T140,T140,Dicky Pride,71,165.3,1089160.0,183
141,142,142,Padraig Harrington,52,165.5,649378.0,109
142,143,143,Chez Reavie,72,165.6,1097144.0,184
143,144,144,D.H. Lee,65,165.7,1073492.0,180
144,T145,T145,Graham DeLaet,94,165.8,1229246.0,206
145,T145,T145,Bob Estes,66,165.8,901238.0,151
146,147,147,Justin Hicks,79,165.9,1307656.0,219
147,148,148,Aaron Watkins,46,166.1,699484.0,117
148,149,149,Scott Gardiner,61,166.2,1119032.0,187
149,T150,T150,Doug LaBelle II,72,166.3,1095577.0,183
150,T150,T150,Scott Piercy,78,166.3,1197343.0,200
151,T152,T152,Tim Clark,64,166.4,700837.0,117
152,T152,T152,Jeff Overton,78,166.4,1240290.0,207
153,T154,T154,James Driscoll,76,166.5,1174949.0,196
154,T154,T154,Mark Wilson,56,166.5,827157.0,138
155,156,156,Bud Cauley,67,166.7,1140269.0,190
156,T157,T157,Ángel Cabrera,73,166.8,1104931.0,184
157,T157,T157,Fabián Gómez,65,166.8,1038890.0,173
158,T159,T159,Ken Duke,87,167.2,1438559.0,239
159,T159,T159,Jerry Kelly,75,167.2,963013.0,160
160,T159,T159,Bryce Molder,82,167.2,1216119.0,202
161,T162,T162,Trevor Immelman,73,167.3,1096018.0,182
162,T162,T162,Cameron Tringale,80,167.3,1258400.0,209
163,164,164,J.J. Henry,83,167.5,1278465.0,212
164,165,165,Robert Garrigus,69,167.6,880831.0,146
165,166,166,Camilo Villegas,79,167.7,1189096.0,197
166,167,167,Roberto Castro,97,167.8,1371274.0,227
167,168,168,Justin Leonard,86,167.9,1366116.0,226
168,169,169,Chris Stroud,88,168.3,1266476.0,209
169,170,170,Jin Park,52,168.5,824798.0,136
170,171,171,John Senden,79,168.9,1100653.0,181
171,172,172,Ricky Barnes,74,169.3,1182722.0,194
172,173,173,D.A. Points,87,169.4,1305193.0,214
173,174,174,Tiger Woods,61,169.7,635358.0,104
174,175,175,Freddie Jacobson,63,169.8,745903.0,122
175,176,176,Sergio Garcia,65,170.1,661418.0,108
176,177,177,Luke Guthrie,82,170.2,1274163.0,208
177,178,178,Mike Weir,60,170.7,1014024.0,165
178,179,179,K.J. Choi,85,172.7,957288.0,154
179,180,180,Rickie Fowler,75,174.0,1002381.0,160
