,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
73,74,74,Brendon de Jonge,110,52.01,155,143
74,75,75,John Huh,88,51.69,122,114
75,76,76,Chad Campbell,78,51.57,115,108
76,77,77,Nicholas Thompson,99,51.48,139,131
77,78,78,Pat Perez,69,51.43,108,102
78,79,79,Kevin Chappell,80,51.35,114,108
79,80,80,Tommy Gainey,84,51.32,117,111
80,81,81,Tag Ridings,69,51.11,92,88
81,82,82,Chris Kirk,89,50.97,131,126
82,83,83,Rod Pampling,46,50.89,57,55
83,84,84,Brian Harman,89,50.62,122,119
84,85,85,Carl Pettersson,82,50.25,101,100
85,T86,T86,Aaron Baddeley,68,50.0,100,100
86,T86,T86,Brandt Jobe,62,50.0,82,82
87,88,88,Erik Compton,74,49.74,97,98
88,89,89,James Hahn,78,49.55,109,111
89,90,90,Russell Henley,80,49.5,100,102
90,91,91,Ryan Moore,72,49.44,89,91
91,92,92,Billy Horschel,96,49.24,130,134
92,93,93,Jason Dufner,78,48.9,89,93
93,94,94,Martin Laird,68,48.89,88,92
94,95,95,Stewart Cink,71,48.88,87,91
95,96,96,Jonas Blixt,76,48.78,100,105
96,97,97,Vaughn Taylor,50,48.74,58,61
97,98,98,Robert Karlsson,56,48.7,56,59
98,99,99,Sangmoon Bae,83,48.64,107,113
99,100,100,Camilo Villegas,79,48.45,94,100
100,101,101,Steve Stricker,51,48.21,54,58
101,102,102,D.A. Points,87,47.66,102,112
102,103,103,Daniel Summerhays,83,47.64,121,133
103,104,104,Fabián Gómez,65,47.46,84,93
104,105,105,George McNeill,68,47.15,91,102
105,106,106,Freddie Jacobson,63,47.01,63,71
106,107,107,Bo Van Pelt,72,46.89,83,94
107,108,108,Bud Cauley,67,46.67,84,96
108,109,109,Y.E. Yang,56,46.55,54,62
109,110,110,Ricky Barnes,74,46.27,93,108
110,111,111,Zach Johnson,84,46.15,96,112
111,112,112,Scott Gardiner,61,46.06,76,89
112,113,113,William McGirt,75,45.78,103,122
113,T114,T114,Bobby Gates,49,45.76,54,64
114,T114,T114,D.H. Lee,65,45.76,81,96
115,116,116,Johnson Wagner,64,45.24,76,92
116,T117,T117,Geoff Ogilvy,57,45.21,66,80
117,T117,T117,Brandt Snedeker,79,45.21,85,103
118,119,119,Brendan Steele,86,44.72,110,136
119,120,120,Cameron Tringale,80,44.63,108,134
120,121,121,Ian Poulter,59,44.26,54,68
121,122,122,Chris Stroud,88,44.05,111,141
122,123,123,Roberto Castro,97,43.98,117,149
123,124,124,Luke Guthrie,82,43.87,93,119
124,125,125,Steve LeBrun,66,43.79,74,95
125,126,126,James Driscoll,76,43.69,90,116
126,127,127,Troy Matteson,68,43.62,82,106
127,128,128,Will Claxton,67,43.5,77,100
128,129,129,Greg Chalmers,77,43.17,98,129
129,130,130,John Merrick,79,42.79,92,123
130,131,131,"Ted Potter, Jr.",65,42.68,70,94
131,132,132,Tom Gillis,69,42.05,74,102
132,T133,T133,David Lingmerth,68,41.8,79,110
133,T133,T133,David Mathis,71,41.8,79,110
134,135,135,Tim Clark,64,41.46,51,72
135,136,136,Luke Donald,60,40.54,60,88
136,137,137,Alistair Presnell,59,40.41,59,87
137,138,138,Jeff Maggert,63,40.35,69,102
138,139,139,Michael Thompson,66,40.24,66,98
139,140,140,J.J. Henry,83,39.83,94,142
140,141,141,Tim Herron,45,39.71,54,82
141,142,142,Justin Hicks,79,39.42,82,126
142,143,143,Stuart Appleby,88,39.11,97,151
143,144,144,Brian Stuard,78,38.78,76,120
144,145,145,Graeme McDowell,53,37.93,44,72
145,146,146,Mark Wilson,56,37.91,58,95
146,147,147,Robert Allenby,58,37.87,64,105
147,148,148,Jerry Kelly,75,37.5,75,125
148,149,149,Stephen Ames,49,36.72,47,81
149,150,150,Trevor Immelman,73,36.68,73,126
150,151,151,Doug LaBelle II,72,36.67,66,114
151,152,152,Chez Reavie,72,36.63,74,128
152,153,153,Casey Wittenberg,72,36.27,70,123
153,154,154,Ben Kohles,75,36.08,70,124
154,155,155,Charlie Wi,75,35.92,74,132
155,156,156,Michael Bradley,56,35.07,47,87
156,157,157,Bob Estes,66,35.05,68,126
157,158,158,Richard Lee,81,34.87,83,155
158,159,159,Mike Weir,60,34.64,53,100
159,160,160,Ben Crane,62,34.57,56,106
160,161,161,David Hearn,88,33.9,80,156
161,162,162,Jason Bohn,70,33.17,69,139
162,163,163,David Lynn,70,33.16,62,125
163,164,164,K.J. Choi,85,32.83,65,133
164,165,165,Darron Stiles,51,32.54,41,85
165,166,166,Lee Williams,62,32.08,51,108
166,167,167,Scott Langley,79,32.02,65,138
167,168,168,Dicky Pride,71,32.0,56,119
168,169,169,Jin Park,52,31.85,43,92
169,170,170,Brian Davis,91,31.8,83,178
170,171,171,Ken Duke,87,31.6,73,158
171,172,172,Justin Bolli,59,31.03,45,100
172,T173,T173,Ben Curtis,59,29.33,44,106
173,T173,T173,Jim Furyk,80,29.33,61,147
174,175,175,Colt Knost,69,29.12,53,129
175,176,176,Aaron Watkins,46,27.62,29,76
176,177,177,Brian Gay,79,27.14,57,153
177,178,178,Justin Leonard,86,26.5,62,172
178,179,179,David Toms,49,26.42,28,78
179,180,180,Bryce Molder,82,25.0,54,162
