,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
132,T132,T132,Luke Guthrie,82,-0.043
133,T132,T132,Lee Williams,62,-0.043
134,135,135,D.H. Lee,65,-0.042
135,T136,T136,Seung-Yul Noh,71,-0.040999999999999995
136,T136,T136,Andrew Svoboda,46,-0.040999999999999995
137,T138,T138,John Senden,79,-0.04
138,T138,T138,Y.E. Yang,56,-0.04
139,T140,T140,David Lingmerth,68,-0.039
140,T140,T140,Sean O'Hair,56,-0.039
141,T142,T142,David Mathis,71,-0.038
142,T142,T142,Michael Thompson,66,-0.038
143,T142,T142,D.J. Trahan,48,-0.038
144,145,145,Troy Matteson,68,-0.036000000000000004
145,T146,T146,Tim Herron,45,-0.035
146,T146,T146,Justin Hicks,79,-0.035
147,T146,T146,Brian Stuard,78,-0.035
148,T149,T149,Aaron Baddeley,68,-0.034
149,T149,T149,D.A. Points,87,-0.034
150,T151,T151,Andres Romero,63,-0.032
151,T151,T151,Bo Van Pelt,72,-0.032
152,153,153,Ben Curtis,59,-0.031
153,T154,T154,Scott Gardiner,61,-0.028999999999999998
154,T154,T154,Brian Gay,79,-0.028999999999999998
155,T154,T154,Jin Park,52,-0.028999999999999998
156,T157,T157,Nicolas Colsaerts,50,-0.027999999999999997
157,T157,T157,Martin Laird,68,-0.027999999999999997
158,T159,T159,Trevor Immelman,73,-0.027000000000000003
159,T159,T159,Mark Wilson,56,-0.027000000000000003
160,T161,T161,Tom Gillis,69,-0.026000000000000002
161,T161,T161,Rod Pampling,46,-0.026000000000000002
162,163,163,Will Claxton,67,-0.024
163,164,164,Robert Allenby,58,-0.018000000000000002
164,165,165,Derek Ernst,58,-0.016
165,166,166,Bobby Gates,49,-0.015
166,T167,T167,Tommy Gainey,84,-0.013000000000000001
167,T167,T167,Ryo Ishikawa,72,-0.013000000000000001
168,T169,T169,Stephen Ames,49,-0.012
169,T169,T169,Mike Weir,60,-0.012
170,171,171,Darron Stiles,51,-0.01
171,172,172,Casey Wittenberg,72,-0.009000000000000001
172,173,173,Geoff Ogilvy,57,-0.002
173,174,174,Colt Knost,69,-0.001
174,175,175,Charlie Beljan,62,0.003
175,176,176,Justin Bolli,59,0.005
176,177,177,Michael Bradley,56,0.013999999999999999
177,178,178,Johnson Wagner,64,0.016
178,179,179,Eric Meierdierks,48,0.026000000000000002
179,180,180,Luke List,65,0.032
