,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
28,29,29,Kevin Stadler,83,"40' 5""",108,4366.583,+14.00
29,T30,T30,Roberto Castro,97,"40' 6""",123,4985.167,+15.00
30,T30,T30,Cameron Percy,68,"40' 6""",109,4418.25,-2.00
31,T30,T30,Mark Wilson,56,"40' 6""",78,3161.583,+10.00
32,33,33,Bubba Watson,76,"40' 7""",121,4905.917,+12.00
33,34,34,Daniel Summerhays,83,"40' 8""",146,5934.25,+17.00
34,35,35,Brian Davis,91,"40' 9""",98,3995.917,+18.00
35,T36,T36,Webb Simpson,92,"40' 11""",120,4907.333,-9.00
36,T36,T36,Scott Stallings,79,"40' 11""",119,4870.5,+16.00
37,38,38,Greg Chalmers,77,"41' 0""",136,5571.8330000000005,+23.00
38,T39,T39,David Lynn,70,"41' 1""",120,4934.167,+22.00
39,T39,T39,Shawn Stefani,63,"41' 1""",89,3654.167,+3.00
40,T41,T41,Martin Flores,83,"41' 2""",146,6007.6669999999995,+2.00
41,T41,T41,Fabián Gómez,65,"41' 2""",112,4610.75,+16.00
42,T43,T43,Brad Fritsch,81,"41' 4""",139,5744.75,+23.00
43,T43,T43,Brandt Snedeker,79,"41' 4""",103,4254.833,+14.00
44,T45,T45,Sangmoon Bae,83,"41' 6""",167,6925.75,+25.00
45,T45,T45,James Hahn,78,"41' 6""",138,5724.8330000000005,+20.00
46,T45,T45,Steve Stricker,51,"41' 6""",56,2322.0,-3.00
47,T48,T48,Michael Bradley,56,"41' 8""",71,2960.167,+6.00
48,T48,T48,Bob Estes,66,"41' 8""",116,4831.75,+10.00
49,T48,T48,Justin Leonard,86,"41' 8""",123,5127.083,+12.00
50,T51,T51,Dustin Johnson,71,"41' 9""",126,5257.6669999999995,+5.00
51,T51,T51,Troy Matteson,68,"41' 9""",114,4761.917,+11.00
52,T51,T51,Vijay Singh,61,"41' 9""",95,3962.5,+22.00
53,54,54,Ian Poulter,59,"41' 10""",62,2593.25,+8.00
54,55,55,Harris English,95,"41' 11""",170,7124.3330000000005,+2.00
55,56,56,Luke Donald,60,"42' 0""",75,3147.667,+15.00
56,T57,T57,Brian Gay,79,"42' 1""",112,4710.917,+17.00
57,T57,T57,Alistair Presnell,59,"42' 1""",99,4167.167,+9.00
58,59,59,Jeff Maggert,63,"42' 3""",92,3888.667,+17.00
59,T60,T60,Will Claxton,67,"42' 4""",109,4617.083,+32.00
60,T60,T60,Ken Duke,87,"42' 4""",144,6099.75,+37.00
61,T60,T60,Camilo Villegas,79,"42' 4""",123,5209.583,+4.00
62,T60,T60,Lee Westwood,70,"42' 4""",77,3261.583,+7.00
63,64,64,Keegan Bradley,88,"42' 5""",130,5518.75,+6.00
64,65,65,Vaughn Taylor,50,"42' 6""",75,3190.25,+8.00
65,T66,T66,Steven Bowditch,67,"42' 8""",112,4777.833,+14.00
66,T66,T66,Stewart Cink,71,"42' 8""",118,5034.083,+16.00
67,T66,T66,John Merrick,79,"42' 8""",129,5508.4169999999995,+10.00
68,69,69,Boo Weekley,100,"42' 9""",135,5767.5830000000005,+26.00
69,T70,T70,Graham DeLaet,94,"42' 10""",123,5268.0,-1.00
70,T70,T70,Russell Henley,80,"42' 10""",81,3467.917,-2.00
71,T72,T72,Zach Johnson,84,"42' 11""",94,4031.417,+5.00
72,T72,T72,Michael Thompson,66,"42' 11""",99,4247.417,+12.00
73,74,74,Dicky Pride,71,"43' 0""",109,4688.25,+12.00
74,T75,T75,Richard Lee,81,"43' 1""",108,4654.0,+4.00
75,T75,T75,Adam Scott,61,"43' 1""",71,3056.917,+2.00
76,77,77,Jim Herman,59,"43' 3""",88,3809.0,+13.00
77,T78,T78,K.J. Choi,85,"43' 4""",88,3814.0,+6.00
78,T78,T78,Sergio Garcia,65,"43' 4""",74,3203.833,+2.00
79,T78,T78,Brian Harman,89,"43' 4""",152,6592.5830000000005,+21.00
80,T78,T78,Jerry Kelly,75,"43' 4""",94,4071.75,+16.00
81,T82,T82,Geoff Ogilvy,57,"43' 5""",82,3561.333,+13.00
82,T82,T82,Y.E. Yang,56,"43' 5""",72,3125.833,+15.00
83,T84,T84,Tommy Gainey,84,"43' 7""",158,6880.1669999999995,+31.00
84,T84,T84,Ryo Ishikawa,72,"43' 7""",101,4400.75,+24.00
85,T84,T84,Cameron Tringale,80,"43' 7""",144,6270.5830000000005,+9.00
86,T87,T87,Bud Cauley,67,"43' 8""",105,4583.083,+31.00
87,T87,T87,Brendon de Jonge,110,"43' 8""",170,7420.4169999999995,+14.00
88,T87,T87,Scott Gardiner,61,"43' 8""",129,5630.8330000000005,+9.00
89,T87,T87,Bill Haas,85,"43' 8""",121,5282.5830000000005,E
90,T87,T87,Peter Hanson,45,"43' 8""",74,3232.083,+12.00
91,T87,T87,Martin Laird,68,"43' 8""",99,4326.083,+16.00
92,T87,T87,D.H. Lee,65,"43' 8""",118,5148.0,+13.00
93,T87,T87,Ryan Palmer,79,"43' 8""",137,5983.4169999999995,+12.00
94,T95,T95,Tom Gillis,69,"43' 9""",86,3763.5,+11.00
