,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
96,T94,T94,Sergio Garcia,62,"78' 9""",26461,28,"4' 6""","138' 10"""
97,T94,T94,Brent Geiberger,51,"78' 9""",34982,37,"4' 5""","108' 8"""
98,T94,T94,Tom Gillis,71,"78' 9""",45382,48,"4' 5""","119' 10"""
99,T94,T94,J.P. Hayes,79,"78' 9""",44392,47,"4' 8""","162' 1"""
100,T94,T94,Peter Lonard,96,"78' 9""",56677,60,"4' 5""","156' 5"""
101,T94,T94,John Morgan,81,"78' 9""",52892,56,"4' 5""","151' 0"""
102,T103,T103,Bernhard Langer,65,"78' 8""",33979,36,"4' 6""","121' 4"""
103,T103,T103,Steve Lowery,86,"78' 8""",51902,55,"4' 5""","141' 4"""
104,T103,T103,Carl Pettersson,80,"78' 8""",52843,56,"4' 7""","165' 5"""
105,106,106,Skip Kendall,110,"78' 7""",74520,79,"4' 6""","151' 1"""
106,T107,T107,John Senden,111,"78' 6""",72549,77,"4' 5""","169' 10"""
107,T107,T107,Kevin Sutherland,97,"78' 6""",52728,56,"4' 5""","150' 0"""
108,T109,T109,Jason Buha,61,"78' 5""",36684,39,"4' 4""","124' 7"""
109,T109,T109,Thomas Levet,85,"78' 5""",50810,54,"4' 4""","159' 4"""
110,T111,T111,K.J. Choi,112,"78' 4""",65780,70,"4' 5""","136' 6"""
111,T111,T111,Brian Henninger,56,"78' 4""",43217,46,"4' 4""","140' 5"""
112,T111,T111,Ty Tryon,52,"78' 4""",31954,34,"4' 5""","160' 4"""
113,114,114,Luke Donald,88,"78' 2""",56305,60,"4' 5""","131' 2"""
114,115,115,Bob Tway,89,"78' 1""",60879,65,"4' 7""","167' 5"""
115,T116,T116,Brandt Jobe,77,"77' 10""",51345,55,"4' 4""","147' 5"""
116,T116,T116,Rod Pampling,87,"77' 10""",48574,52,"4' 4""","178' 6"""
117,T118,T118,Matt Kuchar,63,"77' 9""",36377,39,"4' 5""","163' 11"""
118,T118,T118,Frank Lickliter II,94,"77' 9""",58750,63,"4' 4""","135' 8"""
119,T118,T118,Hidemichi Tanaka,112,"77' 9""",74673,80,"4' 6""","141' 4"""
120,T121,T121,Shigeki Maruyama,87,"77' 8""",44735,48,"4' 6""","138' 9"""
121,T121,T121,David Sutherland,77,"77' 8""",45660,49,"4' 3""","158' 11"""
122,123,123,Mike Grob,83,"77' 7""",53999,58,"4' 5""","159' 5"""
123,T124,T124,Jeff Brehaut,110,"77' 6""",72524,78,"4' 5""","205' 9"""
124,T124,T124,Darron Stiles,93,"77' 6""",52068,56,"4' 6""","128' 6"""
125,T126,T126,Mark Calcavecchia,84,"77' 5""",54831,59,"4' 5""","133' 9"""
126,T126,T126,Len Mattiace,94,"77' 5""",58550,63,"4' 5""","126' 10"""
127,128,128,John Riegger,55,"77' 3""",32441,35,"4' 3""","141' 11"""
128,129,129,Jeff Sluman,106,"77' 1""",61976,67,"4' 5""","164' 1"""
129,T130,T130,Aaron Barber,94,"77' 0""",58228,63,"4' 4""","138' 0"""
130,T130,T130,Doug Barron,90,"77' 0""",60986,66,"4' 5""","137' 2"""
131,T130,T130,Bob Estes,92,"77' 0""",56393,61,"4' 4""","137' 6"""
132,T130,T130,Dudley Hart,66,"77' 0""",39743,43,"4' 5""","128' 1"""
133,T134,T134,Paul Azinger,73,"76' 10""",47021,51,"4' 3""","126' 6"""
134,T134,T134,Bob Burns,88,"76' 10""",48892,53,"4' 3""","143' 8"""
135,T136,T136,Nick Price,65,"76' 9""",39599,43,"4' 4""","159' 7"""
136,T136,T136,Scott Verplank,97,"76' 9""",66285,72,"4' 4""","141' 0"""
137,T138,T138,John Daly,56,"76' 7""",32156,35,"4' 3""","132' 10"""
138,T138,T138,Joel Edwards,60,"76' 7""",45951,50,"4' 4""","189' 10"""
139,T140,T140,Rich Beem,80,"76' 6""",41310,45,"4' 4""","130' 2"""
140,T140,T140,Scott Laycock,71,"76' 6""",37631,41,"4' 5""","152' 2"""
141,T140,T140,David Peoples,96,"76' 6""",59655,65,"4' 4""","131' 5"""
142,T143,T143,Jay Don Blake,77,"76' 5""",40364,44,"4' 5""","142' 9"""
143,T143,T143,Carlos Franco,99,"76' 5""",68808,75,"4' 5""","159' 7"""
144,T143,T143,Kenny Perry,98,"76' 5""",54109,59,"4' 5""","140' 6"""
145,T146,T146,Donnie Hammond,92,"76' 2""",59413,65,"4' 4""","195' 10"""
146,T146,T146,J.J. Henry,100,"76' 2""",65778,72,"4' 4""","146' 8"""
147,T146,T146,Craig Perks,82,"76' 2""",45685,50,"4' 5""","137' 4"""
148,T149,T149,Steve Allan,53,"75' 10""",37291,41,"4' 3""","119' 2"""
149,T149,T149,Mathew Goggin,90,"75' 10""",51857,57,"4' 4""","157' 4"""
150,T149,T149,Patrick Sheehan,101,"75' 10""",67322,74,"4' 4""","129' 5"""
151,T152,T152,David Gossett,92,"75' 6""",64297,71,"4' 3""","116' 3"""
152,T152,T152,Chris Smith,92,"75' 6""",52553,58,"4' 4""","140' 8"""
153,T154,T154,Jason Caron,74,"75' 4""",43393,48,"4' 4""","142' 4"""
154,T154,T154,Brent Schwarzrock,60,"75' 4""",38875,43,"4' 3""","120' 1"""
155,T156,T156,Mark O'Meara,69,"75' 3""",30700,34,"4' 6""","144' 10"""
156,T156,T156,Mark Wilson,82,"75' 3""",50587,56,"4' 3""","135' 0"""
157,T156,T156,Kaname Yokoo,56,"75' 3""",35222,39,"4' 3""","111' 0"""
158,159,159,Ernie Els,65,"74' 10""",28750,32,"4' 3""","153' 7"""
159,T160,T160,Marco Dawson,86,"74' 9""",46634,52,"4' 4""","136' 1"""
160,T160,T160,Steve Stricker,59,"74' 9""",39473,44,"4' 3""","138' 7"""
161,T162,T162,Pat Bates,111,"74' 8""",70748,79,"4' 3""","187' 0"""
162,T162,T162,Cliff Kresge,102,"74' 8""",56476,63,"4' 4""","177' 2"""
163,T164,T164,Retief Goosen,69,"74' 7""",29546,33,"4' 2""","126' 5"""
164,T164,T164,Esteban Toledo,109,"74' 7""",67997,76,"4' 4""","158' 10"""
165,T166,T166,Jonathan Kaye,91,"74' 6""",50961,57,"4' 3""","125' 3"""
166,T166,T166,Corey Pavin,88,"74' 6""",52740,59,"4' 3""","162' 9"""
167,T168,T168,John Maginnes,87,"74' 5""",49142,55,"4' 3""","154' 10"""
168,T168,T168,Vance Veazey,66,"74' 5""",36623,41,"4' 2""","152' 4"""
169,170,170,Gene Sauers,87,"74' 2""",56096,63,"4' 1""","147' 7"""
170,T171,T171,Arron Oberholser,80,"73' 11""",55853,63,"4' 3""","138' 7"""
171,T171,T171,Adam Scott,52,"73' 11""",26612,30,"4' 3""","135' 5"""
172,173,173,Davis Love III,85,"73' 10""",43421,49,"4' 3""","117' 6"""
173,174,174,Rocco Mediate,80,"73' 9""",46908,53,"4' 2""","116' 1"""
174,175,175,Kenneth Staton,59,"73' 4""",36941,42,"4' 2""","142' 3"""
175,T176,T176,Tom Lehman,87,"73' 1""",41240,47,"4' 3""","117' 9"""
176,T176,T176,"Dave Stockton, Jr.",79,"73' 1""",42107,48,"4' 5""","107' 7"""
177,178,178,Gavin Coles,69,"73' 0""",35910,41,"4' 2""","133' 7"""
178,T179,T179,Joe Durant,96,"72' 11""",56890,65,"4' 2""","126' 1"""
179,T179,T179,Jay Williamson,93,"72' 11""",61221,70,"4' 2""","123' 10"""
180,181,181,Per-Ulrik Johansson,96,"72' 10""",58529,67,"4' 3""","122' 8"""
181,182,182,Todd Barranger,78,"72' 9""",44524,51,"4' 3""","122' 1"""
182,T183,T183,Harrison Frazar,88,"72' 8""",52290,60,"4' 2""","125' 1"""
183,T183,T183,Neal Lancaster,110,"72' 8""",68923,79,"4' 1""","164' 2"""
184,T185,T185,Steven Alker,87,"71' 9""",45629,53,"4' 1""","129' 8"""
185,T185,T185,Joey Sindelar,93,"71' 9""",57716,67,"4' 0""","170' 7"""
186,187,187,Mark Brooks,90,"71' 2""",49531,58,"4' 0""","144' 0"""
187,188,188,Glen Hnatiuk,92,"70' 10""",58645,69,"3' 12""","123' 3"""
188,189,189,Ian Leggatt,71,"70' 2""",42099,50,"3' 11""","122' 10"""
189,190,190,José Coceres,62,"66' 7""",35960,45,"3' 11""","123' 2"""
