,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
110,111,111,Bob Burns,88,228,445,51.2
111,T112,T112,Harrison Frazar,88,227,478,47.5
112,T112,T112,Kevin Sutherland,97,227,464,48.9
113,T114,T114,Craig Perks,82,226,463,48.8
114,T114,T114,Mike Sposa,72,226,448,50.4
115,T114,T114,Steve Stricker,59,226,405,55.8
116,T117,T117,Jeff Maggert,81,225,462,48.7
117,T117,T117,Chris Smith,92,225,463,48.6
118,119,119,John Rollins,89,224,440,50.9
119,120,120,Thomas Levet,85,223,451,49.4
120,121,121,J.P. Hayes,79,222,464,47.8
121,122,122,Peter Jacobsen,75,220,414,53.1
122,T123,T123,Matt Gogel,77,219,453,48.3
123,T123,T123,"Dave Stockton, Jr.",79,219,435,50.3
124,125,125,Brandt Jobe,77,218,446,48.9
125,126,126,Kirk Triplett,92,217,499,43.5
126,127,127,Hank Kuehne,73,216,439,49.2
127,128,128,Loren Roberts,87,214,452,47.3
128,129,129,Kenny Perry,98,212,470,45.1
129,T130,T130,Aaron Baddeley,71,211,419,50.4
130,T130,T130,David Sutherland,77,211,397,53.1
131,132,132,Shigeki Maruyama,87,210,471,44.6
132,133,133,Tim Clark,79,207,417,49.6
133,T134,T134,Paul Azinger,73,206,402,51.2
134,T134,T134,John Huston,76,206,454,45.4
135,136,136,Ian Leggatt,71,205,367,55.9
136,137,137,Kent Jones,74,204,430,47.4
137,T138,T138,Tommy Armour III,66,203,372,54.6
138,T138,T138,Gavin Coles,69,203,379,53.6
139,T138,T138,Mike Grob,83,203,434,46.8
140,141,141,Dicky Pride,73,202,412,49.0
141,T142,T142,Steve Lowery,86,201,438,45.9
142,T142,T142,Hal Sutton,81,201,435,46.2
143,T144,T144,Brian Bateman,70,200,393,50.9
144,T144,T144,David Toms,90,200,420,47.6
145,146,146,Akio Sadakata,83,199,437,45.5
146,147,147,Matt Kuchar,63,197,373,52.8
147,T148,T148,Robert Allenby,87,195,405,48.1
148,T148,T148,Rocco Mediate,80,195,398,49.0
149,150,150,Scott McCarron,86,193,434,44.5
150,T151,T151,Jay Don Blake,77,192,378,50.8
151,T151,T151,Tom Gillis,71,192,381,50.4
152,153,153,Scott Laycock,71,191,410,46.6
153,154,154,Lee Janzen,83,189,382,49.5
154,155,155,Tiger Woods,74,188,373,50.4
155,T156,T156,José Coceres,62,187,356,52.5
156,T156,T156,Joel Edwards,60,187,380,49.2
157,158,158,Ben Curtis,69,186,397,46.9
158,T159,T159,Dudley Hart,66,185,375,49.3
159,T159,T159,Phil Mickelson,87,185,388,47.7
160,T159,T159,Vance Veazey,66,185,353,52.4
161,162,162,Paul Gow,62,184,384,47.9
162,163,163,Davis Love III,85,182,383,47.5
163,164,164,Brian Henninger,56,181,350,51.7
164,165,165,Rich Beem,80,179,373,48.0
165,T166,T166,Tom Lehman,87,177,364,48.6
166,T166,T166,Mike Weir,80,177,379,46.7
167,T168,T168,Jason Buha,61,172,341,50.4
168,T168,T168,Nick Price,65,172,332,51.8
169,T170,T170,Bernhard Langer,65,171,345,49.6
170,T170,T170,Brent Schwarzrock,60,171,338,50.6
171,172,172,Cameron Yancey,58,170,338,50.3
172,173,173,Paul Stankowski,67,169,380,44.5
173,174,174,Jeff Klein,60,165,321,51.4
174,175,175,Steve Allan,53,162,313,51.8
175,176,176,Mark O'Meara,69,160,295,54.2
176,177,177,Kenneth Staton,59,159,304,52.3
177,T178,T178,John Daly,56,156,294,53.1
178,T178,T178,Brent Geiberger,51,156,313,49.8
179,180,180,John Riegger,55,153,303,50.5
180,181,181,Ty Tryon,52,152,292,52.1
181,T182,T182,Fred Couples,71,149,305,48.9
182,T182,T182,Retief Goosen,69,149,300,49.7
183,T184,T184,Ernie Els,65,148,280,52.9
184,T184,T184,Kaname Yokoo,56,148,299,49.5
185,186,186,Michael Clark II,54,140,315,44.4
186,187,187,Brad Elder,51,134,288,46.5
187,188,188,Adam Scott,52,133,243,54.7
188,189,189,Darren Clarke,61,127,272,46.7
189,190,190,Sergio Garcia,62,123,235,52.3
