,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
57,58,58,Greg Chalmers,98,6.62,317,21
58,59,59,Dean Wilson,82,6.57,274,18
59,60,60,Jay Haas,89,6.55,275,18
60,61,61,Jerry Kelly,108,6.52,353,23
61,62,62,Chris DiMarco,98,6.49,262,17
62,63,63,Steve Flesch,110,6.48,401,26
63,64,64,Joe Durant,96,6.45,310,20
64,65,65,Hidemichi Tanaka,112,6.43,389,25
65,66,66,Billy Andrade,100,6.37,314,20
66,T67,T67,Fred Couples,71,6.36,173,11
67,T67,T67,J.P. Hayes,79,6.36,220,14
68,69,69,Marco Dawson,86,6.34,268,17
69,70,70,Jason Buha,61,6.33,221,14
70,71,71,Paul Goydos,86,6.3,254,16
71,T72,T72,Tom Byrum,97,6.29,334,21
72,T72,T72,Cameron Yancey,58,6.29,175,11
73,74,74,Shaun Micheel,97,6.17,373,23
74,75,75,Nick Price,65,6.15,195,12
75,76,76,Justin Leonard,80,6.14,228,14
76,77,77,Jim Carter,95,6.13,326,20
77,78,78,Ben Curtis,69,6.12,245,15
78,79,79,Davis Love III,85,6.11,229,14
79,80,80,Gene Sauers,87,6.1,295,18
80,T81,T81,Matt Kuchar,63,6.09,230,14
81,T81,T81,Heath Slocum,101,6.09,394,24
82,83,83,Shigeki Maruyama,87,6.07,247,15
83,84,84,Tommy Armour III,66,6.03,232,14
84,85,85,Jeff Klein,60,6.01,183,11
85,86,86,Jonathan Byrd,101,5.96,302,18
86,87,87,Mark Calcavecchia,84,5.91,220,13
87,88,88,Donnie Hammond,92,5.9,322,19
88,89,89,K.J. Choi,112,5.85,359,21
89,90,90,Craig Barlow,95,5.78,329,19
90,T91,T91,John Morgan,81,5.73,262,15
91,T91,T91,David Sutherland,77,5.73,279,16
92,93,93,Jason Gore,83,5.71,280,16
93,94,94,David Toms,90,5.69,246,14
94,95,95,Jason Caron,74,5.64,266,15
95,96,96,Rod Pampling,87,5.63,231,13
96,97,97,Mike Grob,83,5.59,322,18
97,T98,T98,Olin Browne,113,5.56,396,22
98,T98,T98,Hank Kuehne,73,5.56,252,14
99,100,100,Hal Sutton,81,5.52,290,16
100,101,101,Spike McRoy,103,5.48,420,23
101,T102,T102,Steven Alker,87,5.45,275,15
102,T102,T102,Mark Brooks,90,5.45,257,14
103,104,104,Scott McCarron,86,5.44,239,13
104,105,105,Duffy Waldorf,90,5.43,276,15
105,106,106,Paul Azinger,73,5.42,240,13
106,107,107,Luke Donald,88,5.41,296,16
107,T108,T108,Dudley Hart,66,5.39,204,11
108,T108,T108,Kenny Perry,98,5.39,297,16
109,T110,T110,José Coceres,62,5.38,186,10
110,T110,T110,Tom Pernice Jr.,105,5.38,353,19
111,112,112,Brandt Jobe,77,5.35,299,16
112,T113,T113,Tim Herron,102,5.34,337,18
113,T113,T113,Garrett Willis,97,5.34,337,18
114,115,115,Akio Sadakata,83,5.31,245,13
115,116,116,Tom Gillis,71,5.29,227,12
116,117,117,Thomas Levet,85,5.28,303,16
117,T118,T118,Todd Barranger,78,5.26,209,11
118,T118,T118,Scott Laycock,71,5.26,209,11
119,120,120,Sergio Garcia,62,5.22,134,7
120,121,121,Frank Lickliter II,94,5.19,289,15
121,122,122,Alex Cejka,98,5.17,290,15
122,123,123,Stewart Cink,104,5.16,310,16
123,T124,T124,Adam Scott,52,5.08,118,6
124,T124,T124,"Dave Stockton, Jr.",79,5.08,236,12
125,126,126,Dicky Pride,73,5.06,237,12
126,127,127,Scott Verplank,97,5.04,278,14
127,T128,T128,Steve Allan,53,5.03,179,9
128,T128,T128,Jeff Brehaut,110,5.03,437,22
129,130,130,Fred Funk,112,4.94,344,17
130,131,131,Brent Geiberger,51,4.93,203,10
131,132,132,Bob Burns,88,4.9,245,12
132,133,133,Jeff Maggert,81,4.84,248,12
133,134,134,Paul Stankowski,67,4.81,208,10
134,135,135,Kevin Sutherland,97,4.8,271,13
135,136,136,Ty Tryon,52,4.79,146,7
136,137,137,Notah Begay III,92,4.78,293,14
137,138,138,Brian Bateman,70,4.74,253,12
138,T139,T139,Robert Allenby,87,4.72,233,11
139,T139,T139,Chris Smith,92,4.72,318,15
140,141,141,Rich Beem,80,4.67,214,10
141,142,142,Len Mattiace,94,4.64,302,14
142,143,143,Retief Goosen,69,4.6,174,8
143,T144,T144,Harrison Frazar,88,4.59,305,14
144,T144,T144,Tiger Woods,74,4.59,196,9
145,146,146,David Peoples,96,4.57,372,17
146,147,147,Steve Lowery,86,4.51,244,11
147,148,148,John Senden,111,4.49,445,20
148,149,149,Tim Clark,79,4.48,223,10
149,150,150,Per-Ulrik Johansson,96,4.44,338,15
150,151,151,Vance Veazey,66,4.41,204,9
151,T152,T152,David Gossett,92,4.39,342,15
152,T152,T152,John Huston,76,4.39,228,10
153,154,154,Dan Forsman,98,4.37,389,17
154,155,155,Mathew Goggin,90,4.35,299,13
155,T156,T156,Woody Austin,107,4.33,323,14
156,T156,T156,Arron Oberholser,80,4.33,277,12
157,158,158,J.L. Lewis,99,4.32,301,13
158,159,159,Joel Edwards,60,4.31,232,10
159,160,160,Jonathan Kaye,91,4.28,304,13
160,161,161,Esteban Toledo,109,4.21,380,16
161,162,162,Bob Estes,92,4.18,263,11
162,163,163,Stuart Appleby,90,4.17,240,10
163,164,164,Neal Lancaster,110,4.15,410,17
164,165,165,Jay Williamson,93,4.12,291,12
165,166,166,Pat Bates,111,4.11,389,16
166,167,167,Kaname Yokoo,56,4.05,173,7
167,168,168,Pat Perez,95,4.04,272,11
168,169,169,Rocco Mediate,80,4.0,225,9
169,170,170,Mark Wilson,82,3.89,283,11
170,171,171,Carl Pettersson,80,3.86,259,10
171,172,172,Aaron Barber,94,3.83,313,12
172,T173,T173,Glen Hnatiuk,92,3.81,315,12
173,T173,T173,Kenneth Staton,59,3.81,236,9
174,175,175,Steve Stricker,59,3.74,187,7
175,176,176,John Riegger,55,3.68,163,6
176,177,177,Craig Perks,82,3.67,218,8
177,178,178,Ernie Els,65,3.66,164,6
178,T179,T179,Darren Clarke,61,3.61,166,6
179,T179,T179,Peter Lonard,96,3.61,277,10
180,181,181,Doug Barron,90,3.53,283,10
181,182,182,Darron Stiles,93,3.5,257,9
182,183,183,John Daly,56,3.36,149,5
183,T184,T184,Andy Miller,75,3.35,239,8
184,T184,T184,Brent Schwarzrock,60,3.35,209,7
185,T184,T184,Joey Sindelar,93,3.35,328,11
186,187,187,Cliff Kresge,102,3.25,308,10
187,188,188,Brian Henninger,56,3.11,193,6
188,189,189,Ian Leggatt,71,2.11,237,5
189,190,190,Gavin Coles,69,2.06,194,4
