,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
128,129,129,Richard Zokol,53,83.17,84,101
129,130,130,Craig Barlow,62,83.15,74,89
130,131,131,Shaun Micheel,100,83.13,138,166
131,132,132,Peter Jacobsen,67,83.09,113,136
132,133,133,Robert Allenby,96,83.08,108,130
133,134,134,Luke Donald,106,83.03,137,165
134,135,135,Edward Fryatt,94,83.01,127,153
135,T136,T136,David Morland IV,58,82.95,73,88
136,T136,T136,John Rollins,124,82.95,146,176
137,138,138,Lee Janzen,101,82.76,96,116
138,T139,T139,Carlos Franco,107,82.61,133,161
139,T139,T139,Steve Jones,71,82.61,95,115
140,T141,T141,Mark Calcavecchia,84,82.52,85,103
141,T141,T141,Scott Simpson,61,82.52,85,103
142,143,143,John Senden,96,82.48,113,137
143,144,144,J.J. Henry,112,82.42,136,165
144,T145,T145,Woody Austin,102,82.39,145,176
145,T145,T145,Fred Funk,106,82.39,117,142
146,T145,T145,Phil Tataurangi,88,82.39,117,142
147,T148,T148,Jeff Brehaut,87,82.35,126,153
148,T148,T148,Mike Weir,94,82.35,84,102
149,150,150,Paul Stankowski,100,82.29,144,175
150,151,151,Michael Allen,76,82.2,97,118
151,152,152,Bradley Hughes,60,81.91,77,94
152,153,153,Robert Gamez,69,81.9,95,116
153,154,154,Len Mattiace,106,81.88,131,160
154,155,155,Brett Quigley,93,81.69,116,142
155,156,156,John Daly,62,81.63,80,98
156,157,157,Steve Flesch,110,81.62,111,136
157,158,158,Kaname Yokoo,74,81.51,97,119
158,159,159,Kenny Perry,98,81.45,101,124
159,160,160,Tim Clark,76,81.44,79,97
160,161,161,Hidemichi Tanaka,104,81.41,127,156
161,162,162,Michael Clark II,97,81.4,140,172
162,163,163,Brenden Pappas,62,81.32,74,91
163,164,164,Dudley Hart,88,81.29,113,139
164,165,165,Jonathan Byrd,96,81.17,125,154
165,166,166,Craig Stadler,72,81.11,73,90
166,167,167,K.J. Choi,93,81.05,124,153
167,168,168,Kenneth Staton,104,80.84,135,167
168,169,169,Geoff Ogilvy,90,80.77,105,130
169,170,170,Steve Elkington,82,80.58,112,139
170,171,171,Dennis Paulson,89,80.56,145,180
171,172,172,Pete Jordan,78,80.43,111,138
172,173,173,Greg Chalmers,94,80.3,106,132
173,174,174,Craig Perks,91,80.29,110,137
174,175,175,Paul Gow,99,79.87,123,154
175,176,176,Jeff Maggert,83,79.85,107,134
176,177,177,Brian Henninger,66,79.82,87,109
177,T178,T178,Fulton Allem,64,79.67,98,123
178,T178,T178,Hal Sutton,74,79.67,98,123
179,180,180,Donnie Hammond,60,79.55,70,88
180,181,181,"David Berganio, Jr.",80,79.53,101,127
181,182,182,Stuart Appleby,97,79.51,97,122
182,183,183,Craig Parry,69,79.27,65,82
183,184,184,Steve Lowery,98,79.13,91,115
184,185,185,Frank Lickliter II,94,79.1,106,134
185,186,186,José Coceres,51,78.87,56,71
186,187,187,Tom Lehman,78,78.57,66,84
187,188,188,Gary Nicklaus,66,78.45,91,116
188,189,189,Rich Beem,99,78.34,123,157
189,190,190,Boo Weekley,57,77.88,88,113
190,191,191,Notah Begay III,76,77.39,89,115
191,192,192,Jason Hill,59,76.92,80,104
192,193,193,Robin Freeman,79,76.72,89,116
193,194,194,Blaine McCallister,75,76.26,106,139
194,195,195,Carl Paulson,84,76.24,77,101
195,196,196,Miguel Angel Jiménez,60,75.79,72,95
196,197,197,Eduardo Herrera,59,75.47,80,106
197,198,198,Tommy Armour III,82,75.46,123,163
198,199,199,Scott Dunlap,74,75.22,85,113
199,200,200,Brad Lardon,59,74.73,68,91
200,201,201,Brett Wetterich,89,71.33,102,143
201,202,202,Bo Van Pelt,78,70.18,80,114
