,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
172,173,173,Tag Ridings,53,193
173,174,174,Chris Couch,55,192
174,175,175,Mark O'Meara,58,191
175,176,176,Niclas Fasth,61,190
176,177,177,Bernhard Langer,59,189
177,178,178,Hirofumi Miyase,65,185
178,179,179,Mike Heinen,53,184
179,180,180,Peter Lonard,68,183
180,T181,T181,Darren Clarke,54,181
181,T181,T181,Brian Kortan,65,181
182,T181,T181,Scott Simpson,55,181
183,184,184,Scott Hoch,52,180
184,T185,T185,Dicky Pride,66,178
185,T185,T185,John Riegger,53,178
186,T187,T187,José María Olazábal,56,173
187,T187,T187,Andre Stolz,53,173
188,189,189,John Cook,57,170
189,190,190,Tripp Isenhour,55,169
190,191,191,Ben Curtis,56,160
191,192,192,Nick Price,51,159
192,193,193,Rocco Mediate,53,158
193,194,194,Craig Parry,52,150
194,195,195,Kevin Muncrief,50,144
195,196,196,David Gossett,57,137
