,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
65,66,66,Robert Gamez,103,15.28,44,288
66,67,67,Gene Sauers,83,15.25,36,236
67,T68,T68,Steve Allan,102,15.22,49,322
68,T68,T68,Jeff Maggert,60,15.22,21,138
69,70,70,Tim Herron,84,15.2,38,250
70,71,71,Michael Allen,87,15.1,45,298
71,72,72,Ken Duke,89,15.08,46,305
72,73,73,Joey Sindelar,100,15.07,41,272
73,T74,T74,Chad Campbell,100,15.02,35,233
74,T74,T74,Zach Johnson,109,15.02,35,233
75,76,76,Jay Williamson,100,14.98,40,267
76,77,77,Dan Olsen,75,14.93,43,288
77,78,78,Craig Parry,52,14.88,18,121
78,79,79,Aaron Baddeley,87,14.81,48,324
79,80,80,Daniel Chopra,108,14.71,54,367
80,81,81,Jason Bohn,98,14.7,41,279
81,T82,T82,Mark Calcavecchia,79,14.69,26,177
82,T82,T82,John Daly,79,14.69,42,286
83,T84,T84,Bart Bryant,73,14.63,24,164
84,T84,T84,Mathias Grönberg,91,14.63,42,287
85,T86,T86,Ryan Palmer,103,14.58,43,295
86,T86,T86,Rod Pampling,98,14.58,42,288
87,88,88,Ben Crane,92,14.44,41,284
88,89,89,Rich Beem,81,14.43,28,194
89,90,90,Glen Day,101,14.34,36,251
90,91,91,Ted Purdy,114,14.29,42,294
91,92,92,Nick Price,51,14.14,14,99
92,93,93,Brad Faxon,94,14.11,34,241
93,94,94,Bob Tway,90,14.07,28,199
94,95,95,J.L. Lewis,106,13.97,38,272
95,96,96,Arron Oberholser,77,13.94,23,165
96,97,97,Joe Durant,85,13.9,26,187
97,98,98,Guy Boros,64,13.85,27,195
98,99,99,Hunter Mahan,94,13.82,42,304
99,100,100,Danny Ellis,81,13.81,33,239
