,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
77,T78,T78,Robert Allenby,26,2.65,233,88
78,T78,T78,Freddie Jacobson,24,2.65,212,80
79,T78,T78,Carl Pettersson,28,2.65,257,97
80,T78,T78,Vaughn Taylor,27,2.65,217,82
81,T82,T82,Tim Herron,26,2.66,221,83
82,T82,T82,Corey Pavin,23,2.66,210,79
83,T84,T84,Danny Briggs,28,2.67,216,81
84,T84,T84,Charles Howell III,30,2.67,270,101
85,T84,T84,Ted Purdy,35,2.67,299,112
86,T84,T84,Hidemichi Tanaka,27,2.67,238,89
87,T88,T88,Harrison Frazar,25,2.68,220,82
88,T88,T88,J.J. Henry,30,2.68,276,103
89,T88,T88,Neal Lancaster,33,2.68,276,103
90,T88,T88,Jeff Maggert,20,2.68,161,60
91,T92,T92,Paul Azinger,23,2.69,202,75
92,T92,T92,Shaun Micheel,27,2.69,245,91
93,T94,T94,Greg Chalmers,22,2.71,190,70
94,T94,T94,K.J. Choi,24,2.71,222,82
95,T94,T94,Frank Lickliter II,27,2.71,233,86
96,T94,T94,Mark O'Meara,17,2.71,157,58
97,T98,T98,Matt Kuchar,28,2.72,226,83
98,T98,T98,Stephen Leaney,24,2.72,204,75
99,T98,T98,David Toms,24,2.72,201,74
100,T98,T98,Jay Williamson,33,2.72,267,98
101,T102,T102,Jay Delsing,26,2.73,199,73
102,T102,T102,Dan Forsman,28,2.73,210,77
103,T102,T102,David Frost,26,2.73,213,78
104,T102,T102,J.P. Hayes,27,2.73,205,75
105,T102,T102,Brian Kortan,24,2.73,169,62
106,T102,T102,Omar Uresti,28,2.73,232,85
107,T108,T108,Tommy Armour III,28,2.74,238,87
108,T108,T108,Jonathan Kaye,25,2.74,208,76
109,T108,T108,Deane Pappas,22,2.74,192,70
110,T111,T111,Daniel Chopra,33,2.75,291,106
111,T111,T111,Richard Johnson,32,2.75,280,102
112,T111,T111,Hank Kuehne,30,2.75,245,89
113,T111,T111,Ryan Palmer,33,2.75,275,100
114,T111,T111,Dean Wilson,33,2.75,272,99
115,T116,T116,Jason Bohn,29,2.76,262,95
116,T116,T116,Lee Janzen,25,2.76,226,82
117,T116,T116,Steve Lowery,28,2.76,246,89
118,T119,T119,Jason Dufner,28,2.77,219,79
119,T119,T119,John Huston,20,2.77,155,56
120,T119,T119,Scott McCarron,27,2.77,238,86
121,T119,T119,Chris Riley,23,2.77,205,74
122,T123,T123,Billy Andrade,31,2.78,289,104
123,T123,T123,Danny Ellis,26,2.78,214,77
124,T123,T123,Skip Kendall,29,2.78,275,99
125,T123,T123,Steve Pate,24,2.78,192,69
126,T123,T123,Nick Price,15,2.78,139,50
127,T128,T128,Kent Jones,32,2.79,271,97
128,T128,T128,Dennis Paulson,21,2.79,198,71
129,T130,T130,Steve Elkington,20,2.8,171,61
130,T130,T130,Brett Quigley,31,2.8,274,98
131,132,132,Craig Bowden,30,2.81,233,83
132,T133,T133,Hunter Mahan,30,2.82,265,94
133,T133,T133,Brenden Pappas,34,2.82,305,108
134,T133,T133,Steve Stricker,27,2.82,220,78
135,T136,T136,Woody Austin,29,2.83,266,94
136,T136,T136,Steve Flesch,31,2.83,297,105
137,T136,T136,Todd Hamilton,27,2.83,249,88
138,T136,T136,Craig Perks,27,2.83,204,72
139,T136,T136,Adam Scott,16,2.83,147,52
140,141,141,Jonathan Byrd,27,2.84,236,83
141,142,142,Pat Bates,32,2.85,276,97
142,T143,T143,Glen Day,33,2.88,285,99
143,T143,T143,Pat Perez,32,2.88,288,100
144,145,145,Billy Mayfair,32,2.89,303,105
145,T146,T146,Arjun Atwal,30,2.9,241,83
146,T146,T146,David Branshaw,30,2.9,238,82
147,T146,T146,Jeff Brehaut,34,2.9,302,104
148,T149,T149,Notah Begay III,23,2.91,195,67
149,T149,T149,Mathias Grönberg,32,2.91,253,87
150,T149,T149,Blaine McCallister,27,2.91,198,68
151,T152,T152,Rich Barcelo,26,2.92,190,65
152,T152,T152,Robert Damron,28,2.92,269,92
153,T154,T154,Lucas Glover,30,2.93,267,91
154,T154,T154,Dudley Hart,23,2.93,170,58
155,T154,T154,Kenny Perry,23,2.93,223,76
156,T154,T154,Chris Smith,33,2.93,308,105
157,158,158,Russ Cochran,25,2.95,180,61
158,T159,T159,D.J. Brigman,27,2.97,226,76
159,T159,T159,Alex Cejka,24,2.97,208,70
160,T161,T161,Sergio Garcia,18,2.98,191,64
161,T161,T161,Roland Thatcher,23,2.98,197,66
162,163,163,John Rollins,29,3.0,255,85
163,164,164,Craig Parry,16,3.04,152,50
164,165,165,Spike McRoy,33,3.05,278,91
165,T166,T166,Peter Lonard,23,3.06,202,66
166,T166,T166,Rocco Mediate,19,3.06,147,48
167,T168,T168,Mike Heinen,17,3.08,163,53
168,T168,T168,Cliff Kresge,33,3.08,268,87
169,T170,T170,Len Mattiace,25,3.09,232,75
170,T170,T170,Roger Tambellini,28,3.09,241,78
171,172,172,Ben Curtis,20,3.1,161,52
172,T173,T173,Hirofumi Miyase,27,3.11,196,63
173,T173,T173,Esteban Toledo,36,3.11,280,90
174,T175,T175,Aaron Baddeley,27,3.12,265,85
175,T175,T175,Tom Carter,35,3.12,343,110
176,T177,T177,Mark Brooks,31,3.13,219,70
177,T177,T177,Dicky Pride,23,3.13,197,63
178,T177,T177,Scott Simpson,18,3.13,172,55
179,180,180,Andre Stolz,20,3.15,167,53
180,T181,T181,Dan Olsen,31,3.21,234,73
181,T181,T181,Tommy Tolles,25,3.21,215,67
182,T181,T181,Grant Waite,29,3.21,247,77
183,184,184,Ken Duke,30,3.24,282,87
184,185,185,Gene Sauers,30,3.26,264,81
185,186,186,Niclas Fasth,22,3.27,196,60
186,T187,T187,Rich Beem,28,3.29,253,77
187,T187,T187,Fred Couples,16,3.29,171,52
188,T189,T189,Kris Cox,26,3.32,236,71
189,T189,T189,David Morland IV,27,3.32,242,73
190,191,191,Guy Boros,24,3.42,219,64
191,192,192,Tripp Isenhour,22,3.43,182,53
192,193,193,Scott Hend,29,3.56,281,79
193,T194,T194,Chris Couch,24,3.78,208,55
194,T194,T194,Kevin Muncrief,21,3.78,189,50
195,196,196,David Gossett,25,4.05,231,57
