,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
63,T64,T64,Brian Bateman,84,70.88,5670,80
64,T64,T64,Rory Sabbatini,89,70.88,6096,86
65,66,66,David Peoples,82,70.9,5672,80
66,67,67,Kevin Na,100,70.91,6807,96
67,68,68,Robert Gamez,103,70.92,7305,103
68,69,69,J.J. Henry,103,70.94,7307,103
69,70,70,J.L. Lewis,106,70.95,7521,106
70,71,71,Jason Bohn,98,70.96,6741,95
71,72,72,Mark Wilson,62,70.97,4400,62
72,T73,T73,Woody Austin,94,70.98,6672,94
73,T73,T73,Patrick Sheehan,113,70.98,7879,111
74,T75,T75,Matt Gogel,86,71.01,5965,84
75,T75,T75,Scott McCarron,88,71.01,6107,86
76,T77,T77,Jonathan Byrd,85,71.02,5895,83
77,T77,T77,Joe Ogilvie,104,71.02,7244,102
78,T77,T77,Ryan Palmer,103,71.02,7102,100
79,T80,T80,Chad Campbell,100,71.03,6606,93
80,T80,T80,Steve Flesch,109,71.03,7458,105
81,T80,T80,Richard Johnson,102,71.03,7245,102
82,T83,T83,Steve Allan,102,71.04,7033,99
83,T83,T83,Todd Fischer,104,71.04,7246,102
84,T83,T83,Heath Slocum,92,71.04,6394,90
85,86,86,Kevin Sutherland,86,71.05,5826,82
86,87,87,Greg Chalmers,70,71.06,4974,70
87,T88,T88,Michael Allen,87,71.07,6041,85
88,T88,T88,Notah Begay III,71,71.07,4762,67
89,T88,T88,Chris Riley,78,71.07,5259,74
90,T91,T91,Jeff Maggert,60,71.08,4265,60
91,T91,T91,Jay Williamson,100,71.08,6966,98
92,93,93,Charles Howell III,104,71.09,7180,101
93,94,94,Dennis Paulson,71,71.1,5048,71
94,95,95,Joey Sindelar,100,71.11,6969,98
95,T96,T96,K.J. Choi,83,71.12,5832,82
96,T96,T96,Skip Kendall,99,71.12,7041,99
97,T96,T96,Frank Lickliter II,89,71.12,6116,86
98,T96,T96,Brett Quigley,102,71.12,6970,98
99,T96,T96,Dean Wilson,99,71.12,7041,99
100,101,101,Glen Day,101,71.13,7042,99
101,T102,T102,Dudley Hart,60,71.14,4126,58
102,T102,T102,John Huston,62,71.14,3984,56
103,T104,T104,Arron Oberholser,77,71.16,5195,73
104,T104,T104,Brenden Pappas,111,71.16,7685,108
105,T106,T106,Paul Azinger,75,71.17,5338,75
106,T106,T106,Tim Herron,84,71.17,5907,83
107,108,108,Nick Price,51,71.18,3559,50
108,T109,T109,Mark Calcavecchia,79,71.19,5624,79
109,T109,T109,Danny Ellis,81,71.19,5482,77
110,T109,T109,Neal Lancaster,106,71.19,7333,103
111,T109,T109,Tim Petrovic,111,71.19,7617,107
112,T113,T113,Danny Briggs,85,71.2,5767,81
113,T113,T113,Jason Dufner,79,71.2,5625,79
114,T115,T115,Bernhard Langer,59,71.22,3917,55
115,T115,T115,Shaun Micheel,93,71.22,6481,91
116,117,117,John Riegger,53,71.23,3775,53
117,118,118,Tag Ridings,53,71.24,3562,50
118,T119,T119,Billy Andrade,104,71.25,7410,104
119,T119,T119,Brad Faxon,94,71.25,6341,89
120,T121,T121,Lucas Glover,95,71.26,6485,91
121,T121,T121,Hank Kuehne,91,71.26,6342,89
122,T121,T121,Hidemichi Tanaka,89,71.26,6342,89
123,T124,T124,Deane Pappas,72,71.27,4989,70
124,T124,T124,Pat Perez,102,71.27,7127,100
125,T124,T124,Bob Tway,90,71.27,6058,85
126,127,127,Chris Smith,105,71.3,7487,105
127,T128,T128,Russ Cochran,61,71.34,4352,61
128,T128,T128,John Cook,57,71.34,3781,53
129,T128,T128,Omar Uresti,85,71.34,6064,85
130,131,131,Bob Burns,88,71.35,6136,86
131,132,132,Steve Elkington,64,71.36,4353,61
132,133,133,Pat Bates,99,71.37,6923,97
133,134,134,Hunter Mahan,94,71.38,6710,94
134,T135,T135,Robert Damron,92,71.42,6571,92
135,T135,T135,Todd Hamilton,92,71.42,6285,88
136,T137,T137,Stephen Leaney,84,71.44,5358,75
137,T137,T137,José María Olazábal,56,71.44,3715,52
138,T139,T139,Steve Lowery,91,71.45,6359,89
139,T139,T139,Steve Stricker,81,71.45,5573,78
140,141,141,Fred Couples,54,71.46,3716,52
141,T142,T142,Jay Delsing,76,71.47,5217,73
142,T142,T142,John Rollins,90,71.47,6075,85
143,144,144,Matt Kuchar,83,71.48,5933,83
144,145,145,Jonathan Kaye,79,71.49,5433,76
145,146,146,Mark O'Meara,58,71.52,4148,58
146,147,147,Jeff Brehaut,106,71.53,7439,104
147,148,148,Craig Bowden,83,71.54,5938,83
148,T149,T149,Tommy Armour III,87,71.55,6225,87
149,T149,T149,J.P. Hayes,79,71.55,5366,75
150,T151,T151,Alex Cejka,76,71.56,5009,70
151,T151,T151,Roland Thatcher,66,71.56,4723,66
152,153,153,Steve Pate,71,71.57,4938,69
153,154,154,Scott Simpson,55,71.58,3937,55
154,155,155,David Frost,78,71.6,5585,78
155,156,156,D.J. Brigman,79,71.66,5446,76
156,157,157,Rocco Mediate,53,71.67,3440,48
157,158,158,Mathias Grönberg,91,71.7,6238,87
158,T159,T159,Arjun Atwal,85,71.71,5952,83
159,T159,T159,Dan Forsman,79,71.71,5522,77
160,161,161,David Branshaw,84,71.72,5881,82
161,162,162,Peter Lonard,68,71.74,4735,66
162,163,163,Craig Perks,75,71.75,5166,72
163,164,164,Spike McRoy,93,71.76,6530,91
164,165,165,Billy Mayfair,109,71.8,7539,105
165,166,166,Rich Barcelo,67,71.85,4670,65
166,T167,T167,Aaron Baddeley,87,71.94,6115,85
167,T167,T167,Tom Carter,113,71.94,7913,110
168,169,169,Rich Beem,81,71.99,5543,77
169,170,170,Ben Curtis,56,72.0,3744,52
170,171,171,Ken Duke,89,72.01,6265,87
171,172,172,Tommy Tolles,67,72.06,4828,67
172,T173,T173,Mike Heinen,53,72.09,3821,53
173,T173,T173,Roger Tambellini,81,72.09,5623,78
174,175,175,Esteban Toledo,92,72.12,6491,90
175,176,176,Kris Cox,73,72.13,5121,71
176,T177,T177,Craig Parry,52,72.14,3607,50
177,T177,T177,Gene Sauers,83,72.14,5843,81
178,T177,T177,Grant Waite,79,72.14,5555,77
179,180,180,Cliff Kresge,89,72.17,6279,87
180,T181,T181,Brian Kortan,65,72.19,4476,62
181,T181,T181,Blaine McCallister,68,72.19,4909,68
182,T181,T181,Dan Olsen,75,72.19,5270,73
183,184,184,Niclas Fasth,61,72.2,4332,60
184,185,185,Andre Stolz,53,72.21,3827,53
185,186,186,Scott Hend,81,72.22,5705,79
186,187,187,Tripp Isenhour,55,72.23,3828,53
187,188,188,David Morland IV,73,72.29,5277,73
188,189,189,Len Mattiace,75,72.31,5423,75
189,190,190,Guy Boros,64,72.45,4637,64
190,191,191,Mark Brooks,72,72.51,5076,70
191,192,192,Dicky Pride,66,72.71,4581,63
192,193,193,Hirofumi Miyase,65,72.95,4596,63
193,194,194,Chris Couch,55,73.16,4024,55
194,195,195,Kevin Muncrief,50,73.24,3662,50
195,196,196,David Gossett,57,74.95,4272,57
