,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
132,T133,T133,Craig Perks,75,12.2,15,123
133,T133,T133,Heath Slocum,92,12.2,15,123
134,135,135,Jeff Brehaut,106,12.08,18,149
135,136,136,Scott Hoch,52,12.0,9,75
136,137,137,Dan Olsen,75,11.88,19,160
137,138,138,Chris DiMarco,105,11.82,13,110
138,T139,T139,Tommy Armour III,87,11.76,16,136
139,T139,T139,Kris Cox,73,11.76,12,102
140,141,141,Chad Campbell,100,11.71,13,111
141,142,142,Guy Boros,64,11.65,12,103
142,143,143,Aaron Baddeley,87,11.63,20,172
143,144,144,Bob Tway,90,11.43,12,105
144,145,145,Charles Howell III,104,11.35,16,141
145,146,146,Dan Forsman,79,11.34,11,97
146,147,147,Kevin Sutherland,86,11.22,11,98
147,148,148,Corey Pavin,83,11.11,11,99
148,T149,T149,David Gossett,57,11.0,11,100
149,T149,T149,Len Mattiace,75,11.0,11,100
150,151,151,David Morland IV,73,10.91,12,110
151,152,152,Bart Bryant,73,10.84,9,83
152,153,153,Greg Chalmers,70,10.74,13,121
153,T154,T154,Russ Cochran,61,10.71,9,84
154,T154,T154,José María Olazábal,56,10.71,9,84
155,T156,T156,Brian Gay,96,10.69,14,131
156,T156,T156,Zach Johnson,109,10.69,14,131
157,158,158,Craig Bowden,83,10.68,11,103
158,159,159,Spike McRoy,93,10.66,13,122
159,160,160,Dicky Pride,66,10.62,12,113
160,161,161,Steve Stricker,81,10.56,15,142
161,162,162,Tom Byrum,83,10.53,10,95
162,163,163,Robert Allenby,93,10.48,13,124
163,164,164,Kirk Triplett,88,10.47,9,86
164,165,165,Dean Wilson,99,10.45,14,134
165,166,166,Omar Uresti,85,10.42,10,96
166,167,167,Tripp Isenhour,55,10.29,7,68
167,168,168,Brad Faxon,94,10.27,15,146
168,169,169,Fred Funk,97,10.14,7,69
169,170,170,Luke Donald,72,10.13,8,79
170,171,171,Jonathan Kaye,79,10.0,10,100
171,172,172,Matt Gogel,86,9.92,12,121
172,173,173,John Rollins,90,9.89,9,91
173,174,174,David Peoples,82,9.82,11,112
174,175,175,Steve Pate,71,9.71,10,103
175,176,176,Brian Kortan,65,9.57,9,94
176,T177,T177,J.P. Hayes,79,9.52,10,105
177,T177,T177,Esteban Toledo,92,9.52,12,126
178,179,179,Todd Hamilton,92,9.46,14,148
179,180,180,David Frost,78,9.35,10,107
180,181,181,Paul Azinger,75,9.27,14,151
181,182,182,Mark Wilson,62,8.86,7,79
182,183,183,Stephen Leaney,84,8.7,6,69
183,184,184,Pat Bates,99,8.53,11,129
184,185,185,Bernhard Langer,59,8.47,5,59
185,186,186,Tom Lehman,70,8.41,9,107
186,187,187,Bob Burns,88,8.11,9,111
187,188,188,Robert Damron,92,7.77,8,103
188,189,189,Matt Kuchar,83,7.75,10,129
189,190,190,Rocco Mediate,53,7.69,4,52
190,191,191,Blaine McCallister,68,7.56,9,119
191,192,192,John Cook,57,7.27,4,55
192,193,193,Loren Roberts,81,7.2,9,125
193,194,194,Mark Brooks,72,6.9,6,87
194,195,195,Billy Mayfair,109,6.62,9,136
195,196,196,Hidemichi Tanaka,89,4.95,5,101
