,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
76,T76,T76,Joey Sindelar,71.33,1284,18
77,78,78,John Daly,71.35,1213,17
78,T79,T79,Steve Elkington,71.36,785,11
79,T79,T79,Nick Price,71.36,785,11
80,81,81,Hunter Mahan,71.38,1142,16
81,82,82,Chris DiMarco,71.39,1642,23
82,83,83,John Rollins,71.4,1071,15
83,T84,T84,Kevin Na,71.41,1214,17
84,T84,T84,Corey Pavin,71.41,1214,17
85,T86,T86,Chad Campbell,71.45,1429,20
86,T86,T86,Tim Petrovic,71.45,1572,22
87,T88,T88,Jason Bohn,71.47,1358,19
88,T88,T88,Justin Leonard,71.47,1358,19
89,90,90,Charles Howell III,71.48,1501,21
90,91,91,Kirk Triplett,71.5,1287,18
91,92,92,Freddie Jacobson,71.53,1216,17
92,93,93,Mathias Grönberg,71.55,787,11
93,94,94,Pat Perez,71.56,1288,18
94,T95,T95,Tommy Armour III,71.6,1074,15
95,T95,T95,Sergio Garcia,71.6,1074,15
96,T97,T97,John Cook,71.63,573,8
97,T97,T97,Steve Lowery,71.63,1146,16
98,T97,T97,Shaun Micheel,71.63,1361,19
99,T97,T97,Tom Pernice Jr.,71.63,1361,19
100,101,101,D.J. Brigman,71.64,788,11
101,102,102,Lee Janzen,71.65,1218,17
102,T103,T103,Michael Allen,71.67,1075,15
103,T103,T103,David Peoples,71.67,1075,15
104,T103,T103,Mark Wilson,71.67,860,12
105,106,106,Stuart Appleby,71.69,1147,16
106,107,107,Andre Stolz,71.71,502,7
107,108,108,Jay Haas,71.72,1291,18
108,109,109,Peter Lonard,71.73,789,11
109,T110,T110,Steve Allan,71.75,1148,16
110,T110,T110,Glen Day,71.75,1148,16
111,T110,T110,Matt Gogel,71.75,1148,16
112,113,113,Frank Lickliter II,71.76,1220,17
113,114,114,Bob Burns,71.77,933,13
114,115,115,Steve Flesch,71.78,1651,23
115,116,116,Paul Azinger,71.79,1005,14
116,T117,T117,Briny Baird,71.8,1436,20
117,T117,T117,Jonathan Byrd,71.8,1077,15
118,T117,T117,Steve Pate,71.8,718,10
119,120,120,Rod Pampling,71.81,1508,21
120,121,121,Mark O'Meara,71.82,790,11
121,122,122,Rocco Mediate,71.83,431,6
122,T123,T123,Vaughn Taylor,71.87,1078,15
123,T123,T123,Mike Weir,71.87,1078,15
124,T125,T125,Dan Olsen,71.88,575,8
125,T125,T125,Esteban Toledo,71.88,575,8
126,127,127,Dan Forsman,71.9,719,10
127,128,128,David Branshaw,71.91,791,11
128,129,129,Craig Bowden,71.92,863,12
129,130,130,Kevin Sutherland,71.93,1079,15
130,T131,T131,Jeff Brehaut,72.0,1224,17
131,T131,T131,Mark Brooks,72.0,360,5
132,T131,T131,Fred Couples,72.0,792,11
133,T131,T131,Danny Ellis,72.0,936,13
134,T131,T131,Dudley Hart,72.0,576,8
135,T131,T131,Dean Wilson,72.0,1152,16
136,137,137,Robert Gamez,72.05,1441,20
137,T138,T138,Brett Quigley,72.06,1297,18
138,T138,T138,Chris Smith,72.06,1297,18
139,140,140,Mike Heinen,72.11,649,9
140,141,141,Scott McCarron,72.12,1226,17
141,142,142,Patrick Sheehan,72.13,1659,23
142,T143,T143,Daniel Chopra,72.2,1444,20
143,T143,T143,Grant Waite,72.2,722,10
144,145,145,Todd Hamilton,72.22,1300,18
145,T146,T146,Ben Curtis,72.25,578,8
146,T146,T146,Brian Gay,72.25,1156,16
147,T146,T146,David Morland IV,72.25,578,8
148,149,149,Chris Riley,72.27,1084,15
149,150,150,Robert Damron,72.29,1229,17
150,T151,T151,Joe Ogilvie,72.3,1446,20
151,T151,T151,José María Olazábal,72.3,723,10
152,153,153,Spike McRoy,72.31,940,13
153,T154,T154,Dennis Paulson,72.33,1085,15
154,T154,T154,Bob Tway,72.33,1302,18
155,156,156,Skip Kendall,72.35,1447,20
156,157,157,Greg Chalmers,72.38,941,13
157,158,158,John Riegger,72.4,724,10
158,T159,T159,John Huston,72.44,652,9
159,T159,T159,Roland Thatcher,72.44,652,9
160,161,161,Bernhard Langer,72.46,942,13
161,162,162,Stephen Leaney,72.53,1088,15
162,163,163,Hidemichi Tanaka,72.61,1307,18
163,164,164,Aaron Baddeley,72.63,1162,16
164,T165,T165,J.P. Hayes,72.7,727,10
165,T165,T165,Jeff Maggert,72.7,727,10
166,167,167,Tripp Isenhour,72.71,509,7
167,168,168,Mark Calcavecchia,72.75,1164,16
168,169,169,Dicky Pride,72.78,655,9
169,170,170,Matt Kuchar,72.85,947,13
170,171,171,Deane Pappas,72.86,1020,14
171,T172,T172,Cliff Kresge,72.9,729,10
172,T172,T172,Billy Mayfair,72.9,1531,21
173,T174,T174,Jay Delsing,73.0,730,10
174,T174,T174,Jonathan Kaye,73.0,1022,14
175,T174,T174,Roger Tambellini,73.0,803,11
176,T174,T174,Tommy Tolles,73.0,584,8
177,178,178,José Coceres,73.08,950,13
178,179,179,Niclas Fasth,73.11,658,9
179,180,180,Tom Carter,73.16,1390,19
180,181,181,Blaine McCallister,73.17,439,6
181,182,182,Arron Oberholser,73.2,1098,15
182,183,183,Scott Simpson,73.22,659,9
183,184,184,Alex Cejka,73.23,952,13
184,185,185,Len Mattiace,73.25,879,12
185,186,186,Gene Sauers,73.5,735,10
186,187,187,Brian Kortan,73.57,515,7
187,188,188,Guy Boros,73.63,589,8
188,189,189,Ken Duke,73.71,1032,14
189,190,190,Scott Hend,74.0,814,11
190,191,191,Craig Parry,74.1,741,10
191,T192,T192,Kris Cox,74.2,742,10
192,T192,T192,Hirofumi Miyase,74.2,371,5
193,194,194,Rich Beem,74.58,895,12
194,T195,T195,Chris Couch,75.5,302,4
195,T195,T195,David Gossett,75.5,151,2
