,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
123,124,124,Louis Oosthuizen,16,70000
124,125,125,Robert Allenby,29,70000
125,126,126,Nicholas Thompson,30,32000
126,127,127,Martin Laird,20,32000
127,128,128,J.J. Henry,28,32000
128,129,129,Heath Slocum,23,32000
129,130,130,Charlie Beljan,26,32000
130,131,131,Ben Curtis,24,32000
131,132,132,Greg Chalmers,27,32000
132,133,133,John Merrick,25,32000
133,134,134,David Lingmerth,26,32000
134,135,135,Roberto Castro,27,32000
135,136,136,Jonathan Byrd,24,32000
136,137,137,Andrew Loupe,22,32000
137,138,138,Richard Lee,27,32000
138,139,139,Mike Weir,25,32000
139,140,140,Brian Gay,26,32000
140,141,141,Briny Baird,17,32000
141,142,142,Willy Wilcox,16,32000
142,143,143,Bud Cauley,19,32000
143,144,144,Tyrone Van Aswegen,25,32000
144,145,145,Trevor Immelman,28,32000
145,146,146,Hudson Swafford,26,32000
146,147,147,Jim Renner,25,32000
147,148,148,Josh Teater,28,32000
148,149,149,Charlie Wi,25,32000
149,150,150,Johnson Wagner,24,32000
