,Ryder_Cup_Euro_Points_RANK THIS WEEK,Ryder_Cup_Euro_Points_RANK LAST WEEK,Ryder_Cup_Euro_Points_PLAYER NAME,Ryder_Cup_Euro_Points_POINTS
138,139,139,Lasse Jensen,58387.5
139,140,140,Johan Edfors,57436.28
140,141,141,Alessandro Tadini,55961.87
141,142,142,Sam Hutsby,52070.0
142,143,143,Alex Noren,51544.61
143,144,144,Rhys Davies,46988.0
144,145,145,Jamie McLeary,46709.6
145,146,146,Michael Jonzon,46573.88
146,147,147,Robert Dinwiddie,45732.75
147,148,148,Richard McEvoy,45150.54
148,149,149,Robert Coles,44965.54
149,150,150,Edouard Dubois,40606.28
150,151,151,Andrew Marshall,40102.09
151,152,152,Patrik Sjöland,39861.5
152,153,153,Bjorn Akesson,39782.23
153,154,154,Jack Doherty,37421.0
154,155,155,Garrick Porteous,35328.33
155,156,156,Andrew McCarthy,34725.0
156,157,157,Julien Guerrier,33215.0
157,158,158,Oscar Floren,29906.96
158,159,159,Kenneth Ferrie,29633.33
159,160,160,Gary Lockerbie,29328.36
160,161,161,Florian Fritsch,25000.0
161,162,162,Alvaro Velasco,24300.0
162,163,163,Javier Colomo,23633.33
163,164,164,Sandy Lyle,23518.74
164,165,165,Martin Laird,21820.3
165,166,166,Matt Ford,21064.77
166,167,167,Carlos Pigem,20691.24
167,168,168,Andrew Johnston,20585.0
168,169,169,Michael Lorenzo-Vera,20460.0
169,170,170,Anthony Snobeck,20412.31
170,171,171,Chris Hanson,20230.03
171,172,172,George Murray,19809.28
172,173,173,Oliver Wilson,19361.51
173,174,174,Matteo Delpodio,19278.32
174,175,175,Lorenzo Gagli,19026.67
175,176,176,Gary Boyd,18316.67
176,177,177,Freddie Jacobson,17376.84
177,178,178,Rhys Enoch,17021.0
178,179,179,Maarten Lafeber,16928.02
179,180,180,Gary Orr,16050.0
180,181,181,Christian Cévaër,15080.22
181,182,182,Liam Bond,13178.19
182,183,183,Jeppe Huldahl,12900.0
183,184,184,Duncan Stewart,12224.11
184,185,185,Tim Sluiter,11825.0
185,186,186,Pedro Oriol,11610.0
186,187,187,Martin Wiegele,11610.0
187,188,188,Lukas Nemecz,11357.5
188,189,189,Lloyd Kennedy,11260.0
189,190,190,Andreas Hartø,10878.19
190,191,191,Damian Ulrich,10297.5
191,192,192,Agustin Domingo,10065.0
192,193,193,Ruaidhri McGee,9500.0
193,194,194,Steven Tiley,8640.0
194,195,195,Ross McGowan,8255.25
195,196,196,Zane Scotland,7811.11
196,197,197,Doug McGuigan,7520.0
197,198,198,Moritz Lampert,7500.0
198,199,199,Jaakko Makitalo,7454.99
199,200,200,Jens Fahrbring,7346.88
