,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
128,T129,T129,Bud Cauley,19,3.84,357,9300,,1.0
129,T129,T129,Scott Piercy,12,3.84,238,6200,,
130,131,131,Bryce Molder,25,3.82,455,11900,,2.0
131,132,132,Brad Fritsch,18,3.74,322,8600,,3.0
132,133,133,Brice Garnett,28,3.72,488,13100,,1.0
133,134,134,Heath Slocum,23,3.71,419,11300,,1.0
134,135,135,Chad Campbell,18,3.69,317,8600,,1.0
135,136,136,Andrew Loupe,22,3.58,380,10600,,1.0
136,137,137,Steve Marino,13,3.56,224,6300,,
137,138,138,James Hahn,27,3.53,456,12900,,2.0
138,139,139,Ben Curtis,24,3.42,406,11900,,1.0
139,140,140,Larry Mize,1,3.33,20,600,,
140,T141,T141,Jonathan Byrd,24,3.27,383,11700,,1.0
141,T141,T141,Morgan Hoffmann,32,3.27,448,13700,,
142,T143,T143,Robert Allenby,29,3.2,438,13700,,
143,T143,T143,John Merrick,25,3.2,399,12450,,
144,145,145,Charlie Beljan,26,3.17,409,12900,,1.0
145,146,146,Joe Durant,15,3.12,221,7100,,
146,147,147,J.J. Henry,28,3.1,425,13700,,
147,T148,T148,Eric Axley,10,3.06,141,4600,,
148,T148,T148,Fred Couples,3,3.06,49,1600,,
149,T150,T150,David Lingmerth,26,3.03,391,12900,,2.0
150,T150,T150,Mike Weir,25,3.03,375,12400,,1.0
151,152,152,Greg Chalmers,27,3.0,402,13400,,1.0
152,153,153,Nicholas Thompson,30,2.98,437,14700,,1.0
153,T154,T154,Kenny Perry,5,2.96,83,2800,,
154,T154,T154,Wes Roach,22,2.96,314,10600,,1.0
155,156,156,Tyrone Van Aswegen,25,2.94,355,12100,,
156,157,157,Brian Gay,26,2.89,375,12950,,1.0
157,158,158,Richard Lee,27,2.85,376,13200,,2.0
158,159,159,Roberto Castro,27,2.8,387,13850,,1.0
159,160,160,Jim Renner,25,2.79,346,12400,,1.0
160,161,161,Hudson Swafford,26,2.77,351,12700,,1.0
161,162,162,Johnson Wagner,24,2.76,323,11700,,1.0
162,163,163,Charlie Wi,25,2.65,329,12400,,
163,164,164,"Ted Potter, Jr.",24,2.61,311,11900,,
164,165,165,Dicky Pride,13,2.6,159,6100,,1.0
165,166,166,Trevor Immelman,28,2.58,354,13700,,1.0
166,167,167,Thorbjørn Olesen,14,2.54,182,7150,,1.0
167,168,168,James Driscoll,25,2.51,311,12400,,
168,169,169,Kent Jones,2,2.5,20,800,,
169,170,170,Tommy Gainey,26,2.47,311,12600,,1.0
170,171,171,Spencer Levin,20,2.46,246,10000,,
171,172,172,Ken Duke,25,2.41,305,12650,,
172,173,173,Josh Teater,28,2.4,334,13900,,
173,174,174,Rod Pampling,7,2.33,74,3200,,1.0
174,175,175,Davis Love III,22,2.32,253,10900,,
175,176,176,Blake Adams,8,2.28,91,4000,,
176,177,177,Sean O'Hair,25,2.26,278,12300,,1.0
177,178,178,Jamie Lovemark,20,2.21,212,9600,,
178,179,179,Ryuji Imada,9,2.19,90,4100,,
179,T180,T180,Chad Collins,28,2.15,295,13700,,1.0
180,T180,T180,Tim Herron,15,2.15,157,7300,,
181,182,182,Troy Matteson,23,2.14,238,11100,,1.0
182,183,183,Kyle Stanley,28,2.13,297,13900,,1.0
183,184,184,José Coceres,6,2.1,59,2800,,
184,T185,T185,Sandy Lyle,2,2.08,25,1200,,
185,T185,T185,Tim Petrovic,10,2.08,96,4600,,
186,187,187,Woody Austin,22,2.06,225,10900,,
187,188,188,Jeff Maggert,19,2.01,195,9700,,1.0
188,189,189,Peter Malnati,18,1.99,172,8600,,
189,190,190,Patrick Cantlay,5,1.92,48,2500,,
190,191,191,Glen Day,5,1.88,40,2100,,
191,T192,T192,David Lynn,11,1.8,104,5750,,
192,T192,T192,Tom Watson,5,1.8,51,2800,,
193,194,194,John Rollins,28,1.78,244,13700,,
194,195,195,Greg Owen,8,1.77,67,3800,,
195,T196,T196,Steve Flesch,5,1.75,37,2100,,
196,T196,T196,Chez Reavie,2,1.75,18,1000,,
197,198,198,Y.E. Yang,28,1.66,234,14100,,
198,199,199,Miguel Angel Carballo,15,1.63,116,7100,,
199,200,200,Dudley Hart,4,1.62,32,2000,,
200,201,201,Derek Ernst,28,1.55,218,14050,,
201,202,202,Kevin Tway,23,1.54,172,11200,,
202,203,203,Nicolas Colsaerts,12,1.5,88,5900,,
203,T204,T204,Bronson La'Cassie,18,1.49,128,8600,,
204,T204,T204,D.A. Points,27,1.49,206,13800,,
205,206,206,Marco Dawson,1,1.46,4,300,,
206,207,207,Padraig Harrington,16,1.45,116,8000,,
207,208,208,Mark Anderson,8,1.44,55,3800,,
208,209,209,Scott Gardiner,18,1.42,125,8800,,
209,T210,T210,Jim Herman,21,1.41,142,10100,,
210,T210,T210,Doug LaBelle II,12,1.41,79,5600,,
211,212,212,Justin Bolli,6,1.4,37,2600,,
212,213,213,John Peterson,25,1.37,170,12400,,
213,214,214,Billy Mayfair,4,1.33,24,1800,,
214,215,215,Will Claxton,8,1.31,52,4000,,
215,216,216,Cameron Beckman,12,1.29,72,5600,,
216,217,217,Alex Cejka,6,1.26,34,2700,,
217,218,218,Mark Calcavecchia,8,1.22,49,4000,,
218,T219,T219,Stephen Ames,18,1.18,104,8800,,
219,T219,T219,Marc Turnesa,6,1.18,31,2600,,
220,T219,T219,Tiger Woods,7,1.18,45,3800,,
221,222,222,Lee Williams,13,1.17,74,6300,,
222,223,223,Len Mattiace,4,1.16,21,1800,,
223,T224,T224,Lee Janzen,8,1.13,41,3600,,
224,T224,T224,Mark Wilson,25,1.13,142,12500,,
225,226,226,Kevin Foley,15,1.1,78,7100,,
226,227,227,David Duval,15,1.07,77,7200,,
227,228,228,Darren Clarke,15,1.04,83,8000,,
228,229,229,Ben Kohles,3,1.0,13,1300,,
229,230,230,Lucas Glover,26,0.98,129,13100,,
230,T231,T231,D.H. Lee,20,0.95,94,9900,,
231,T231,T231,Alex Prugh,16,0.95,72,7600,,
232,T233,T233,Chris Smith,7,0.91,28,3100,,
233,T233,T233,Vaughn Taylor,3,0.91,12,1300,,
234,235,235,Nathan Green,4,0.88,14,1600,,
235,236,236,John Daly,15,0.87,63,7300,,
236,T237,T237,Matt Bettencourt,14,0.86,57,6600,,
237,T237,T237,D.J. Trahan,5,0.86,18,2100,,
238,239,239,Tag Ridings,12,0.75,42,5600,,
239,240,240,Joe Ogilvie,13,0.64,40,6200,,
240,241,241,Arjun Atwal,4,0.61,11,1800,,
241,242,242,Todd Hamilton,4,0.55,11,1900,,
242,243,243,Fabián Gómez,4,0.53,10,1800,,
243,T244,T244,Benjamín Alvarado,6,0.5,15,3000,,
244,T244,T244,Kris Blanks,8,0.5,19,3800,,
245,T244,T244,Harrison Frazar,15,0.5,37,7300,,
246,247,247,Jesper Parnevik,3,0.34,4,1300,,
247,T248,T248,Fred Funk,8,0.25,9,3800,,
248,T248,T248,Edward Loar,19,0.25,23,9100,,
249,250,250,Brett Quigley,1,0.16,1,500,,
250,251,251,Paul Goydos,19,0.12,11,9500,,
251,252,252,Daniel Chopra,16,0.11,9,7600,,
252,253,253,Paul Stankowski,3,0.08,1,1100,,
253,T254,T254,Chris DiMarco,7,0.03,1,3100,,
254,T254,T254,Scott McCarron,12,0.03,2,5600,,
255,T256,T256,Alex Aragon,18,0.02,2,8600,,
256,T256,T256,Scott Verplank,12,0.02,1,6000,,
257,258,258,Bobby Gates,14,0.01,1,6900,,
