,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
66,67,67,Brendan Steele,24,729,,4.0,1853.0,
67,68,68,Kevin Chappell,25,723,,1.0,1859.0,
68,69,69,Billy Horschel,23,722,,2.0,1860.0,
69,70,70,Henrik Stenson,12,720,,3.0,1862.0,
70,71,71,Brendon de Jonge,29,717,,2.0,1865.0,
71,72,72,Chesson Hadley,26,705,1.0,3.0,1877.0,
72,73,73,Scott Langley,27,686,,1.0,1896.0,
73,74,74,Pat Perez,23,682,,3.0,1900.0,
74,75,75,Ryo Ishikawa,22,681,,3.0,1901.0,
75,76,76,Robert Garrigus,23,678,,2.0,1904.0,
76,77,77,Scott Stallings,26,668,1.0,1.0,1914.0,
77,78,78,Ian Poulter,15,657,,2.0,1925.0,
78,79,79,Carl Pettersson,25,650,,3.0,1932.0,
79,80,80,Andrew Svoboda,22,647,,2.0,1935.0,
80,81,81,William McGirt,26,646,,3.0,1936.0,
81,82,82,David Hearn,26,645,,3.0,1937.0,
82,83,83,Shawn Stefani,15,640,,2.0,1942.0,
83,84,84,Robert Streb,19,635,,1.0,1947.0,
84,85,85,Jason Kokrak,17,632,,2.0,1950.0,
85,86,86,Jeff Overton,22,631,,3.0,1951.0,
86,87,87,Billy Hurley III,24,630,,4.0,1952.0,
87,88,88,Vijay Singh,23,625,,1.0,1957.0,
88,89,89,Michael Putnam,28,618,,1.0,1964.0,
89,90,90,Geoff Ogilvy,22,611,1.0,1.0,1971.0,
90,91,91,Ernie Els,21,610,,2.0,1972.0,
91,92,92,Jonas Blixt,20,599,,1.0,1983.0,
92,93,93,Kevin Kisner,25,587,,3.0,1995.0,
93,94,94,Nick Watney,24,584,,2.0,1998.0,
94,95,95,Luke Guthrie,25,575,,2.0,2007.0,
95,96,96,Retief Goosen,25,569,,2.0,2013.0,
96,97,97,Rory Sabbatini,25,567,,3.0,2015.0,
97,98,98,Stuart Appleby,26,554,,2.0,2028.0,
98,99,99,John Huh,26,544,,2.0,2038.0,
99,100,100,Brian Davis,27,534,,,2048.0,
100,101,101,Martin Flores,25,530,,1.0,2052.0,
101,102,102,Aaron Baddeley,23,528,,2.0,2054.0,
102,103,103,Steve Stricker,11,519,,2.0,2063.0,
103,104,104,Bo Van Pelt,23,518,,1.0,2064.0,
104,105,105,Ricky Barnes,26,518,,2.0,2064.0,
105,106,106,Michael Thompson,21,515,,1.0,2067.0,
106,107,107,Lee Westwood,17,514,,2.0,2068.0,
107,108,108,Jhonattan Vegas,22,505,,2.0,2077.0,
108,109,109,Stewart Cink,23,504,,,2078.0,
109,110,110,Andres Romero,24,503,,1.0,2079.0,
110,111,111,Troy Merritt,19,499,,1.0,2083.0,
111,112,112,David Toms,19,498,,2.0,2084.0,
112,113,113,Boo Weekley,23,496,,1.0,2086.0,
113,114,114,Tim Wilkinson,24,494,,3.0,2088.0,
114,115,115,Justin Leonard,21,491,,2.0,2091.0,
115,116,116,Danny Lee,26,490,,1.0,2092.0,
116,117,117,Brice Garnett,27,488,,1.0,2094.0,
117,118,118,Paul Casey,15,471,,,2111.0,
118,119,119,Gonzalo Fernandez-Castaño,23,470,,1.0,2112.0,
119,120,120,Sangmoon Bae,23,466,,,2116.0,
120,121,121,James Hahn,26,456,,2.0,2126.0,
121,122,122,Bryce Molder,24,455,,2.0,2127.0,
122,123,123,Louis Oosthuizen,15,453,,1.0,2129.0,
123,124,124,Morgan Hoffmann,28,448,,,2134.0,
124,125,125,Robert Allenby,28,438,,,2144.0,
125,126,126,Nicholas Thompson,30,437,,1.0,2145.0,
126,127,127,Martin Laird,20,425,,1.0,2157.0,
127,128,128,J.J. Henry,28,425,,,2157.0,
128,129,129,Heath Slocum,23,419,,1.0,2163.0,
129,130,130,Charlie Beljan,26,409,,1.0,2173.0,
130,131,131,Ben Curtis,24,406,,1.0,2176.0,
131,132,132,Greg Chalmers,27,402,,1.0,2180.0,
132,133,133,John Merrick,25,399,,,2183.0,
133,134,134,David Lingmerth,26,391,,2.0,2191.0,
134,135,135,Roberto Castro,27,387,,1.0,2195.0,
135,136,136,Jonathan Byrd,24,383,,1.0,2199.0,
136,137,137,Andrew Loupe,22,380,,1.0,2202.0,
137,138,138,Richard Lee,27,376,,2.0,2206.0,
138,139,139,Mike Weir,25,375,,1.0,2207.0,
139,140,140,Brian Gay,26,375,,1.0,2207.0,
140,141,141,Briny Baird,17,366,,1.0,2216.0,
141,142,142,Willy Wilcox,16,362,,2.0,2220.0,
142,143,143,Bud Cauley,19,357,,1.0,2225.0,
143,144,144,Tyrone Van Aswegen,25,355,,,2227.0,
144,145,145,Trevor Immelman,28,354,,1.0,2228.0,
145,146,146,Hudson Swafford,26,351,,1.0,2231.0,
146,147,147,Jim Renner,25,346,,1.0,2236.0,
147,148,148,Josh Teater,28,334,,,2248.0,
148,149,149,Charlie Wi,25,329,,,2253.0,
149,150,150,Johnson Wagner,24,323,,1.0,2259.0,
150,151,151,Brad Fritsch,18,322,,3.0,2260.0,
151,152,152,Chad Campbell,18,317,,1.0,2265.0,
152,153,153,Wes Roach,22,314,,1.0,2268.0,
153,154,154,"Ted Potter, Jr.",24,311,,,2271.0,
154,155,155,James Driscoll,25,311,,,2271.0,
155,156,156,Tommy Gainey,26,311,,1.0,2271.0,
156,157,157,Ken Duke,25,305,,,2277.0,
157,158,158,Kyle Stanley,28,297,,1.0,2285.0,
158,159,159,Chad Collins,28,295,,1.0,2287.0,
159,160,160,Sean O'Hair,25,278,,1.0,2304.0,
160,161,161,Peter Hanson,13,262,,,2320.0,
161,162,162,Davis Love III,22,253,,,2329.0,
162,163,163,Spencer Levin,20,246,,,2336.0,
163,164,164,John Rollins,28,244,,,2338.0,
164,165,165,Troy Matteson,23,238,,1.0,2344.0,
165,166,166,Scott Piercy,12,238,,,2344.0,
166,167,167,Y.E. Yang,28,234,,,2348.0,
167,168,168,Woody Austin,22,225,,,2357.0,
168,169,169,Steve Marino,13,224,,,2358.0,
169,170,170,Joe Durant,15,221,,,2361.0,
170,171,171,Derek Ernst,28,218,,,2364.0,
171,172,172,Jamie Lovemark,20,212,,,2370.0,
172,173,173,D.A. Points,27,206,,,2376.0,
173,174,174,Jeff Maggert,19,195,,1.0,2387.0,
174,175,175,Thorbjørn Olesen,14,182,,1.0,2400.0,
175,176,176,Jason Gore,7,175,,1.0,2407.0,
176,177,177,Kevin Tway,23,172,,,2410.0,
177,178,178,Peter Malnati,18,172,,,2410.0,
178,179,179,John Peterson,25,170,,,2412.0,
179,180,180,Dicky Pride,13,159,,1.0,2423.0,
180,181,181,Tim Herron,15,157,,,2425.0,
181,182,182,Jim Herman,21,142,,,2440.0,
182,183,183,Mark Wilson,25,142,,,2440.0,
183,184,184,Eric Axley,10,141,,,2441.0,
184,185,185,Lucas Glover,26,129,,,2453.0,
185,186,186,Bronson La'Cassie,18,128,,,2454.0,
186,187,187,Scott Gardiner,18,125,,,2457.0,
187,188,188,Padraig Harrington,16,116,,,2466.0,
188,189,189,Miguel Angel Carballo,15,116,,,2466.0,
189,190,190,Stephen Ames,18,104,,,2478.0,
190,191,191,David Lynn,11,104,,,2478.0,
191,192,192,Tim Petrovic,10,96,,,2486.0,
192,193,193,D.H. Lee,20,94,,,2488.0,
193,194,194,Blake Adams,8,91,,,2491.0,
194,195,195,Ryuji Imada,9,90,,,2492.0,
195,196,196,Nicolas Colsaerts,12,88,,,2494.0,
196,197,197,Kenny Perry,5,83,,,2499.0,
197,198,198,Darren Clarke,15,83,,,2499.0,
198,199,199,Bernhard Langer,1,80,,1.0,2502.0,
199,200,200,Doug LaBelle II,12,79,,,2503.0,
200,201,201,Kevin Foley,15,78,,,2504.0,
201,202,202,David Duval,15,77,,,2505.0,
202,203,203,Rod Pampling,7,74,,1.0,2508.0,
203,204,204,Lee Williams,13,74,,,2508.0,
204,205,205,Bob Estes,2,73,,1.0,2509.0,
205,206,206,Alex Prugh,16,72,,,2510.0,
206,207,207,Cameron Beckman,12,72,,,2510.0,
207,208,208,Greg Owen,8,67,,,2515.0,
208,209,209,John Daly,15,63,,,2519.0,
209,210,210,José Coceres,6,59,,,2523.0,
210,211,211,Matt Bettencourt,14,57,,,2525.0,
211,212,212,Mark Anderson,8,55,,,2527.0,
212,213,213,Will Claxton,8,52,,,2530.0,
213,214,214,Tom Watson,5,51,,,2531.0,
214,215,215,Fred Couples,3,49,,,2533.0,
215,216,216,Mark Calcavecchia,8,49,,,2533.0,
216,217,217,Patrick Cantlay,5,48,,,2534.0,
217,218,218,Tiger Woods,7,45,,,2537.0,
218,219,219,Tag Ridings,12,42,,,2540.0,
219,220,220,Lee Janzen,8,41,,,2541.0,
220,221,221,Joe Ogilvie,13,40,,,2542.0,
221,222,222,Glen Day,5,40,,,2542.0,
222,T223,T223,Steve Flesch,5,37,,,2545.0,
223,T223,T223,Harrison Frazar,15,37,,,2545.0,
224,225,225,Justin Bolli,6,37,,,2545.0,
225,226,226,José María Olazábal,1,36,,,2546.0,
226,227,227,Alex Cejka,6,34,,,2548.0,
227,228,228,Dudley Hart,4,32,,,2550.0,
228,229,229,Marc Turnesa,6,31,,,2551.0,
229,230,230,Chris Smith,7,28,,,2554.0,
230,231,231,Sandy Lyle,2,25,,,2557.0,
231,232,232,Billy Mayfair,4,24,,,2558.0,
232,233,233,Edward Loar,19,23,,,2559.0,
233,234,234,Len Mattiace,4,21,,,2561.0,
234,T235,T235,Kent Jones,2,20,,,2562.0,
235,T235,T235,Larry Mize,1,20,,,2562.0,
236,237,237,Kris Blanks,8,19,,,2563.0,
237,238,238,D.J. Trahan,5,18,,,2564.0,
238,239,239,Chez Reavie,2,18,,,2564.0,
239,240,240,Benjamín Alvarado,6,15,,,2567.0,
240,241,241,Nathan Green,4,14,,,2568.0,
241,242,242,Ben Kohles,3,13,,,2569.0,
242,243,243,Vaughn Taylor,3,12,,,2570.0,
243,244,244,Paul Goydos,19,11,,,2571.0,
244,245,245,Arjun Atwal,4,11,,,2571.0,
245,246,246,Todd Hamilton,4,11,,,2571.0,
246,247,247,Fabián Gómez,4,10,,,2572.0,
247,248,248,Fred Funk,8,9,,,2573.0,
248,249,249,Daniel Chopra,16,9,,,2573.0,
249,T250,T250,Marco Dawson,1,4,,,2578.0,
250,T250,T250,Jesper Parnevik,3,4,,,2578.0,
251,252,252,Alex Aragon,18,2,,,2580.0,
252,253,253,Scott McCarron,12,2,,,2580.0,
253,254,254,Paul Stankowski,3,1,,,2581.0,
254,255,255,Scott Verplank,12,1,,,2581.0,
255,256,256,Chris DiMarco,7,1,,,2581.0,
256,257,257,Brett Quigley,1,1,,,2581.0,
257,258,258,Bobby Gates,14,1,,,2581.0,
