,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
116,117,117,Beau Hossler,104,"101' 2""",303.5,3,-2
117,118,118,Billy Horschel,86,"103' 0""",309.08299999999997,3,+2
118,119,119,Tiger Woods,68,"103' 2""",206.333,2,E
119,120,120,Adam Scott,78,"103' 5""",103.417,1,-1
120,T121,T121,Chad Campbell,87,"103' 9""",311.25,3,E
121,T121,T121,Jordan Spieth,81,"103' 9""",414.917,4,-3
122,123,123,Hunter Mahan,67,"103' 10""",311.5,3,-2
123,124,124,Cody Gribble,71,"105' 4""",947.6669999999999,9,E
124,T125,T125,Kyle Stanley,93,"105' 9""",211.417,2,+1
125,T125,T125,Jimmy Walker,81,"105' 9""",211.5,2,E
126,127,127,Trey Mullinax,75,"106' 3""",318.83299999999997,3,E
127,128,128,Scott Piercy,84,"106' 10""",641.0830000000001,6,-2
128,129,129,Tom Hoge,101,"107' 5""",859.3330000000001,8,-1
129,130,130,Roberto Díaz,72,"107' 7""",430.333,4,-1
130,131,131,Anirban Lahiri,82,"108' 5""",325.16700000000003,3,E
131,132,132,Ryan Palmer,69,"109' 1""",109.083,1,E
132,133,133,Justin Thomas,91,"109' 2""",545.8330000000001,5,-1
133,134,134,William McGirt,84,"110' 1""",440.25,4,+1
134,135,135,Bryson DeChambeau,93,"110' 6""",331.417,3,E
135,T136,T136,Joel Dahmen,93,"111' 0""",222.0,2,-1
136,T136,T136,Tony Finau,105,"111' 0""",333.0,3,-2
137,138,138,Ryan Armour,109,"111' 5""",222.75,2,+1
138,T139,T139,Scott Brown,102,"111' 7""",669.6669999999999,6,E
139,T139,T139,Brice Garnett,99,"111' 7""",558.0,5,E
140,141,141,Daniel Summerhays,51,"112' 3""",112.25,1,E
141,142,142,Stephan Jaeger,81,"112' 10""",451.167,4,E
142,143,143,Brendan Steele,74,"113' 2""",113.167,1,-1
143,144,144,Sam Saunders,80,"113' 5""",453.5,4,-1
144,145,145,Sung Kang,89,"114' 0""",912.1669999999999,8,-5
145,146,146,Brandt Snedeker,84,"114' 1""",342.167,3,-1
146,147,147,Si Woo Kim,108,"115' 2""",691.0,6,-4
147,148,148,Rory McIlroy,64,"115' 3""",230.5,2,E
148,149,149,Mackenzie Hughes,80,"115' 5""",461.5,4,-1
149,150,150,Daniel Berger,81,"115' 7""",115.583,1,E
150,T151,T151,Jason Kokrak,99,"115' 9""",347.25,3,-2
151,T151,T151,Danny Lee,88,"115' 9""",463.0,4,E
152,153,153,Russell Henley,77,"116' 10""",233.583,2,-1
153,154,154,David Lingmerth,82,"117' 5""",234.75,2,-1
154,155,155,Byeong Hun An,86,"117' 9""",117.75,1,-1
155,156,156,Brandon Harkins,101,"118' 1""",1062.667,9,-1
156,157,157,Andrew Putnam,97,"118' 10""",713.1669999999999,6,-1
157,158,158,Stewart Cink,87,"118' 11""",237.833,2,-1
158,159,159,Rory Sabbatini,91,"119' 2""",238.25,2,+1
159,160,160,J.J. Henry,81,"120' 3""",120.25,1,E
