,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
24,T24,T24,D.A. Points,63,62.5,50,80,-55,+11.00
25,26,26,Keith Mitchell,99,62.27,137,220,-142,-8.00
26,27,27,Aaron Baddeley,84,62.24,89,143,-97,-2.00
27,28,28,Rafa Cabrera Bello,75,62.22,56,90,-63,-8.00
28,29,29,Stephan Jaeger,81,61.94,83,134,-88,-9.00
29,30,30,Kevin Kisner,89,61.9,65,105,-71,-13.00
30,31,31,Brian Gay,103,61.86,73,118,-77,-41.00
31,32,32,Martin Laird,73,61.72,79,128,-84,-8.00
32,33,33,Johnson Wagner,75,61.63,53,86,-58,-23.00
33,34,34,Denny McCarthy,71,61.54,64,104,-66,+4.00
34,35,35,Tyrrell Hatton,58,61.33,46,75,-48,-17.00
35,36,36,Tiger Woods,68,61.21,71,116,-75,-13.00
36,37,37,Ben Crane,65,61.19,41,67,-45,-10.00
37,38,38,Rory McIlroy,64,61.11,77,126,-84,-2.00
38,39,39,Hudson Swafford,73,61.02,72,118,-77,-3.00
39,40,40,Jason Kokrak,99,60.71,136,224,-148,+10.00
40,41,41,Jordan Spieth,81,60.63,97,160,-102,-8.00
41,42,42,Alex Noren,67,60.5,72,119,-75,-2.00
42,43,43,Billy Hurley III,70,60.49,49,81,-54,-11.00
43,44,44,Gary Woodland,96,60.22,112,186,-125,-4.00
44,T45,T45,Louis Oosthuizen,62,60.0,45,75,-47,-9.00
45,T45,T45,Cameron Tringale,67,60.0,51,85,-53,+1.00
46,T45,T45,Richy Werenski,98,60.0,84,140,-92,-12.00
47,48,48,Rickie Fowler,74,59.85,79,132,-84,-8.00
48,49,49,Jon Rahm,71,59.56,81,136,-85,+3.00
49,50,50,Ryan Armour,109,59.52,75,126,-80,-55.00
50,T51,T51,Alex Cejka,77,59.43,63,106,-70,-9.00
51,T51,T51,Matt Jones,70,59.43,63,106,-70,+7.00
52,53,53,David Hearn,66,59.42,41,69,-45,-9.00
53,54,54,Harold Varner III,91,59.39,98,165,-106,-8.00
54,55,55,Nick Taylor,94,59.35,92,155,-94,-11.00
55,56,56,Si Woo Kim,108,59.32,105,177,-108,+2.00
56,57,57,Byeong Hun An,86,59.17,100,169,-107,+3.00
57,58,58,Kyle Stanley,93,59.15,84,142,-88,-12.00
58,59,59,Adam Scott,78,59.06,75,127,-81,-7.00
59,60,60,Bronson Burgoon,69,58.96,79,134,-86,-2.00
60,T61,T61,Stewart Cink,87,58.87,73,124,-81,+2.00
61,T61,T61,Jimmy Walker,81,58.87,73,124,-77,+7.00
62,T63,T63,Branden Grace,67,58.82,60,102,-65,-6.00
63,T63,T63,Chris Kirk,108,58.82,100,170,-108,-34.00
64,65,65,Brandon Harkins,101,58.59,116,198,-126,+2.00
65,66,66,Brice Garnett,99,58.5,86,147,-89,-5.00
66,67,67,Peter Uihlein,83,58.45,83,142,-88,-14.00
67,68,68,Troy Merritt,89,58.44,90,154,-95,-8.00
68,69,69,Xander Schauffele,96,58.38,108,185,-112,-1.00
69,70,70,Hideki Matsuyama,75,58.27,81,139,-90,-7.00
70,71,71,Pat Perez,82,58.24,53,91,-54,-13.00
71,72,72,Cameron Smith,85,58.14,75,129,-80,-16.00
72,73,73,Bubba Watson,90,58.01,105,181,-116,-8.00
73,74,74,William McGirt,84,57.94,73,126,-77,-9.00
74,75,75,Emiliano Grillo,94,57.82,85,147,-87,-17.00
75,76,76,Tom Lovelady,87,57.59,110,191,-118,+3.00
76,77,77,Jonathan Byrd,70,57.58,57,99,-61,-3.00
77,78,78,Jim Furyk,50,57.5,23,40,-24,-21.00
78,T79,T79,J.J. Henry,81,57.43,58,101,-60,-8.00
79,T79,T79,Henrik Stenson,60,57.43,58,101,-62,E
80,T81,T81,Patrick Cantlay,87,57.38,105,183,-110,-2.00
81,T81,T81,Shawn Stefani,76,57.38,70,122,-75,-18.00
82,T83,T83,Nate Lashley,51,57.35,39,68,-42,-4.00
83,T83,T83,Ollie Schniederjans,91,57.35,78,136,-80,-19.00
84,85,85,Tyler Duncan,97,57.31,98,171,-106,+2.00
85,86,86,Chesson Hadley,103,57.3,102,178,-114,-22.00
86,87,87,Cody Gribble,71,57.26,71,124,-72,+12.00
87,88,88,Jamie Lovemark,92,57.07,105,184,-112,-5.00
88,89,89,Marc Leishman,93,57.06,93,163,-98,-1.00
89,90,90,Ian Poulter,73,56.98,49,86,-49,-19.00
90,91,91,Vaughn Taylor,83,56.9,66,116,-68,-30.00
91,92,92,Brian Stuard,103,56.84,54,95,-56,-33.00
92,93,93,Peter Malnati,87,56.82,75,132,-78,-10.00
93,94,94,Kevin Chappell,77,56.71,93,164,-98,-10.00
94,95,95,Matt Every,79,56.64,81,143,-88,+6.00
95,96,96,Graeme McDowell,67,56.57,56,99,-58,-11.00
96,97,97,Daniel Berger,81,56.55,82,145,-88,-6.00
97,98,98,Ryan Moore,78,56.52,78,138,-84,-8.00
98,99,99,J.B. Holmes,77,56.44,92,163,-99,-15.00
99,100,100,Seamus Power,86,56.43,79,140,-81,-17.00
100,101,101,Patrick Rodgers,97,56.38,84,149,-90,+1.00
101,102,102,Webb Simpson,95,56.34,80,142,-91,-16.00
102,103,103,David Lingmerth,82,56.3,67,119,-68,-11.00
103,104,104,Patrick Reed,94,56.29,85,151,-93,-1.00
104,105,105,Beau Hossler,104,56.28,112,199,-117,-12.00
105,106,106,C.T. Pan,104,56.25,90,160,-95,-19.00
106,107,107,Kiradech Aphibarnrat,51,56.16,41,73,-46,E
107,108,108,Michael Kim,74,56.1,46,82,-50,-7.00
108,109,109,Ryan Palmer,69,56.08,83,148,-89,-4.00
109,110,110,Chez Reavie,93,56.0,56,100,-63,-5.00
110,111,111,Ryan Blaum,81,55.88,76,136,-81,-14.00
111,112,112,Joel Dahmen,93,55.84,86,154,-91,-2.00
112,113,113,Luke List,98,55.79,130,233,-137,-4.00
113,114,114,Patton Kizzire,92,55.77,87,156,-91,-23.00
114,115,115,Shane Lowry,64,55.75,63,113,-66,+1.00
115,116,116,Bill Haas,76,55.74,68,122,-74,E
116,117,117,Grayson Murray,72,55.69,93,167,-97,+27.00
117,118,118,Matt Kuchar,88,55.65,64,115,-68,-15.00
118,T119,T119,Brett Stegmaier,67,55.56,50,90,-55,-16.00
119,T119,T119,Steve Wheatcroft,60,55.56,55,99,-57,-7.00
120,121,121,Jason Dufner,71,55.45,61,110,-63,-4.00
121,122,122,Daniel Summerhays,51,55.41,41,74,-42,-3.00
122,123,123,Martin Piller,79,55.37,67,121,-69,-3.00
123,T124,T124,Charles Howell III,104,55.33,83,150,-87,-22.00
124,T124,T124,Kevin Tway,110,55.33,135,244,-143,-8.00
125,126,126,J.J. Spaun,85,55.32,78,141,-81,-7.00
126,127,127,Fabián Gómez,88,55.3,73,132,-79,-7.00
127,T128,T128,Lucas Glover,65,55.24,58,105,-62,-4.00
128,T128,T128,Robert Streb,78,55.24,58,105,-60,-7.00
129,130,130,Kevin Streelman,94,55.06,98,178,-102,-13.00
130,131,131,Adam Schenk,86,54.9,84,153,-90,+4.00
131,132,132,Brian Harman,94,54.89,73,133,-78,-11.00
132,133,133,Tom Hoge,101,54.88,90,164,-95,-8.00
133,134,134,J.T. Poston,73,54.7,64,117,-66,+10.00
134,135,135,Brooks Koepka,64,54.61,77,141,-83,-3.00
135,136,136,Nicholas Lindheim,77,54.55,48,88,-48,-9.00
136,137,137,Keegan Bradley,98,54.45,104,191,-113,-7.00
137,138,138,Nick Watney,94,54.44,92,169,-97,-4.00
138,T139,T139,Matt Atkins,56,54.35,50,92,-54,+7.00
139,T139,T139,Tyrone Van Aswegen,101,54.35,75,138,-80,-14.00
140,141,141,Sean O'Hair,67,54.2,71,131,-75,-9.00
141,142,142,Derek Fathauer,84,54.07,73,135,-76,+8.00
142,143,143,Russell Knox,94,53.85,63,117,-68,-11.00
143,144,144,Whee Kim,93,53.77,57,106,-63,-26.00
144,145,145,Dominic Bozzelli,65,53.54,68,127,-73,+8.00
145,146,146,Zach Johnson,94,53.51,61,114,-66,-27.00
146,T147,T147,"Ted Potter, Jr.",87,53.33,64,120,-65,-19.00
147,T147,T147,Jonathan Randolph,71,53.33,56,105,-59,-10.00
148,T147,T147,Scott Stallings,96,53.33,88,165,-95,-10.00
149,150,150,Xinjun Zhang,81,53.08,69,130,-72,E
150,151,151,Brendan Steele,74,53.06,78,147,-82,+4.00
151,152,152,Ben Silverman,90,53.03,70,132,-74,-19.00
152,153,153,Scott Brown,102,53.02,79,149,-83,+3.00
153,154,154,Sam Ryder,82,52.83,84,159,-90,-5.00
154,155,155,Ethan Tracy,72,52.78,57,108,-62,-4.00
155,156,156,Hunter Mahan,67,52.59,61,116,-64,-10.00
156,157,157,Wesley Bryan,69,52.54,31,59,-32,-15.00
157,158,158,Bud Cauley,55,52.27,46,88,-46,-16.00
158,159,159,Corey Conners,97,52.23,82,157,-85,-23.00
159,160,160,Brandt Snedeker,84,52.14,61,117,-68,-23.00
160,161,161,Harris English,84,51.92,81,156,-88,+5.00
161,162,162,Jonas Blixt,67,51.89,55,106,-60,-4.00
162,163,163,Russell Henley,77,51.67,62,120,-66,-14.00
163,T164,T164,Greg Chalmers,56,51.52,34,66,-34,-10.00
164,T164,T164,Charl Schwartzel,65,51.52,51,99,-53,+3.00
165,166,166,Anirban Lahiri,82,51.47,70,136,-73,-7.00
166,T167,T167,Adam Hadwin,92,51.32,78,152,-82,-4.00
167,T167,T167,John Huh,94,51.32,78,152,-88,-7.00
168,169,169,Danny Lee,88,51.27,81,158,-85,+2.00
169,170,170,Ben Martin,64,51.24,62,121,-65,-3.00
170,171,171,Rob Oppenheim,74,51.22,42,82,-47,-15.00
171,172,172,Jhonattan Vegas,92,51.2,85,166,-89,-1.00
172,173,173,Chris Stroud,81,51.11,69,135,-71,+8.00
173,174,174,Talor Gooch,78,50.77,66,130,-71,+10.00
174,T175,T175,Chad Campbell,87,50.0,49,98,-56,-16.00
175,T175,T175,Charley Hoffman,87,50.0,82,164,-87,-4.00
176,T175,T175,Mackenzie Hughes,80,50.0,65,130,-67,-3.00
177,T175,T175,Sung Kang,89,50.0,64,128,-68,+8.00
178,T175,T175,Francesco Molinari,73,50.0,68,136,-73,-7.00
179,180,180,Abraham Ancer,98,49.46,92,186,-97,-19.00
180,181,181,Zecheng Dou,53,49.25,33,67,-34,+2.00
181,182,182,Trey Mullinax,75,48.61,70,144,-74,-6.00
182,183,183,Kyle Thompson,50,48.21,27,56,-27,+3.00
183,184,184,Retief Goosen,60,48.05,37,77,-39,-2.00
184,T185,T185,Andrew Putnam,97,47.62,70,147,-73,-11.00
185,T185,T185,Andrew Yun,51,47.62,30,63,-31,+12.00
186,187,187,Robert Garrigus,80,47.43,83,175,-88,+1.00
187,188,188,Kelly Kraft,94,47.06,56,119,-62,-12.00
188,189,189,Martin Flores,92,46.76,65,139,-67,-13.00
189,190,190,Andrew Landry,82,46.34,57,123,-62,-27.00
190,191,191,Roberto Díaz,72,46.24,43,93,-47,-12.00
191,192,192,Satoshi Kodaira,51,43.75,28,64,-32,+6.00
192,193,193,Rod Pampling,62,41.18,42,102,-42,-2.00
