,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
164,165,165,Branden Grace,67,11.0,11,100
165,166,166,Rob Oppenheim,74,10.92,13,119
166,167,167,Jon Rahm,71,10.89,11,101
167,168,168,Chez Reavie,93,10.81,8,74
168,169,169,Cameron Percy,56,10.67,8,75
169,170,170,Henrik Stenson,60,10.53,4,38
170,171,171,Lucas Glover,65,10.47,9,86
171,T172,T172,Jason Dufner,71,10.26,8,78
172,T172,T172,Retief Goosen,60,10.26,8,78
173,174,174,Alex Cejka,77,10.23,9,88
174,175,175,Graeme McDowell,67,10.11,9,89
175,176,176,Rickie Fowler,74,10.09,11,109
176,177,177,Robert Streb,78,9.89,9,91
177,178,178,Brian Gay,103,9.86,14,142
178,179,179,Pat Perez,82,9.78,9,92
179,180,180,Richy Werenski,98,9.73,11,113
180,T181,T181,Kyle Stanley,93,9.52,10,105
181,T181,T181,Tiger Woods,68,9.52,10,105
182,183,183,Brian Harman,94,9.38,9,96
183,184,184,Brett Stegmaier,67,9.3,8,86
184,185,185,Brice Garnett,99,9.15,14,153
185,186,186,Russell Henley,77,9.09,7,77
186,187,187,Austin Cook,107,8.82,12,136
187,188,188,Wesley Bryan,69,8.75,7,80
188,189,189,Matt Kuchar,88,7.78,7,90
189,190,190,Zecheng Dou,53,6.25,5,80
190,191,191,Satoshi Kodaira,51,5.97,4,67
191,192,192,Rafa Cabrera Bello,75,4.11,3,73
192,193,193,"Ted Potter, Jr.",87,3.45,4,116
