,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
46,47,47,Daniel Berger,81,62.34,144,87,-79,-6
47,48,48,Chris Stroud,81,62.21,135,82,-63,+8
48,49,49,Brandon Harkins,101,62.06,193,118,-113,+2
49,50,50,Charl Schwartzel,65,61.78,97,60,-48,+3
50,51,51,Tyler Duncan,97,61.51,171,107,-97,+2
51,52,52,Si Woo Kim,108,61.46,177,111,-94,+2
52,53,53,Branden Grace,67,61.45,102,64,-61,-6
53,54,54,Aaron Wise,90,61.35,173,109,-106,-3
54,55,55,Sam Ryder,82,61.24,158,100,-85,-5
55,56,56,Phil Mickelson,90,61.13,151,96,-103,-10
56,57,57,Shane Lowry,64,61.08,113,72,-61,+1
57,58,58,Billy Horschel,86,60.56,172,112,-112,-22
58,T59,T59,Abraham Ancer,98,60.39,186,122,-80,-19
59,T59,T59,Joel Dahmen,93,60.39,154,101,-80,-2
60,61,61,Marc Leishman,93,60.3,161,106,-90,-1
61,62,62,Denny McCarthy,71,60.12,104,69,-58,+4
62,63,63,Danny Lee,88,60.08,155,103,-71,+2
63,T64,T64,Rickie Fowler,74,59.82,131,88,-78,-8
64,T64,T64,Sean O'Hair,67,59.82,131,88,-65,-9
65,66,66,Hudson Swafford,73,59.6,118,80,-69,-3
66,67,67,Stephan Jaeger,81,59.56,134,91,-81,-9
67,68,68,Matt Atkins,56,59.48,91,62,-48,+7
68,69,69,Dominic Bozzelli,65,59.35,127,87,-64,+8
69,70,70,Cameron Smith,85,59.26,128,88,-74,-16
70,71,71,Adam Scott,78,59.24,125,86,-74,-7
71,72,72,Peter Uihlein,83,59.0,141,98,-81,-14
72,73,73,Steve Wheatcroft,60,58.93,99,69,-56,-7
73,74,74,Paul Casey,74,58.48,100,71,-65,-8
74,75,75,Lucas Glover,65,58.33,105,75,-53,-4
75,76,76,Scott Stallings,96,58.16,164,118,-80,-10
76,77,77,Emiliano Grillo,94,58.1,147,106,-81,-17
77,78,78,Rory Sabbatini,91,58.05,155,112,-97,-16
78,79,79,Adam Hadwin,92,58.02,152,110,-72,-4
79,80,80,Jonathan Byrd,70,57.89,99,72,-59,-3
80,81,81,James Hahn,85,57.48,146,108,-96,E
81,T82,T82,Lanto Griffin,80,57.42,120,89,-68,+1
82,T82,T82,Russell Henley,77,57.42,120,89,-52,-14
83,84,84,Talor Gooch,78,57.27,130,97,-62,+10
84,85,85,Anirban Lahiri,82,57.2,135,101,-64,-7
85,86,86,C.T. Pan,104,57.14,160,120,-84,-19
86,87,87,J.T. Poston,73,57.07,117,88,-61,+10
87,88,88,Seamus Power,86,57.02,138,104,-76,-17
88,89,89,Tiger Woods,68,57.0,114,86,-73,-13
89,90,90,Nick Taylor,94,56.99,155,117,-86,-11
90,91,91,Rod Pampling,62,56.98,102,77,-25,-2
91,92,92,Patrick Rodgers,97,56.92,148,112,-79,+1
92,93,93,Ben Martin,64,56.81,121,92,-56,-3
93,94,94,Kyle Stanley,93,56.8,142,108,-80,-12
94,95,95,Beau Hossler,104,56.73,198,151,-107,-12
95,96,96,Hunter Mahan,67,56.72,114,87,-55,-10
96,97,97,Nick Watney,94,56.71,169,129,-86,-4
97,98,98,Rafa Cabrera Bello,75,56.6,90,69,-60,-8
98,T99,T99,Corey Conners,97,56.52,156,120,-77,-23
99,T99,T99,Cameron Percy,56,56.52,78,60,-52,-10
100,101,101,J.J. Spaun,85,56.4,141,109,-73,-7
101,102,102,Ryan Moore,78,56.33,138,107,-77,-8
102,103,103,Kevin Streelman,94,55.97,178,140,-94,-13
103,104,104,Jason Day,75,55.95,94,74,-66,-10
104,105,105,Graeme McDowell,67,55.93,99,78,-50,-11
105,106,106,Troy Merritt,89,55.8,154,122,-89,-8
106,107,107,Charles Howell III,104,55.35,150,121,-81,-22
107,108,108,Jonas Blixt,67,55.26,105,85,-53,-4
108,109,109,Aaron Baddeley,84,55.21,143,116,-87,-2
109,110,110,Derek Fathauer,84,55.14,134,109,-68,+8
110,111,111,Mackenzie Hughes,80,55.13,129,105,-61,-3
111,112,112,Shawn Stefani,76,54.95,122,100,-69,-18
112,113,113,Martin Laird,73,54.94,128,105,-73,-8
113,114,114,Patton Kizzire,92,54.93,156,128,-78,-23
114,115,115,Conrad Shindler,60,54.79,80,66,-54,-1
115,116,116,Jason Dufner,71,54.73,110,91,-58,-4
116,117,117,Tom Hoge,101,54.49,164,137,-82,-8
117,118,118,Stewart Cink,87,54.15,124,105,-73,+2
118,119,119,Martin Flores,92,54.09,139,118,-59,-13
119,120,120,Ryan Blaum,81,53.97,136,116,-75,-14
120,121,121,Brian Harman,94,53.85,133,114,-70,-11
121,122,122,Blayne Barber,69,53.66,110,95,-69,-2
122,123,123,Scott Piercy,84,53.51,122,106,-76,-4
123,124,124,Ethan Tracy,72,53.5,107,93,-50,-4
124,125,125,Chesson Hadley,103,53.45,178,155,-107,-22
125,126,126,Richy Werenski,98,53.23,140,123,-87,-12
126,127,127,Austin Cook,107,53.18,184,162,-105,-1
127,128,128,Andrew Putnam,97,53.07,147,130,-66,-11
128,129,129,Bud Cauley,55,53.01,88,78,-40,-16
129,130,130,Webb Simpson,95,52.99,142,126,-85,-16
130,131,131,Brett Stegmaier,67,52.94,90,80,-48,-16
131,132,132,Nate Lashley,51,52.71,68,61,-39,-4
132,133,133,Scott Brown,102,52.65,149,134,-70,+3
133,134,134,Bill Haas,76,52.59,122,110,-69,E
134,135,135,Jimmy Walker,81,52.54,124,112,-66,+7
135,136,136,Sung Kang,89,52.24,128,117,-59,+8
136,137,137,Zecheng Dou,53,51.94,67,62,-26,+2
137,138,138,John Huh,94,51.88,152,141,-78,-7
138,139,139,Retief Goosen,60,51.68,77,72,-29,-2
139,140,140,Fabián Gómez,88,51.56,132,124,-72,-7
140,141,141,Ollie Schniederjans,91,50.75,136,132,-71,-19
141,142,142,Brice Garnett,99,50.69,147,143,-82,-5
142,143,143,Tyrrell Hatton,58,50.68,75,73,-42,-17
143,144,144,Ricky Barnes,65,50.6,85,83,-61,-1
144,145,145,Andrew Yun,51,50.4,63,62,-25,+12
145,146,146,Robert Streb,78,50.24,105,104,-59,-7
146,T147,T147,Alex Cejka,77,50.0,106,106,-64,-9
147,T147,T147,Daniel Summerhays,51,50.0,74,74,-36,-3
148,149,149,Ian Poulter,73,49.71,86,87,-42,-19
149,150,150,Martin Piller,79,49.59,121,123,-62,-3
150,151,151,Jonathan Randolph,71,49.29,104,107,-47,-10
151,152,152,Chris Kirk,108,49.28,170,175,-100,-34
152,153,153,Kevin Na,91,49.15,116,120,-76,-10
153,154,154,William McGirt,84,49.03,126,131,-71,-9
154,155,155,Roberto Díaz,72,48.69,93,98,-43,-12
155,156,156,Peter Malnati,87,48.53,132,140,-71,-10
156,157,157,Brandt Snedeker,84,48.35,117,125,-59,-23
157,158,158,David Lingmerth,82,48.18,119,128,-58,-11
158,159,159,Louis Oosthuizen,62,47.77,75,82,-41,-9
159,160,160,Satoshi Kodaira,51,47.76,64,70,-24,+6
160,161,161,Pat Perez,82,47.64,91,100,-50,-13
161,162,162,Ben Silverman,90,47.46,131,145,-62,-19
162,T163,T163,Kelly Kraft,94,46.3,119,138,-49,-12
163,T163,T163,Chez Reavie,93,46.3,100,116,-57,-5
164,165,165,Kevin Kisner,89,46.05,105,123,-66,-13
165,166,166,Vaughn Taylor,83,45.82,115,136,-62,-30
166,167,167,Russell Knox,94,45.7,117,139,-62,-11
167,168,168,Matt Kuchar,88,45.63,115,137,-63,-15
168,169,169,Andrew Landry,82,45.49,121,145,-48,-27
169,170,170,Tyrone Van Aswegen,101,45.39,138,166,-70,-14
170,171,171,"Ted Potter, Jr.",87,45.28,120,145,-58,-19
171,172,172,Michael Thompson,62,45.27,91,110,-55,-14
172,173,173,Zach Johnson,94,45.24,114,138,-59,-27
173,174,174,J.J. Henry,81,44.69,101,125,-57,-8
174,175,175,Cameron Tringale,67,44.04,85,108,-49,+1
175,176,176,D.A. Points,63,43.48,80,104,-46,+11
176,177,177,Michael Kim,74,43.39,82,107,-45,-7
177,178,178,Zac Blair,64,43.27,74,97,-45,-11
178,179,179,Kyle Thompson,50,42.42,56,76,-23,+3
179,180,180,Rob Oppenheim,74,41.84,82,114,-42,-15
180,181,181,Johnson Wagner,75,41.55,86,121,-57,-23
181,182,182,Chad Campbell,87,41.53,98,138,-48,-16
182,183,183,Nicholas Lindheim,77,41.31,88,125,-41,-9
183,184,184,Ben Crane,65,41.1,67,96,-40,-10
184,185,185,Greg Chalmers,56,40.99,66,95,-26,-10
185,186,186,Billy Hurley III,70,39.9,81,122,-45,-11
186,187,187,Whee Kim,93,39.26,106,164,-55,-26
187,188,188,David Hearn,66,38.2,68,110,-42,-9
188,189,189,Brian Gay,103,37.22,118,199,-74,-41
189,190,190,Ryan Armour,109,35.8,126,226,-71,-55
190,191,191,Wesley Bryan,69,32.96,59,120,-26,-15
191,192,192,Brian Stuard,103,28.96,95,233,-49,-33
192,193,193,Jim Furyk,50,27.97,40,103,-23,-21
