,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
138,T136,T136,Ian Poulter,73,25.5,78864.0,86
139,T136,T136,Andrew Yun,51,25.5,57826.0,63
140,T141,T141,Rickie Fowler,74,25.6,121415.0,132
141,T141,T141,Anirban Lahiri,82,25.6,125311.0,136
142,T141,T141,Tyrone Van Aswegen,101,25.6,127263.0,138
143,144,144,Zach Johnson,94,25.7,105340.0,114
144,T145,T145,Daniel Berger,81,25.8,134758.0,145
145,T145,T145,Zac Blair,64,25.8,68848.0,74
146,T145,T145,Derek Fathauer,84,25.8,125399.0,135
147,T145,T145,Lanto Griffin,80,25.8,111300.0,120
148,T145,T145,Trey Mullinax,75,25.8,133863.0,144
149,T145,T145,Charl Schwartzel,65,25.8,91912.0,99
150,T145,T145,Ben Silverman,90,25.8,122502.0,132
151,T145,T145,Hudson Swafford,73,25.8,109685.0,118
152,T153,T153,Stewart Cink,87,26.0,116145.0,124
153,T153,T153,Harris English,84,26.0,145737.0,156
154,T153,T153,Brandon Harkins,101,26.0,185073.0,198
155,T153,T153,Michael Kim,74,26.0,76611.0,82
156,T153,T153,Matt Kuchar,88,26.0,107695.0,115
157,T153,T153,Andrew Putnam,97,26.0,137554.0,147
158,159,159,Jonas Blixt,67,26.1,99624.0,106
159,T160,T160,Matt Every,79,26.2,134975.0,143
160,T160,T160,Adam Hadwin,92,26.2,143591.0,152
161,T160,T160,Adam Schenk,86,26.2,144521.0,153
162,163,163,C.T. Pan,104,26.3,151718.0,160
163,T164,T164,Bud Cauley,55,26.4,83743.0,88
164,T164,T164,Beau Hossler,104,26.4,189283.0,199
165,T166,T166,Peter Malnati,87,26.6,126234.0,132
166,T166,T166,Martin Piller,79,26.6,116045.0,121
167,T166,T166,Brandt Snedeker,84,26.6,111861.0,117
168,T166,T166,Chris Stroud,81,26.6,129498.0,135
169,170,170,Si Woo Kim,108,26.7,170423.0,177
170,171,171,Vaughn Taylor,83,26.8,112102.0,116
171,172,172,Denny McCarthy,71,26.9,100756.0,104
172,173,173,"Ted Potter, Jr.",87,27.0,116626.0,120
173,T174,T174,David Lingmerth,82,27.1,116118.0,119
174,T174,T174,Louis Oosthuizen,62,27.1,73223.0,75
175,T176,T176,Danny Lee,88,27.2,154477.0,158
176,T176,T176,Jonathan Randolph,71,27.2,102843.0,105
177,178,178,Kelly Kraft,94,27.3,116777.0,119
178,179,179,Whee Kim,93,27.5,104933.0,106
179,T180,T180,Ryan Blaum,81,27.6,134973.0,136
180,T180,T180,Wesley Bryan,69,27.6,58645.0,59
181,T182,T182,Roberto Díaz,72,27.8,92948.0,93
182,T182,T182,Brian Stuard,103,27.8,94990.0,95
183,T182,T182,Daniel Summerhays,51,27.8,74114.0,74
184,185,185,D.A. Points,63,27.9,80490.0,80
185,186,186,Billy Hurley III,70,28.0,81664.0,81
186,187,187,Cameron Tringale,67,28.1,85967.0,85
187,188,188,Cody Gribble,71,28.8,128521.0,124
188,189,189,Scott Brown,102,28.9,155169.0,149
189,190,190,Zecheng Dou,53,29.1,70176.0,67
190,191,191,Ben Martin,64,29.2,127283.0,121
191,192,192,Rod Pampling,62,30.3,111333.0,102
192,193,193,Greg Chalmers,56,32.0,76013.0,66
