,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
64,T64,65,Troy Merritt,89,133,Barbasol Championship,4,8
65,T66,66,Martin Laird,73,132,THE PLAYERS Championship,1,4
66,T66,21,Jimmy Walker,81,132,Arnold Palmer Invitational presented by Mastercard,1,18
67,T68,61,Hideki Matsuyama,75,131,World Golf Championships-Bridgestone Invitational,1,16
68,T68,22,Wesley Bryan,69,131,Fort Worth Invitational,2,6
69,T70,70,Brian Stuard,103,129,the Memorial Tournament presented by Nationwide,3,5
70,T70,71,Zecheng Dou,53,129,AT&T Pebble Beach Pro-Am,4,2
71,72,72,Fabián Gómez,88,128,Houston Open,2,1
72,73,73,Cody Gribble,71,127,AT&T Byron Nelson,3,15
73,T74,74,Ryan Blaum,81,125,Shriners Hospitals for Children Open,4,7
74,T74,75,Cameron Tringale,67,125,Wyndham Championship,1,4
75,T74,76,Kevin Tway,110,125,Dell Technologies Championship,2,13
76,77,77,Kiradech Aphibarnrat,51,123,The Honda Classic,3,1
77,T78,18,Justin Thomas,91,121,World Golf Championships-Mexico Championship,4,18
78,T78,79,Ethan Tracy,72,121,Valero Texas Open,1,12
79,T78,80,Chris Stroud,81,121,Houston Open,2,10
80,T78,81,Russell Knox,94,121,Fort Worth Invitational,3,3
81,T82,82,Derek Fathauer,84,120,Genesis Open,3,3
82,T82,83,Justin Rose,70,120,Valspar Championship,3,11
83,T82,84,Ben Crane,65,120,Houston Open,2,3
84,T82,85,Patton Kizzire,92,120,The RSM Classic,1,10
85,86,86,Tyler Duncan,97,119,Safeway Open,1,10
86,87,87,Jason Dufner,71,118,U.S. Open,2,9
87,88,88,Brittany Lincicome,2,116,Barbasol Championship,2,17
88,T89,51,J.B. Holmes,77,115,FedEx St. Jude Classic,2,2
89,T89,65,Troy Merritt,89,115,AT&T Pebble Beach Pro-Am,1,11
90,T91,74,Ryan Blaum,81,114,The Honda Classic,2,2
91,T91,12,Patrick Cantlay,87,114,THE NORTHERN TRUST,1,3
92,T93,23,Dustin Johnson,77,112,World Golf Championships-Mexico Championship,2,9
93,T93,86,Tyler Duncan,97,112,AT&T Byron Nelson,3,8
94,T95,82,Derek Fathauer,84,111,John Deere Classic,3,10
95,T95,23,Dustin Johnson,77,111,FedEx St. Jude Classic,2,1
96,T95,24,Webb Simpson,95,111,World Golf Championships-Bridgestone Invitational,2,16
97,T98,98,Scott Piercy,84,110,Wyndham Championship,4,10
98,T98,99,Andrew Landry,82,110,Sanderson Farms Championship,1,14
99,T100,81,Russell Knox,94,109,Dell Technologies Championship,1,15
100,T100,101,Andrew Putnam,97,109,Valero Texas Open,1,11
101,T100,102,Ollie Schniederjans,91,109,Fort Worth Invitational,3,6
102,T100,103,Aaron Baddeley,84,109,Barbasol Championship,2,10
103,T104,31,Corey Conners,97,105,Wells Fargo Championship,4,7
104,T104,105,Ryan Armour,109,105,Dell Technologies Championship,1,18
105,T106,70,Brian Stuard,103,104,Valero Texas Open,4,11
106,T106,107,Tyrrell Hatton,58,104,Wells Fargo Championship,1,8
107,T108,108,Dean Burmester,8,103,U.S. Open,1,18
108,T108,109,Daniel Berger,81,103,Dell Technologies Championship,4,10
109,T108,110,John Peterson,36,103,Wells Fargo Championship,1,8
110,T108,51,J.B. Holmes,77,103,Valspar Championship,3,11
111,T112,15,Tony Finau,105,100,World Golf Championships-Mexico Championship,1,6
112,T112,113,Bryson DeChambeau,93,100,TOUR Championship,3,17
113,T114,99,Andrew Landry,82,99,John Deere Classic,3,6
114,T114,105,Ryan Armour,109,99,Fort Worth Invitational,3,7
115,T114,116,Steve Marino,17,99,Valero Texas Open,2,2
116,117,117,Jonathan Byrd,70,98,Barbasol Championship,4,10
117,T118,118,Michael Thompson,62,97,Quicken Loans National,1,1
118,T118,119,Peter Uihlein,83,97,World Golf Championships-Mexico Championship,3,6
119,120,83,Justin Rose,70,96,THE PLAYERS Championship,1,12
120,121,121,Tiger Woods,68,95,the Memorial Tournament presented by Nationwide,2,11
121,T122,122,Zac Blair,64,94,CareerBuilder Challenge,2,12
122,T122,123,Michael Kim,74,94,Valero Texas Open,2,2
123,124,124,Chris Kirk,108,93,RBC Canadian Open,2,13
124,125,86,Tyler Duncan,97,89,John Deere Classic,2,14
125,126,45,Joel Dahmen,93,87,Quicken Loans National,1,13
126,127,87,Jason Dufner,71,86,World Golf Championships-Mexico Championship,2,16
127,T128,128,Beau Hossler,104,85,Quicken Loans National,4,5
128,T128,129,Aaron Wise,90,85,BMW Championship,2,13
129,130,130,Robert Streb,78,84,Wyndham Championship,2,18
130,131,14,"Ted Potter, Jr.",87,83,THE PLAYERS Championship,3,4
131,T132,132,Brandon Harkins,101,80,Valero Texas Open,2,8
132,T132,79,Ethan Tracy,72,80,RBC Canadian Open,3,1
133,134,134,C.T. Pan,104,77,THE PLAYERS Championship,1,9
134,T135,135,Sean McCarty,5,72,John Deere Classic,2,10
135,T135,23,Dustin Johnson,77,72,Sentry Tournament of Champions,3,12
136,137,76,Kevin Tway,110,70,AT&T Byron Nelson,4,15
137,T138,139,Bud Cauley,55,69,Farmers Insurance Open,3,6
138,T138,123,Michael Kim,74,69,Safeway Open,1,18
139,140,140,Steve Stricker,42,68,RBC Canadian Open,3,2
140,141,141,Harold Varner III,91,67,THE PLAYERS Championship,2,11
141,142,142,Byeong Hun An,86,63,Houston Open,2,12
142,T143,143,Ernie Els,40,62,Houston Open,3,13
143,T143,144,Dylan Meyer,28,62,Quicken Loans National,1,1
144,T145,145,Alex Noren,67,61,BMW Championship,2,9
145,T145,44,Richy Werenski,98,61,CareerBuilder Challenge,4,8
146,T145,147,Ryan Palmer,69,61,THE NORTHERN TRUST,4,3
147,T148,74,Ryan Blaum,81,59,THE PLAYERS Championship,1,9
148,T148,22,Wesley Bryan,69,59,the Memorial Tournament presented by Nationwide,3,10
149,T148,26,Brice Garnett,99,59,RBC Heritage,1,3
150,151,151,Jonathan Randolph,71,58,AT&T Pebble Beach Pro-Am,4,4
151,152,85,Patton Kizzire,92,55,Sony Open in Hawaii,4,10
152,153,153,Cameron Smith,85,54,U.S. Open,2,16
153,154,154,Jimmy Stanger,8,53,Shriners Hospitals for Children Open,1,15
154,T155,63,Rory Sabbatini,91,52,THE PLAYERS Championship,1,1
155,T155,18,Justin Thomas,91,52,BMW Championship,1,6
156,T157,157,Ben Silverman,90,50,A Military Tribute at The Greenbrier,1,17
157,T157,158,Billy Hurley III,70,50,RBC Heritage,2,9
158,T159,159,Billy Horschel,86,49,Arnold Palmer Invitational presented by Mastercard,4,4
159,T159,82,Derek Fathauer,84,49,Houston Open,2,12
160,161,128,Beau Hossler,104,48,Wells Fargo Championship,4,9
161,162,162,Scott Brown,102,47,Sony Open in Hawaii,3,10
162,163,159,Billy Horschel,86,46,Sentry Tournament of Champions,4,17
163,164,164,Si Woo Kim,108,45,Valero Texas Open,3,8
164,165,157,Ben Silverman,90,42,The RSM Classic,4,11
165,166,166,Adam Hadwin,92,41,Genesis Open,2,17
166,T167,22,Wesley Bryan,69,40,A Military Tribute at The Greenbrier,4,16
167,T167,168,Roberto Díaz,72,40,Wells Fargo Championship,2,15
168,T167,169,Matt Jones,70,40,Sanderson Farms Championship,2,11
169,T167,170,Dominic Bozzelli,65,40,Wyndham Championship,2,5
170,T167,18,Justin Thomas,91,40,THE PLAYERS Championship,1,5
171,T172,172,Alex Kang,6,39,Shriners Hospitals for Children Open,4,13
172,T172,49,John Huh,94,39,Arnold Palmer Invitational presented by Mastercard,3,4
173,T172,174,Charles Howell III,104,39,FedEx St. Jude Classic,4,12
174,T175,54,Danny Lee,88,38,Valspar Championship,2,5
175,T175,45,Joel Dahmen,93,38,Barbasol Championship,4,12
176,177,177,Kevin Streelman,94,37,Valero Texas Open,4,13
177,T178,85,Patton Kizzire,92,36,Fort Worth Invitational,2,15
178,T178,179,Talor Gooch,78,36,Wells Fargo Championship,2,8
179,T180,180,Brian Norman,2,35,AT&T Byron Nelson,2,7
180,T180,181,Kevin Chappell,77,35,Arnold Palmer Invitational presented by Mastercard,4,10
181,T180,4,Marc Leishman,93,35,Arnold Palmer Invitational presented by Mastercard,2,12
182,T183,183,Patrick Reed,94,34,Farmers Insurance Open,3,15
183,T183,157,Ben Silverman,90,34,The RSM Classic,4,7
184,T183,86,Tyler Duncan,97,34,U.S. Open,2,14
185,T183,186,Keith Mitchell,99,34,Valero Texas Open,1,1
186,T183,61,Hideki Matsuyama,75,34,Wells Fargo Championship,2,8
187,T188,24,Webb Simpson,95,33,THE PLAYERS Championship,3,11
188,T188,183,Patrick Reed,94,33,TOUR Championship,4,14
189,T188,190,Jordan Spieth,81,33,Genesis Open,1,5
190,T188,38,Johnson Wagner,75,33,Wells Fargo Championship,4,7
191,T188,192,Jason Day,75,33,Wells Fargo Championship,2,10
192,T193,73,Cody Gribble,71,32,AT&T Byron Nelson,3,14
193,T193,45,Joel Dahmen,93,32,Shriners Hospitals for Children Open,1,6
194,T193,10,HaoTong Li,42,32,Genesis Open,4,15
195,T193,196,Retief Goosen,60,32,Genesis Open,4,4
196,T193,197,Zach Johnson,94,32,World Golf Championships-Bridgestone Invitational,4,8
197,T193,74,Ryan Blaum,81,32,RBC Heritage,2,2
198,T193,76,Kevin Tway,110,32,Travelers Championship,2,8
199,T193,54,Danny Lee,88,32,THE NORTHERN TRUST,1,3
