,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
50,51,51,Rod Pampling,62,15.89,24,151
51,52,52,Patrick Reed,94,15.87,43,271
52,53,53,Patrick Cantlay,87,15.86,36,227
53,54,54,Si Woo Kim,108,15.85,45,284
54,55,55,Chris Kirk,108,15.72,50,318
55,56,56,Patton Kizzire,92,15.69,51,325
56,57,57,Xinjun Zhang,81,15.59,29,186
57,58,58,Tyrrell Hatton,58,15.54,23,148
58,59,59,Shawn Stefani,76,15.51,38,245
59,60,60,Brooks Koepka,64,15.49,35,226
60,61,61,Billy Horschel,86,15.45,36,233
61,62,62,Jhonattan Vegas,92,15.44,42,272
62,63,63,Greg Chalmers,56,15.43,25,162
63,64,64,Danny Lee,88,15.42,35,227
64,65,65,Peter Uihlein,83,15.38,44,286
65,66,66,Sam Saunders,80,15.36,41,267
66,67,67,Tyler Duncan,97,15.29,39,255
67,68,68,C.T. Pan,104,15.23,37,243
68,69,69,Cody Gribble,71,15.22,35,230
69,T70,T70,Aaron Baddeley,84,15.08,46,305
70,T70,T70,Chesson Hadley,103,15.08,46,305
71,T70,T70,J.J. Henry,81,15.08,30,199
72,T73,T73,Hunter Mahan,67,14.92,27,181
73,T73,T73,William McGirt,84,14.92,44,295
74,75,75,Ryan Palmer,69,14.88,32,215
75,76,76,Corey Conners,97,14.87,40,269
76,77,77,Charles Howell III,104,14.84,38,256
77,T78,T78,Mackenzie Hughes,80,14.83,35,236
78,T78,T78,Scott Stallings,96,14.83,47,317
79,80,80,Brandon Harkins,101,14.82,55,371
80,T81,T81,Troy Merritt,89,14.81,36,243
81,T81,T81,Henrik Stenson,60,14.81,12,81
82,83,83,Chad Campbell,87,14.8,33,223
83,84,84,Brendan Steele,74,14.74,28,190
84,85,85,Denny McCarthy,71,14.72,24,163
85,86,86,Kiradech Aphibarnrat,51,14.71,15,102
86,87,87,Peter Malnati,87,14.69,42,286
87,88,88,Rory McIlroy,64,14.57,29,199
88,T89,T89,Kevin Chappell,77,14.56,30,206
89,T89,T89,Andrew Putnam,97,14.56,45,309
90,T91,T91,Ryan Blaum,81,14.45,38,263
91,T91,T91,Adam Scott,78,14.45,25,173
92,93,93,Adam Schenk,86,14.44,39,270
93,94,94,Ollie Schniederjans,91,14.37,50,348
94,T95,T95,Matt Every,79,14.34,37,258
95,T95,T95,Aaron Wise,90,14.34,35,244
96,T97,T97,Keegan Bradley,98,14.29,31,217
97,T97,T97,Bill Haas,76,14.29,37,259
98,T97,T97,Sean O'Hair,67,14.29,32,224
99,T97,T97,Johnson Wagner,75,14.29,27,189
100,101,101,Webb Simpson,95,14.24,41,288
101,T102,T102,Grayson Murray,72,14.22,33,232
102,T102,T102,Chris Stroud,81,14.22,31,218
103,104,104,Brian Stuard,103,14.16,32,226
104,105,105,Andrew Yun,51,14.09,21,149
105,106,106,Kevin Streelman,94,14.04,33,235
106,107,107,Kelly Kraft,94,13.93,34,244
107,108,108,Blayne Barber,69,13.86,28,202
108,109,109,Jimmy Walker,81,13.82,38,275
109,110,110,Alex Cejka,77,13.79,28,203
110,111,111,Tom Hoge,101,13.77,38,276
111,112,112,Tommy Fleetwood,73,13.74,25,182
112,113,113,Daniel Berger,81,13.71,27,197
113,114,114,Seamus Power,86,13.68,39,285
114,115,115,Matt Jones,70,13.59,25,184
115,116,116,Whee Kim,93,13.57,35,258
116,117,117,Alex Noren,67,13.53,23,170
117,118,118,Andrew Landry,82,13.52,33,244
118,119,119,Conrad Shindler,60,13.51,20,148
119,120,120,Talor Gooch,78,13.48,38,282
120,121,121,Ian Poulter,73,13.46,21,156
121,122,122,Graeme McDowell,67,13.41,22,164
122,123,123,Robert Streb,78,13.36,33,247
123,124,124,Michael Kim,74,13.27,28,211
124,T125,T125,Nick Taylor,94,13.24,36,272
125,T125,T125,Ethan Tracy,72,13.24,29,219
126,127,127,Tyrone Van Aswegen,101,13.21,42,318
127,128,128,John Huh,94,13.19,36,273
128,129,129,Ben Crane,65,13.16,20,152
129,130,130,Xander Schauffele,96,13.13,34,259
130,131,131,Byeong Hun An,86,13.06,35,268
131,132,132,Martin Flores,92,13.04,39,299
132,133,133,Austin Cook,107,13.01,35,269
133,T134,T134,Matt Kuchar,88,12.92,27,209
134,T134,T134,Jon Rahm,71,12.92,23,178
135,136,136,Rob Oppenheim,74,12.89,29,225
136,137,137,Scott Brown,102,12.87,39,303
137,138,138,J.J. Spaun,85,12.83,29,226
138,139,139,Bronson Burgoon,69,12.76,25,196
139,140,140,Ben Silverman,90,12.74,33,259
140,141,141,Francesco Molinari,73,12.73,21,165
141,142,142,Pat Perez,82,12.72,22,173
142,143,143,Roberto Díaz,72,12.68,27,213
143,144,144,Nicholas Lindheim,77,12.66,30,237
144,T145,T145,Jason Dufner,71,12.65,21,166
145,T145,T145,Retief Goosen,60,12.65,21,166
146,147,147,Ryan Moore,78,12.64,22,174
147,T148,T148,Fabián Gómez,88,12.6,32,254
148,T148,T148,Scott Piercy,84,12.6,31,246
149,T150,T150,Adam Hadwin,92,12.57,24,191
150,T150,T150,Russell Knox,94,12.57,24,191
151,152,152,Harold Varner III,91,12.54,37,295
152,153,153,Steve Wheatcroft,60,12.5,18,144
153,154,154,Jonathan Randolph,71,12.44,27,217
154,155,155,Zach Johnson,94,12.39,28,226
155,156,156,Vaughn Taylor,83,12.32,26,211
156,157,157,Richy Werenski,98,12.18,29,238
157,T158,T158,Michael Thompson,62,12.12,20,165
158,T158,T158,Tiger Woods,68,12.12,24,198
159,160,160,Jason Day,75,12.04,23,191
160,161,161,Sung Kang,89,11.94,32,268
161,162,162,Lucas Glover,65,11.92,18,151
162,163,163,David Hearn,66,11.9,20,168
163,164,164,Billy Hurley III,70,11.84,27,228
164,165,165,Hideki Matsuyama,75,11.82,24,203
165,166,166,James Hahn,85,11.68,25,214
166,167,167,Zac Blair,64,11.64,22,189
167,168,168,Rickie Fowler,74,11.58,22,190
168,169,169,Kevin Na,91,11.57,28,242
169,T170,T170,J.T. Poston,73,11.56,26,225
170,T170,T170,Chez Reavie,93,11.56,17,147
171,T170,T170,Kyle Stanley,93,11.56,20,173
172,173,173,Patrick Rodgers,97,11.29,28,248
173,174,174,Cameron Tringale,67,11.26,26,231
174,175,175,Kevin Kisner,89,11.11,23,207
175,176,176,Brian Harman,94,11.0,23,209
176,177,177,Louis Oosthuizen,62,10.96,16,146
177,178,178,Brice Garnett,99,10.95,31,283
178,179,179,Brett Stegmaier,67,10.88,21,193
179,180,180,Anirban Lahiri,82,10.76,27,251
180,181,181,Daniel Summerhays,51,10.65,18,169
181,182,182,Marc Leishman,93,10.57,28,265
182,183,183,Brian Gay,103,10.51,27,257
183,184,184,Wesley Bryan,69,10.45,21,201
184,185,185,Martin Piller,79,10.31,27,262
185,186,186,Ben Martin,64,10.16,19,187
186,187,187,Zecheng Dou,53,10.06,17,169
187,T188,T188,Rafa Cabrera Bello,75,10.0,14,140
188,T188,T188,Branden Grace,67,10.0,17,170
189,190,190,Russell Henley,77,9.8,15,153
190,191,191,Shane Lowry,64,9.44,17,180
191,192,192,"Ted Potter, Jr.",87,9.27,23,248
192,193,193,Satoshi Kodaira,51,7.2,9,125
