,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
83,T83,T83,Peter Uihlein,83,22.58,170,753
84,85,85,Ben Martin,64,22.57,167,740
85,T86,T86,Shane Lowry,64,22.54,151,670
86,T86,T86,Johnson Wagner,75,22.54,167,741
87,88,88,Daniel Berger,81,22.45,187,833
88,89,89,Chez Reavie,93,22.44,193,860
89,90,90,Patrick Reed,94,22.43,170,758
90,91,91,Patton Kizzire,92,22.4,213,951
91,92,92,Robert Streb,78,22.39,163,728
92,93,93,"Ted Potter, Jr.",87,22.36,233,1042
93,T94,T94,Anirban Lahiri,82,22.34,187,837
94,T94,T94,Keith Mitchell,99,22.34,227,1016
95,96,96,Ian Poulter,73,22.32,152,681
96,97,97,Steve Wheatcroft,60,22.28,139,624
97,98,98,Si Woo Kim,108,22.27,218,979
98,T99,T99,Adam Hadwin,92,22.25,200,899
99,T99,T99,Nicholas Lindheim,77,22.25,170,764
100,101,101,Jason Dufner,71,22.21,155,698
101,102,102,C.T. Pan,104,22.2,248,1117
102,103,103,Abraham Ancer,98,22.18,240,1082
103,104,104,J.B. Holmes,77,22.17,186,839
104,105,105,Byeong Hun An,86,22.15,204,921
105,106,106,Ethan Tracy,72,22.09,148,670
106,107,107,Talor Gooch,78,22.07,166,752
107,T108,T108,Paul Casey,74,22.01,140,636
108,T108,T108,Seamus Power,86,22.01,177,804
109,T108,T108,Cameron Smith,85,22.01,164,745
110,111,111,Stewart Cink,87,22.0,191,868
111,112,112,Conrad Shindler,60,21.94,131,597
112,113,113,Martin Flores,92,21.93,193,880
113,114,114,Luke List,98,21.9,198,904
114,115,115,James Hahn,85,21.86,202,924
115,116,116,Blayne Barber,69,21.85,177,810
116,117,117,Corey Conners,97,21.73,228,1049
117,T118,T118,Pat Perez,82,21.72,149,686
118,T118,T118,Hudson Swafford,73,21.72,154,709
119,120,120,Lanto Griffin,80,21.67,158,729
120,121,121,Patrick Rodgers,97,21.65,205,947
121,T122,T122,Jhonattan Vegas,92,21.61,166,768
122,T122,T122,Xinjun Zhang,81,21.61,164,759
123,124,124,Sean O'Hair,67,21.59,155,718
124,125,125,Andrew Landry,82,21.55,209,970
125,126,126,Danny Lee,88,21.53,197,915
126,127,127,Nick Taylor,94,21.48,203,945
127,128,128,Ryan Armour,109,21.46,305,1421
128,T129,T129,Scott Brown,102,21.44,223,1040
129,T129,T129,Tyler Duncan,97,21.44,238,1110
130,131,131,Kevin Streelman,94,21.38,241,1127
131,132,132,Andrew Putnam,97,21.36,208,974
132,133,133,Robert Garrigus,80,21.34,178,834
133,T134,T134,Harris English,84,21.3,184,864
134,T134,T134,Scott Stallings,96,21.3,213,1000
135,136,136,Sung Kang,89,21.27,178,837
136,137,137,Lucas Glover,65,21.21,130,613
137,138,138,Bud Cauley,55,21.2,113,533
138,139,139,Henrik Stenson,60,21.17,141,666
139,140,140,Tyrone Van Aswegen,101,21.15,224,1059
140,T141,T141,Matt Kuchar,88,21.14,185,875
141,T141,T141,Ryan Moore,78,21.14,197,932
142,143,143,Michael Kim,74,21.13,138,653
143,144,144,Derek Fathauer,84,21.03,167,794
144,145,145,Matt Every,79,21.0,151,719
145,146,146,Alex Noren,67,20.97,134,639
146,147,147,Richy Werenski,98,20.96,210,1002
147,T148,T148,Joel Dahmen,93,20.93,198,946
148,T148,T148,Zecheng Dou,53,20.93,90,430
149,T148,T148,Charles Howell III,104,20.93,221,1056
150,151,151,Brice Garnett,99,20.92,227,1085
151,152,152,Matt Atkins,56,20.83,100,480
152,T153,T153,Charley Hoffman,87,20.82,178,855
153,T153,T153,Kevin Kisner,89,20.82,183,879
154,155,155,Rob Oppenheim,74,20.74,140,675
155,156,156,Graeme McDowell,67,20.73,125,603
156,157,157,Alex Cejka,77,20.67,167,808
157,158,158,Denny McCarthy,71,20.65,134,649
158,159,159,Kiradech Aphibarnrat,51,20.61,95,461
159,160,160,Kelly Kraft,94,20.5,204,995
160,161,161,Daniel Summerhays,51,20.48,93,454
161,T162,T162,Dominic Bozzelli,65,20.45,154,753
162,T162,T162,Nate Lashley,51,20.45,91,445
163,164,164,Martin Piller,79,20.38,172,844
164,165,165,Charl Schwartzel,65,20.35,105,516
165,166,166,Aaron Baddeley,84,20.33,172,846
166,167,167,Fabián Gómez,88,20.3,189,931
167,168,168,William McGirt,84,20.29,196,966
168,169,169,Billy Hurley III,70,20.27,149,735
169,170,170,Louis Oosthuizen,62,20.25,128,632
170,171,171,J.J. Henry,81,20.14,176,874
171,172,172,Cameron Tringale,67,20.1,123,612
172,173,173,Brian Stuard,103,20.05,255,1272
173,T174,T174,Tyrrell Hatton,58,20.0,111,555
174,T174,T174,Andrew Yun,51,20.0,80,400
175,176,176,Jonathan Byrd,70,19.97,121,606
176,177,177,Russell Knox,94,19.9,207,1040
177,178,178,Adam Schenk,86,19.88,161,810
178,T179,T179,Jonas Blixt,67,19.77,118,597
179,T179,T179,Jonathan Randolph,71,19.77,153,774
180,181,181,Ben Crane,65,19.75,124,628
181,182,182,Stephan Jaeger,81,19.56,152,777
182,183,183,Brendan Steele,74,19.35,136,703
183,184,184,Roberto Díaz,72,19.32,137,709
184,185,185,D.A. Points,63,19.08,120,629
185,186,186,Chad Campbell,87,18.93,170,898
186,187,187,Satoshi Kodaira,51,18.84,104,552
187,188,188,Rod Pampling,62,18.49,110,595
188,189,189,Kyle Thompson,50,18.43,87,472
189,190,190,Retief Goosen,60,18.38,91,495
190,191,191,Greg Chalmers,56,18.35,91,496
191,192,192,Bill Haas,76,18.27,152,832
192,193,193,Jim Furyk,50,18.17,119,655
