,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
156,157,157,Hal Sutton,103698
157,158,158,Michael Clark II,101639
158,159,159,Chris Couch,100283
159,160,160,Tripp Isenhour,90699
160,161,161,Joel Edwards,83572
161,162,162,"Jim Gallagher, Jr.",82385
162,163,163,Willie Wood,78937
163,164,164,"Wes Short, Jr.",75536
164,165,165,Jim McGovern,72377
165,166,166,Carl Paulson,70088
166,167,167,Donnie Hammond,65024
167,168,168,Mike Grob,60103
168,169,169,Marco Dawson,59550
169,170,170,Stan Utley,45610
170,171,171,Mike Springer,44616
171,172,172,Ken Green,43356
172,173,173,Jay Don Blake,41555
173,174,174,Brad Lardon,40253
174,175,175,Boyd Summerhays,37127
175,176,176,Kelly Gibson,34511
176,177,177,Brad Bryant,32210
177,178,178,Wayne Levi,28163
178,179,179,John Maginnes,26420
179,180,180,Mark Wiebe,25435
180,181,181,Brian Watts,23770
181,182,182,Kevin Muncrief,21660
182,183,183,David Gossett,21250
183,184,184,Paul Goydos,19366
184,185,185,Tom Kite,17304
185,186,186,Patrick Moore,15448
186,187,187,Jack Nicklaus,11130
187,188,188,Dan Pohl,10706
188,189,189,Tom Watson,10350
189,190,190,Phil Blackmar,10100
190,191,191,Brandel Chamblee,6580
191,T192,T192,John Morse,6420
192,T192,T192,David Ogrin,6420
193,194,194,Brian Henninger,6240
194,195,195,Mike Standly,6000
195,196,196,Mike Sullivan,5520
